CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
BALLINAMORE,0.105620044,0.476611884,0.169865533,0.148488679,0.09941386,0.499942535,0.500057465,0.066574522,0.151347616,0.321354527,0.161944252,0.183598249,0.115180834,0.002005731,0.016905444,0.10487106,0.323686724,0.552531041,0.267862645,9.01084069,2.840153237,-3.6251052,39.45215553,13.17548747,33.76044568,10.19061584,7.626353791,0.051488335,0.054131709,0.244339731,0.232272153,0.080220664,0.089644868,0.071830824,0.076657855,0.052177911,0.04723595
BALLINASLOE,0.102964845,0.489284202,0.158703939,0.136213469,0.112833545,0.494409149,0.505590851,0.050300802,0.176888369,0.334475267,0.132352941,0.184074198,0.121908422,0.00448682,0.015107964,0.101444195,0.327713124,0.551247897,0.350812336,31.36468643,8.544551332,-3.879013287,40.00669905,14.14230729,33.31946323,8.866995074,8.374546653,0.05167302,0.051291825,0.246929267,0.242354934,0.078610758,0.080093181,0.067259636,0.068953833,0.06111817,0.051715375
BALLYBAY-CLONES,0.120555982,0.513515401,0.149542502,0.127261298,0.089124817,0.509184885,0.490815115,0.072722047,0.192727795,0.30856568,0.139551595,0.179793044,0.106639839,0.002829561,0.01192854,0.09198846,0.30792277,0.58533067,1.175716722,10.22375005,3.444237109,-3.743118049,39.150969,15.79982891,29.90590248,7.41118824,6.581452271,0.058531815,0.062024167,0.252566879,0.260948523,0.071872599,0.077669903,0.061465391,0.065795907,0.046378431,0.042746385
BALLYFERMOT-DRIMNAGH,0.088115703,0.591100932,0.141978486,0.10492048,0.0738844,0.491533275,0.508466725,0.063180715,0.229236566,0.300624581,0.129458525,0.153254529,0.124245083,0.005930319,0.025179942,0.125923623,0.347019297,0.495946818,0.889064731,32.08322307,12.59848488,-7.849381018,31.60636699,19.148217,29.63664019,12.29544778,9.408947053,0.042590972,0.045524731,0.293144269,0.297956663,0.072571929,0.069406557,0.054197334,0.050723146,0.045962221,0.027922178
BALLYJAMESDUFF,0.127963176,0.538780207,0.146881473,0.106283084,0.08009206,0.500989643,0.499010357,0.056741681,0.155895364,0.335833814,0.170802077,0.169936526,0.110790537,0.002894678,0.013397165,0.091553477,0.315297261,0.576857419,0.932814831,19.99784145,4.685047386,-3.007354724,36.06862044,12.92377835,31.69862053,7.787870692,8.457123565,0.06269275,0.065270426,0.273233602,0.265546605,0.070471807,0.076409666,0.050955121,0.055327963,0.041657077,0.038434983
BALLYMAHON,0.113769045,0.563861598,0.138117614,0.108999003,0.075252741,0.500711946,0.499288054,0.059575174,0.150182542,0.321938268,0.150016595,0.182708264,0.135579157,0.004110789,0.016443157,0.104858818,0.33196307,0.542624166,0.649482766,11.19620953,5.382103141,-2.455211053,34.97935498,13.01214742,35.10397365,9.466472908,8.596134283,0.053823152,0.059945892,0.284422611,0.279438986,0.067848498,0.070269116,0.05332479,0.055674213,0.039869002,0.035383739
BALLYMOTE-TOBERCURRY,0.11410697,0.480350692,0.16649044,0.135650718,0.103401181,0.494096396,0.505903604,0.033215235,0.154118689,0.353587245,0.143312666,0.18680248,0.128963685,0.003112869,0.014172709,0.103859958,0.324104592,0.554749872,0.989953807,9.626615002,11.99167412,-2.338466809,39.52687265,11.44480519,34.82683983,8.774139379,7.255676209,0.055423385,0.058683584,0.245175786,0.235174905,0.083884043,0.082606397,0.066613799,0.06903692,0.054806591,0.04859459
BALLYMUN-FINGLAS,0.101909827,0.568392468,0.140869409,0.096119751,0.092708544,0.474853565,0.525146435,0.068578666,0.218311771,0.341671944,0.137745408,0.133945535,0.099746675,0.006714638,0.026063674,0.122411413,0.341630758,0.503179517,0.470077952,33.89237749,10.44428506,-11.10570323,32.66850191,18.75609972,25.82438707,14.29249441,10.95287036,0.049597163,0.052312664,0.295002132,0.273390336,0.073632712,0.067236697,0.050517292,0.04560246,0.056397136,0.036311407
BALTINGLASS,0.118387681,0.526766304,0.158378623,0.111956522,0.08451087,0.495153986,0.504846014,0.050577085,0.146194989,0.321385005,0.142066248,0.199305621,0.140471052,0.003775701,0.014056075,0.086504673,0.314504673,0.581158879,0.902627977,13.62194441,5.382570969,-1.413818476,36.56431654,11.80543827,35.50638969,7.781680627,8.034672445,0.057653986,0.060733696,0.270063406,0.256702899,0.079166667,0.079211957,0.055163043,0.056793478,0.042798913,0.041711957
BANDON-KINSALE,0.122738448,0.53681523,0.150381391,0.107262182,0.082802749,0.494736179,0.505263821,0.032589286,0.096875,0.274362245,0.143686224,0.252869898,0.199617347,0.002208639,0.011068879,0.072653963,0.301941548,0.612126971,0.268557503,16.97758939,12.16546785,6.135459364,36.68507193,8.126175894,46.37924823,4.609862082,5.597355221,0.059225872,0.063512576,0.273813276,0.263001954,0.073220702,0.077160688,0.052638215,0.054623968,0.046365757,0.036436992
