CSO_LEA,p_age_12to17,p_age_18to54,p_age_55to64,p_age_65to70,p_age_71plus,p_male,p_female,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate,p_health_VeryBad,p_health_Bad,p_health_Fair,p_health_Good,p_health_VeryGood,Wt_accessibility_Initial_Vacc,accessibility_Pharmacy10,accessibility_10,Index22_rel,AGEDEP22,ED_LOW22,EDHIGH22,UNEMPM22,UNEMPF22,p_age_12to17_females,p_age_12to17_males,p_age_18to54_females,p_age_18to54_males,p_age_55to64_females,p_age_55to64_males,p_age_65to70_females,p_age_65to70_males,p_age_71plus_females,p_age_71plus_males
CLONMEL,0.106006542,0.520566954,0.156457528,0.12359996,0.093369016,0.48661909,0.51338091,0.037711183,0.13616251,0.352775543,0.147123894,0.188857603,0.137369268,0.004282377,0.017778355,0.106151051,0.34081668,0.530971537,2.411117907,27.20293025,3.814820634,-0.818986535,35.81970164,10.93058541,35.38374004,7.975556252,7.034287734,0.050054515,0.055952027,0.267766875,0.252800079,0.080434136,0.076023392,0.064476162,0.059123798,0.050649222,0.042719794
CLONTARF,0.077191681,0.553261605,0.151655355,0.114859999,0.103031361,0.477728552,0.522271448,0.019021739,0.086063133,0.226436867,0.083382966,0.291430911,0.293664384,0.00337689,0.013746146,0.084734253,0.289770225,0.608372486,0.731584338,55.05725491,19.78546798,7.336024065,33.92032586,7.390245818,57.44391214,6.082979418,5.379790941,0.037559198,0.039632483,0.282665154,0.270596451,0.079024901,0.072630453,0.060954584,0.053905415,0.062067611,0.04096375
COBH,0.123913799,0.58074383,0.133611401,0.096211331,0.065519639,0.493778241,0.506221759,0.02485578,0.087173278,0.324763194,0.139662417,0.233245495,0.190299836,0.003001584,0.01170062,0.07737417,0.296934493,0.610989133,0.406937896,20.58260823,15.02992288,4.912737493,35.09431934,6.852239066,43.87959575,5.730223124,5.919077921,0.060236357,0.063677442,0.297254084,0.283489746,0.065519639,0.068091762,0.048627042,0.047584289,0.034584637,0.030935002
CONAMARA NORTH,0.104132901,0.457725554,0.170380875,0.161669368,0.106091302,0.495070232,0.504929768,0.057651715,0.185356201,0.296437995,0.122295515,0.176912929,0.161345646,0.004231884,0.014782609,0.113333333,0.340289855,0.527362319,0.007701691,0.995677808,9.157882292,-2.770224099,39.26771174,15.44654088,38.56603774,10.07309274,8.504551365,0.052133982,0.05199892,0.236426256,0.221299298,0.085494327,0.084886548,0.07806591,0.083603458,0.052809292,0.05328201
CONAMARA SOUTH,0.110358799,0.500346537,0.164258677,0.131097724,0.093938263,0.488777523,0.511222477,0.050288541,0.130358615,0.236912613,0.104492993,0.221970322,0.255976917,0.003223756,0.013439884,0.093534326,0.293997457,0.595804577,0.069665873,23.04684599,14.7803639,1.894631181,37.57978154,11.91706322,49.00067981,9.281385281,7.674772036,0.054273071,0.056085728,0.259956283,0.240390254,0.082369249,0.081889428,0.065415578,0.065682145,0.049208296,0.044729967
CORCA DHUIBHNE,0.096507051,0.482617252,0.168907839,0.151771072,0.100196786,0.494178419,0.505821581,0.035234349,0.1273353,0.327597509,0.125860374,0.21468371,0.169288758,0.00229869,0.011493452,0.092992477,0.331429368,0.561786013,0.139886018,10.95632443,6.167379779,0.294512384,38.8551199,9.883431304,41.12782704,7.951930453,7.218363032,0.050098393,0.046408659,0.245982289,0.236634962,0.085355854,0.083551984,0.072236799,0.079534274,0.052148245,0.048048541
CORK CITY NORTH EAST,0.095458392,0.593399154,0.134950635,0.09932299,0.076868829,0.494894217,0.505105783,0.03766811,0.118589013,0.328755414,0.124230682,0.2072031,0.183553681,0.003837355,0.017341894,0.094999139,0.321526087,0.562295526,0.450263862,31.7929718,12.44583941,-0.028680683,31.0387702,9.90034662,40.0418833,9.133871099,8.565910188,0.048208745,0.047249647,0.29438646,0.299012694,0.069026798,0.065923836,0.050860367,0.048462623,0.042623413,0.034245416
CORK CITY NORTH WEST,0.091354093,0.571066289,0.144049304,0.112556027,0.080974286,0.489266336,0.510733664,0.048687292,0.189942068,0.327930482,0.118328608,0.168988044,0.146123505,0.006174324,0.021944244,0.120466148,0.329591319,0.521823965,0.462990264,42.53327714,14.17406345,-6.482776297,32.68330733,14.8928805,32.65894842,11.28815683,10.47418335,0.044939844,0.046414249,0.288953763,0.282112527,0.073484312,0.070564992,0.057236377,0.055319651,0.046119368,0.034854919
CORK CITY SOUTH CENTRAL,0.057796036,0.639582288,0.135066483,0.089343954,0.078211239,0.501724787,0.498275213,0.027899962,0.101420133,0.255938168,0.1056931,0.26341586,0.245632776,0.00355613,0.017107142,0.102265686,0.33379132,0.543279722,0.555634171,31.75093341,11.94251325,4.728319842,25.07073171,8.405832619,50.14499857,8.627284318,7.593539974,0.027753387,0.030042649,0.314067988,0.3255143,0.066984446,0.068082037,0.043433266,0.045910687,0.046036126,0.032175113
CORK CITY SOUTH EAST,0.095507625,0.557136969,0.157466685,0.100810551,0.08907817,0.478170078,0.521829922,0.018516634,0.057839048,0.258622444,0.095482755,0.291586123,0.277952996,0.002854557,0.012416162,0.08245724,0.293856901,0.608415141,0.688906021,42.8224194,16.17343147,7.035627496,33.34361233,5.108743746,56.12130288,6.209583817,6.126391316,0.046847094,0.04866053,0.286907542,0.270229427,0.082071713,0.075394972,0.05393598,0.046874571,0.052067592,0.037010578
CORK CITY SOUTH WEST,0.087239649,0.569350834,0.135407693,0.107991689,0.100010135,0.474611058,0.525388942,0.023284194,0.080884506,0.27252758,0.103338866,0.280142536,0.239822318,0.003335696,0.014009924,0.087290998,0.309135638,0.586227745,0.830323641,52.12890972,18.33621507,5.217830968,34.00309422,6.90905559,51.62689805,6.732062337,5.926307653,0.043961891,0.043277758,0.294227943,0.275122891,0.071631278,0.063776415,0.057796584,0.050195105,0.057771246,0.042238889
DONAGHMEDE,0.090112607,0.583756618,0.126958532,0.095514526,0.103657717,0.479319519,0.520680481,0.036177823,0.146704139,0.315074093,0.128461932,0.203117016,0.170464997,0.004818132,0.017055737,0.098873507,0.328628303,0.550624321,0.0983124,21.39522472,8.240086281,-1.006461791,34.41376381,11.89352652,38.36567859,8.416116983,7.686956522,0.045069741,0.045042866,0.300088688,0.28366793,0.065038028,0.061920503,0.051519794,0.043994732,0.058964229,0.044693488
DONEGAL,0.103787812,0.478621485,0.163798456,0.144371507,0.10942074,0.488822851,0.511177149,0.042312746,0.20087604,0.320367937,0.143583005,0.166710469,0.126149803,0.003237209,0.015293023,0.108167442,0.33812093,0.535181395,0.022377015,33.60250708,8.138243031,-4.403836601,39.47142243,15.03954925,32.72293856,9.452449568,8.493885073,0.049631864,0.054155948,0.24487714,0.233744345,0.086046305,0.077752151,0.071187794,0.073183713,0.059434046,0.049986694
DROGHEDA RURAL,0.149336138,0.577954516,0.129091626,0.085118969,0.058498751,0.483633495,0.516366505,0.041900224,0.11448991,0.326513453,0.151625561,0.210622197,0.154848655,0.003051026,0.013203577,0.086691215,0.302472383,0.594581799,0.13420748,19.98467073,8.485476255,0.70643713,34.03880071,9.638970461,38.87545345,8.329995995,8.052062652,0.072433285,0.076902853,0.306231103,0.271723413,0.062836861,0.066254765,0.042592349,0.04252662,0.032272907,0.026225845
DROGHEDA URBAN,0.100065717,0.556495071,0.14939759,0.104841183,0.089200438,0.485826944,0.514173056,0.06095909,0.191456696,0.317619435,0.146482435,0.164634697,0.118847647,0.004804526,0.023867643,0.122515402,0.342826146,0.505986284,0.012896883,5.263573774,1.919248541,-7.046150769,33.78070575,16.1916348,32.57444097,12.75885104,12.7142412,0.049945235,0.050120482,0.282935378,0.273559693,0.073910186,0.075487404,0.055158817,0.049682366,0.052223439,0.036976999
DUNDALK SOUTH,0.114193504,0.573988876,0.133763648,0.102932088,0.075121884,0.484515553,0.515484447,0.044449111,0.122217556,0.314643707,0.128587428,0.231415372,0.158686826,0.003863257,0.014619233,0.096220122,0.318232351,0.567065036,2.025793632,22.50178211,9.636801244,-2.52597251,35.61984553,10.51864287,40.97455381,12.53681111,11.04323308,0.056204079,0.057989425,0.29458216,0.279406716,0.070177848,0.0635858,0.053251391,0.049680698,0.041268969,0.033852915
DUNDALK-CARLINGFORD,0.115290669,0.531509526,0.146995603,0.114655594,0.091548608,0.484220811,0.515779189,0.069815195,0.162525667,0.325770021,0.135626283,0.183059548,0.123203285,0.004451102,0.020843141,0.10952279,0.322105714,0.543077252,0.810035685,32.42784135,8.066701564,-6.901675421,36.32147785,14.42779726,32.77653809,13.36526576,12.17470428,0.057498779,0.057791891,0.274694675,0.256814851,0.072447484,0.074548119,0.057596483,0.057059111,0.053541768,0.038006839
DUNDRUM,0.086256037,0.53222231,0.142546117,0.114836513,0.124139023,0.47846568,0.52153432,0.019807923,0.077164199,0.203081232,0.077030812,0.298185941,0.324729892,0.002930757,0.013140097,0.079355878,0.291884058,0.612689211,0.572223299,30.66258687,12.50756748,7.264625106,36.74084304,6.854287465,60.97675953,6.315659375,6.064763996,0.04283113,0.043424907,0.268466471,0.263755839,0.073786715,0.068759401,0.063138311,0.051698203,0.073311693,0.05082733
DUNGARVAN,0.111424224,0.513047399,0.156174266,0.124048921,0.095305191,0.488023446,0.511976554,0.041965645,0.133289846,0.301587302,0.152207002,0.210154381,0.160795825,0.003516669,0.014910677,0.096028508,0.320626436,0.56491771,0.037531351,17.36985808,6.270061596,-0.081648471,38.02552048,11.23658163,38.37306566,8.379888268,6.905210295,0.052133236,0.059290988,0.266189483,0.246857916,0.0796934,0.076480866,0.062841684,0.061207237,0.051118751,0.04418644
DÚN LAOGHAIRE,0.089495297,0.520439793,0.151145847,0.117393032,0.12152603,0.469227712,0.530772288,0.021962337,0.061466918,0.203416364,0.075555965,0.282563654,0.355034762,0.003282228,0.01312891,0.084016213,0.289893383,0.609679267,0.128860685,40.31119921,10.10184834,7.443780739,36.99332661,5.858768753,63.37299534,6.844497813,6.782305433,0.044085309,0.045409988,0.271347198,0.249092595,0.080911379,0.070234468,0.062418863,0.054974169,0.072009538,0.049516492
EDENDERRY,0.124528878,0.562952022,0.142609759,0.09931751,0.07059183,0.500458389,0.499541611,0.049567786,0.168180326,0.383958858,0.153299048,0.147499726,0.097494255,0.003852504,0.018627492,0.102154862,0.33338978,0.541975361,0.432131129,5.580551197,4.170538053,-4.78407011,34.59583929,12.98023612,27.93033723,8.797870767,9.477756286,0.059539574,0.064989304,0.283385963,0.279566059,0.070235306,0.072374452,0.047366813,0.051950698,0.039013955,0.031577875
ENNIS,0.110209551,0.552201586,0.147504373,0.10522202,0.084862471,0.476793092,0.523206908,0.030291726,0.097366261,0.323509662,0.129448631,0.230843841,0.188539879,0.004122665,0.016839501,0.100878445,0.327529889,0.550629499,5.779125537,32.33555751,9.919532367,1.141807846,35.2262017,8.229126587,43.56483263,9.224661373,8.346829451,0.054155656,0.056053895,0.288569621,0.263631965,0.076525105,0.070979268,0.05553281,0.04968921,0.048423717,0.036438754
ENNISCORTHY,0.10605279,0.531940504,0.154371937,0.118777405,0.088857364,0.490026653,0.509973347,0.066270252,0.180110307,0.345398139,0.149086522,0.160720441,0.09841434,0.004418639,0.017565001,0.109553024,0.325408998,0.543054338,3.294395966,23.78827073,6.449079023,-7.292994957,36.21818926,15.42653645,28.3332434,12.24785761,11.43833388,0.053434786,0.052618004,0.271257845,0.260682658,0.07909896,0.075272977,0.058077551,0.060699854,0.048104204,0.04075316
ENNISTIMON,0.096383066,0.4891766,0.172763392,0.140635704,0.101041239,0.484244417,0.515755583,0.035121681,0.12818031,0.325774336,0.125553097,0.207549779,0.177820796,0.003644979,0.013243424,0.09738169,0.348702995,0.537026912,0.86268237,5.230127145,7.192094563,0.348029308,38.16197651,10.21714681,40.23704473,7.994757536,7.705563762,0.048020277,0.048362789,0.25756953,0.231607069,0.085422661,0.087340732,0.071585149,0.069050555,0.053157967,0.047883272
FERMOY,0.118237191,0.539982411,0.141005179,0.112927918,0.087847301,0.494674441,0.505325559,0.040868114,0.138430718,0.337562604,0.148981636,0.198397329,0.135759599,0.003126085,0.013092153,0.085686804,0.322494456,0.575600502,0.093851048,49.46012669,7.038788438,0.194646349,37.2929241,11.04075003,35.77449731,6.579205013,7.550870311,0.058564868,0.059672323,0.275039901,0.26494251,0.067326797,0.073678382,0.056056806,0.056871112,0.048337188,0.039510114
FIRHOUSE-BOHERNABREENA,0.117880242,0.586897559,0.143473121,0.10042423,0.051324849,0.479171013,0.520828987,0.021123065,0.070650748,0.287129362,0.108239307,0.278995014,0.233862503,0.002372479,0.010979613,0.069795029,0.282987117,0.633865762,0.368055871,25.39837562,13.02545254,5.558233256,33.57596366,6.037719563,51.41772043,6.759602848,6.139302401,0.057723068,0.060157174,0.304228389,0.28266917,0.076535225,0.066937896,0.054489186,0.045935044,0.027853119,0.02347173
GALWAY CITY CENTRAL,0.054461913,0.64110996,0.117212487,0.106130907,0.081084734,0.484931754,0.515068246,0.0357241,0.093065861,0.229641843,0.104882294,0.280937987,0.255747916,0.003106085,0.017601147,0.105168844,0.351306148,0.522817776,0.119915364,26.9693456,10.23230357,3.918902153,24.50429221,8.879626121,55.05241885,11.07006369,8.855885589,0.025766926,0.028694986,0.324338934,0.316771026,0.061939727,0.05527276,0.056714266,0.04941664,0.046308392,0.034776341
GALWAY CITY EAST,0.095222709,0.651096238,0.113501039,0.07712901,0.063051004,0.489222248,0.510777752,0.034215924,0.081484244,0.28426254,0.139753869,0.252750326,0.207533097,0.004342283,0.016811409,0.103338379,0.355668871,0.519839057,0.865136674,19.62112101,7.194795466,2.460976519,28.38987576,7.795715811,47.76053772,10.17310587,8.938547486,0.046757443,0.048465267,0.326194323,0.324901916,0.058573736,0.054927302,0.041218555,0.035910455,0.038033695,0.025017309
GALWAY CITY WEST,0.099430996,0.595910888,0.134390973,0.093258752,0.07700839,0.457999807,0.542000193,0.016314598,0.038758959,0.21425877,0.093266692,0.289230479,0.348170502,0.002884303,0.014096523,0.080272993,0.304070523,0.598675658,0.028229636,16.47507764,6.716542169,7.648465393,31.94079195,3.741910681,65.06054975,7.792792793,8.299985179,0.050053043,0.049377954,0.320522712,0.275388176,0.073006076,0.061384897,0.051837207,0.041421545,0.046581155,0.030427235
GLENCULLEN-SANDYFORD,0.097342087,0.635993011,0.114470271,0.082172923,0.070021708,0.48019802,0.51980198,0.013835878,0.047471374,0.20610687,0.080677481,0.314837786,0.337070611,0.002019117,0.009773386,0.06437547,0.282654924,0.641177102,0.633578955,34.56882874,18.5040955,9.691895937,32.1363861,4.321070684,64.43271235,5.817856344,6.286034593,0.048260708,0.049081379,0.327103299,0.308889713,0.060173664,0.054296606,0.045057447,0.037115476,0.039206862,0.030814846
GLENTIES,0.097153883,0.444042451,0.179160637,0.148721659,0.13092137,0.489676797,0.510323203,0.067447842,0.245212918,0.295417738,0.114889969,0.155949319,0.121082214,0.00575461,0.019952115,0.134078212,0.319359852,0.520855211,0.092616126,29.50457152,9.879474768,-7.533917828,40.46596692,19.3742621,31.57615112,13.61356167,10.14662757,0.047322721,0.049831163,0.229184756,0.214857694,0.091654607,0.08750603,0.071972986,0.076748673,0.070188133,0.060733237
GOREY,0.121142198,0.55016688,0.143063167,0.107503399,0.078124356,0.484321562,0.515678438,0.049967127,0.133382643,0.343359632,0.151545036,0.19017094,0.131574622,0.003685092,0.016582915,0.096716918,0.313333333,0.569681742,3.905200469,30.71363525,4.310287421,-2.566908265,36.03403982,11.42813236,34.95543489,9.906730527,9.456440804,0.057810375,0.063331822,0.285631876,0.264535004,0.073962668,0.069100499,0.054225555,0.053277844,0.044047962,0.034076394
GORT-KINVARA,0.122987766,0.547179157,0.150725643,0.105205805,0.07390163,0.493238892,0.506761108,0.032566135,0.096743386,0.264349155,0.107535097,0.252888931,0.245917295,0.002596981,0.009008278,0.077016718,0.30064113,0.610736893,0.68992803,14.18460698,6.08802463,6.493976898,36.82444162,8.495419752,50.44547622,5.398269033,5.118436309,0.058398138,0.064589628,0.280945069,0.266234088,0.076081034,0.074644608,0.051661796,0.053544009,0.039675071,0.034226559
GRAIGUECULLEN-PORTARLINGTON,0.132041441,0.568558366,0.140010906,0.095381905,0.064007382,0.494903737,0.505096263,0.0447604,0.12067755,0.339301387,0.149201334,0.205020186,0.141039143,0.003047528,0.014381592,0.088104369,0.314991097,0.579475414,2.167393406,22.16814637,7.746054732,-0.241128058,34.91986244,10.11917543,36.26261542,7.918105575,7.464490783,0.063839604,0.068201837,0.291934063,0.276624303,0.068453504,0.071557401,0.047229563,0.048152343,0.033639529,0.030367854
GRANARD,0.115054,0.510910293,0.151752259,0.129380648,0.092902799,0.507053119,0.492946881,0.063911472,0.176377597,0.341011743,0.152439024,0.161472448,0.104787715,0.003607103,0.015445801,0.099426563,0.314742878,0.566777654,0.63038622,5.051324592,2.72088281,-5.082549797,38.31304348,14.89987397,29.98179527,8.539765319,7.890222985,0.058078025,0.056975975,0.251708177,0.259202116,0.071633238,0.080119021,0.061824994,0.067555654,0.049702447,0.043200353
GREYSTONES,0.12310678,0.559633802,0.138379108,0.100535797,0.078344513,0.475340674,0.524659326,0.018484288,0.062444748,0.23981355,0.106164108,0.291891023,0.281202282,0.002816805,0.012160352,0.06890866,0.274260589,0.641853595,2.457584123,23.79229587,6.653529977,7.914594158,36.9106598,5.37496664,57.87029624,5.698192298,6.038439472,0.060372105,0.062734675,0.293169641,0.266464161,0.073070919,0.065308189,0.053368772,0.047167025,0.044677889,0.033666624
HOWTH-MALAHIDE,0.102774998,0.541861523,0.140151033,0.112728596,0.10248385,0.479847148,0.520152852,0.016849792,0.064116307,0.275525928,0.0928581,0.282225647,0.268424226,0.002268191,0.010841952,0.073413779,0.292551261,0.620924817,1.321089788,62.37376312,25.09704784,6.393496613,37.96740995,5.477744538,55.59559423,6.288881348,6.746645229,0.049968156,0.052806842,0.280192885,0.261668638,0.073605677,0.066545355,0.060867983,0.051860613,0.055518151,0.046965699
KANTURK,0.102138556,0.505097444,0.154677794,0.138223719,0.099862488,0.499170184,0.500829816,0.053275109,0.163609898,0.340805434,0.153032508,0.181174187,0.108102863,0.003454574,0.013977128,0.091367535,0.328502224,0.562698539,0.035325043,30.26225801,8.902769708,-2.095196699,38.94720999,13.06330002,31.01291718,6.639722864,6.816520468,0.050452843,0.051685713,0.251695197,0.253402248,0.075157665,0.079520129,0.070842619,0.067381099,0.052681493,0.047180995
KELLS,0.115637951,0.523201599,0.160820012,0.115563943,0.084776495,0.498593843,0.501406157,0.05233296,0.145427398,0.353415454,0.14087346,0.18245614,0.125494588,0.003209262,0.013766834,0.09108905,0.318166822,0.573768033,1.549370166,19.1912729,7.838706425,-2.827283453,36.66232827,12.02014702,32.68445412,7.878264623,8.757138972,0.056912374,0.058725577,0.264838662,0.258362937,0.077634695,0.083185317,0.055987271,0.059576673,0.046033156,0.038743339
KENMARE,0.098254744,0.474494145,0.167481717,0.151240522,0.108528871,0.492395352,0.507604648,0.0485623,0.152259242,0.323505249,0.14167047,0.18804199,0.145960749,0.002822129,0.012834886,0.096648239,0.335137434,0.552557312,0.033608605,8.646350415,8.274407191,-1.042533217,38.86454843,12.16814159,37.14048673,8.209722426,8.893380495,0.04858899,0.049665754,0.243573063,0.230921082,0.083090314,0.084391404,0.074924851,0.076315671,0.057427431,0.05110144
KILDARE,0.121731564,0.600826626,0.12281923,0.092277572,0.062345008,0.488274962,0.511725038,0.049972643,0.136786431,0.356739011,0.140798833,0.182017144,0.133685938,0.003832104,0.013788411,0.09100351,0.318888332,0.572487644,0.301145719,29.77566201,5.620723578,-1.872584814,34.45680298,11.53153153,34.14977477,8.506354599,8.734984428,0.05973461,0.061996955,0.309332173,0.291494453,0.061344355,0.061474875,0.048292365,0.043985208,0.033021536,0.029323472
KILKENNY,0.102125868,0.555588297,0.14771627,0.11075563,0.083813934,0.479225426,0.520774574,0.037827433,0.103690685,0.296593857,0.128964767,0.242530756,0.190392501,0.003732816,0.016366965,0.096945551,0.324683249,0.558271419,1.193390754,32.59148451,3.665667349,-0.349863859,34.89023033,9.110009697,44.33250727,10.95799655,8.530670471,0.049757946,0.052367923,0.286381814,0.269206483,0.079393812,0.068322458,0.055946117,0.054809514,0.049294885,0.034519049
KILLALOE,0.125556952,0.510682052,0.165543242,0.116302982,0.081914772,0.498571918,0.501428082,0.031592752,0.108130663,0.307105389,0.126490224,0.235693848,0.190987124,0.003007971,0.011931619,0.082217877,0.309470096,0.593372437,1.074895201,12.12042048,5.122462829,2.876950487,36.06145124,8.646893906,44.28213074,7.109087725,6.573146293,0.060093682,0.06546327,0.261396093,0.249285959,0.081457786,0.084085456,0.055980807,0.060322175,0.042499714,0.039415058
KILLARNEY,0.104575426,0.546759408,0.15020907,0.113179479,0.085276616,0.49292377,0.50707623,0.03619947,0.121272366,0.329937044,0.150016567,0.21222664,0.150347913,0.002834893,0.011954368,0.084841861,0.331784958,0.56858392,0.039664454,25.2338687,7.95591826,1.712054091,34.86456926,9.751718477,39.6634862,7.097156398,7.794294898,0.048608877,0.055966549,0.276334834,0.270424574,0.077516886,0.072692184,0.057856224,0.055323255,0.046759408,0.038517208
KILLINEY-SHANKILL,0.09889062,0.530563591,0.151149115,0.11554722,0.103849455,0.473632347,0.526367653,0.026258457,0.097351221,0.265336544,0.098039216,0.258915262,0.254099301,0.00356966,0.013366685,0.084499336,0.304671826,0.593892493,0.411235616,44.34335758,15.74921445,3.33487735,35.61445416,8.249158249,51.87098255,7.926221336,7.089349691,0.049461203,0.049429416,0.273784926,0.256778664,0.081916145,0.06923297,0.062112591,0.053434629,0.059092787,0.044756667
KILMUCKRIDGE,0.117735953,0.513806842,0.169116637,0.119521912,0.079818656,0.490451985,0.509548015,0.055212196,0.151215492,0.347617086,0.14311221,0.189809092,0.113033924,0.003294519,0.01499574,0.098040329,0.313717694,0.569951718,0.872504335,6.10233722,3.472340139,-1.831526474,36.57263982,12.50207952,32.68175012,7.453547297,7.223072996,0.057974997,0.059760956,0.266245363,0.247561478,0.085657371,0.083459266,0.058593213,0.060928699,0.041077071,0.038741585
KILRUSH,0.109404458,0.456970167,0.174337363,0.150493512,0.108794499,0.495508484,0.504491516,0.048625561,0.170956084,0.35286387,0.145548133,0.16778009,0.114226262,0.003479897,0.016647073,0.108958382,0.34987068,0.521043969,1.192606796,17.50260046,8.968031069,-4.622781698,39.6518462,13.5016835,31.26599327,9.869479707,7.835901888,0.056060774,0.053343684,0.231618055,0.225352113,0.087834091,0.086503272,0.071697904,0.078795608,0.057280692,0.051513807
KIMMAGE-RATHMINES,0.067757342,0.626013617,0.128442231,0.09883142,0.078955391,0.477248247,0.522751753,0.029850746,0.10401007,0.182197447,0.072828628,0.289875922,0.321237188,0.00390838,0.016415197,0.094528268,0.305217233,0.579930922,0.821412054,59.62973255,23.39694711,6.660149794,28.30501104,9.624783429,59.81226242,7.98835151,6.375635747,0.035321614,0.032435728,0.321369779,0.304643837,0.065948582,0.062493649,0.053023067,0.045808353,0.04708871,0.03186668
KINNEGAD,0.125408764,0.53913233,0.155384783,0.102844997,0.077229126,0.499236974,0.500763026,0.053833605,0.139827546,0.351316709,0.149382428,0.182941039,0.122698672,0.003021012,0.01487961,0.094598251,0.323789341,0.563711786,0.113228974,15.1581073,5.313659755,-1.719925241,34.9195481,11.44943511,33.425186,7.517956903,8.890668803,0.058589492,0.066819272,0.272182254,0.266950076,0.076793111,0.078591672,0.050087203,0.052757794,0.043110966,0.03411816
LAYTOWN-BETTYSTOWN,0.132922761,0.59629202,0.12532076,0.084263536,0.061200924,0.488869643,0.511130357,0.034964096,0.114757399,0.327159251,0.134957385,0.217300852,0.170861016,0.003006939,0.01308147,0.079131329,0.314957594,0.589822668,0.695549212,37.28619115,11.6083703,1.77420783,34.62616822,9.317963497,41.40667418,7.941040995,8.160351455,0.064793431,0.06812933,0.307448037,0.288843983,0.062099051,0.063221709,0.043430844,0.040832692,0.033358994,0.02784193
LEIXLIP,0.098182641,0.554106025,0.132342961,0.143578916,0.071789458,0.492345977,0.507654023,0.021610719,0.083561446,0.288575133,0.116121596,0.27243913,0.217691975,0.002787586,0.013132627,0.082326705,0.307253918,0.594499164,0.057843109,8.86760155,3.669272274,4.85027184,36.31751716,6.793857608,49.1763611,6.454465075,6.117707796,0.049543775,0.048638866,0.273885831,0.280220195,0.073373049,0.058969912,0.074504185,0.06907473,0.036347183,0.035442274
LETTERKENNY,0.119052407,0.584281865,0.135462334,0.092587379,0.068616016,0.488919278,0.511080722,0.047439396,0.137582276,0.293466046,0.111334083,0.224995987,0.185182212,0.004606021,0.016713275,0.098733344,0.316992926,0.562954433,3.093865414,26.8521132,6.231037832,-0.813279168,34.4325296,12.15076436,43.42119135,11.42333537,9.244154432,0.057997828,0.061054579,0.298234324,0.286047541,0.070546595,0.064915738,0.046494791,0.046092587,0.037807183,0.030808832
LIFFORD-STRANORLAR,0.116990982,0.523398196,0.148410062,0.121831989,0.089368771,0.49383009,0.50616991,0.088974148,0.223805609,0.315885631,0.124965744,0.154471545,0.091897323,0.005356103,0.019444984,0.119153891,0.333203959,0.522841063,0.56579925,14.68608914,3.343935861,-9.859007753,37.63913189,20.0538831,27.42181094,13.44151868,10.71364372,0.054342667,0.062648315,0.268723303,0.254674893,0.07470337,0.073706692,0.061082107,0.060749881,0.047318462,0.042050308
LIMERICK CITY EAST,0.103743917,0.587308418,0.131881227,0.102717733,0.074348704,0.494024959,0.505975041,0.039903014,0.118877728,0.289573952,0.106546588,0.247038448,0.19806027,0.0039295,0.01750939,0.095377059,0.322536839,0.560647212,1.431353988,32.52368808,21.43387455,0.769836736,31.77313192,10.43668321,44.42876007,10.61187399,7.92920354,0.049223741,0.054520176,0.294647291,0.292661127,0.066370949,0.065510278,0.053692608,0.049025125,0.042040452,0.032308253
LIMERICK CITY NORTH,0.090855457,0.550026028,0.145340968,0.11657123,0.097206316,0.478917231,0.521082769,0.040204575,0.162665151,0.343514704,0.124378463,0.186532178,0.14270493,0.005574314,0.024590686,0.124291266,0.354271517,0.491272218,0.653492771,14.90238092,10.51113177,-7.420368914,33.88484265,13.13828319,34.68120342,13.51716376,11.82112767,0.047162936,0.043692521,0.280652438,0.26937359,0.075863266,0.069477703,0.060281104,0.056290127,0.057123026,0.04008329
LIMERICK CITY WEST,0.09095091,0.625057501,0.126503253,0.091246632,0.066241703,0.496977065,0.503022935,0.030011167,0.093383585,0.271705751,0.119905081,0.273659966,0.21133445,0.00404786,0.018632061,0.096315257,0.327579023,0.553425799,0.998930693,19.04188177,14.61328506,3.571398525,30.91529984,8.150094501,49.33849629,9.40815187,8.35335226,0.044555431,0.046395479,0.311198002,0.313859499,0.062693041,0.063810212,0.046395479,0.044851153,0.038180982,0.028060722
LISMORE,0.108778418,0.488523877,0.172848907,0.12585663,0.103992168,0.498531491,0.501468509,0.044075305,0.167663344,0.333111849,0.158582503,0.178294574,0.118272425,0.003712087,0.012041648,0.089361702,0.332820281,0.562064282,0.064545556,1.931304986,7.119836828,-1.426204518,37.8584583,12.69925611,33.19606801,7.068403909,6.542845082,0.052322419,0.056455999,0.247470902,0.241052975,0.082889155,0.089959752,0.063091483,0.062765147,0.05569455,0.048297618
LISTOWEL,0.101798411,0.473316604,0.163989962,0.148138854,0.112756169,0.495650355,0.504349645,0.051716793,0.175939337,0.354264292,0.138536253,0.166567266,0.112976059,0.003347192,0.016031287,0.103692481,0.3451131,0.53181594,0.888241741,32.59747448,9.581785223,-4.880470381,39.69609015,13.4386159,31.33832923,9.770824756,8.342004856,0.050230029,0.051568381,0.238895859,0.234420744,0.082475951,0.081514011,0.071392723,0.076746131,0.061355082,0.051401087
