CSO_LEA,Census Year,very_bad,bad,fair,good,very_good,population,p_health_very_bad,p_health_bad,p_health_fair,p_health_good,p_health_very_good
CARRIGALINE,2022,88,376,2495,11035,24107,38101,0.002309650665336868,0.009868507388257525,0.06548384556835779,0.28962494422718565,0.6327130521508622
CASHEL-TIPPERARY,2022,97,478,2873,9149,15121,27718,0.0034995309906919693,0.017245111479904755,0.10365105707482503,0.3300743199365034,0.5455299805180749
CASTLEBAR,2022,82,487,2870,9934,16886,30259,0.0027099375392445222,0.01609438514161076,0.09484781387355828,0.3282990184738425,0.5580488449717439
CASTLECOMER,2022,84,321,2089,7481,13928,23903,0.0035142032380872695,0.013429276659833494,0.08739488767100365,0.31297326695393884,0.5826883654771368
CASTLEISLAND,2022,56,201,1565,5724,9922,17468,0.003205862147927639,0.01150675520952599,0.08959239752690634,0.3276849095488894,0.5680100755667506
CASTLEKNOCK,2022,107,532,3253,13185,26960,44037,0.0024297749619638033,0.012080750278175172,0.07386970047914254,0.29940731657469855,0.61221245770602
CAVAN-BELTURBET,2022,109,406,2723,8417,14224,25879,0.004211909270064531,0.015688395996754124,0.105220449012713,0.32524440666177207,0.5496348390586963
CELBRIDGE,2022,48,222,1709,6857,13093,21929,0.0021888823019745544,0.010123580646632314,0.07793333029321903,0.31269095717998996,0.5970632495781841
CLANE,2022,85,390,2484,9395,17289,29643,0.0028674560604527205,0.013156563100900718,0.08379718651958304,0.3169382316229801,0.5832405626960834
CLAREMORRIS,2022,96,387,2763,9569,14791,27606,0.003477504890241252,0.014018691588785047,0.10008693762225603,0.34662754473665147,0.5357893211620662
CLONDALKIN,2022,198,791,4625,15876,25992,47482,0.0041700012636367466,0.016658944442104376,0.09740533254707047,0.33435828313887367,0.5474074386083148
CLONMEL,2022,99,411,2454,7879,12275,23118,0.004282377368284454,0.01777835452893849,0.1061510511289904,0.34081667964356777,0.5309715373302188
CLONTARF,2022,184,749,4617,15789,33149,54488,0.003376890324475114,0.013746145940390544,0.08473425341359565,0.2897702246366172,0.6083724856849214
COBH,2022,108,421,2784,10684,21984,35981,0.003001584169422751,0.011700619771546093,0.07737416970067536,0.29693449320474696,0.6109891331536088
CONAMARA NORTH,2022,73,255,1955,5870,9097,17250,0.004231884057971014,0.014782608695652174,0.11333333333333333,0.3402898550724638,0.5273623188405797
CONAMARA SOUTH,2022,71,296,2060,6475,13122,22024,0.0032237559026516527,0.013439883763167454,0.09353432618961133,0.29399745731928806,0.5958045768252815
CORCA DHUIBHNE,2022,33,165,1335,4758,8065,14356,0.00229869044302034,0.0114934522151017,0.09299247701309557,0.33142936751184177,0.5617860128169406
CORK CITY NORTH EAST,2022,156,705,3862,13071,22859,40653,0.003837355176739724,0.017341893587189138,0.0949991390549283,0.32152608663567267,0.5622955255454702
CORK CITY NORTH WEST,2022,231,821,4507,12331,19523,37413,0.006174324432683826,0.021944243979365462,0.12046614813032903,0.32959131852564616,0.5218239649319755
CORK CITY SOUTH CENTRAL,2022,132,635,3796,12390,20166,37119,0.003556130283682211,0.017107141894986397,0.10226568603680056,0.3337913198092621,0.5432797219752687
CORK CITY SOUTH EAST,2022,123,535,3553,12662,26216,43089,0.002854556847455267,0.01241616189746803,0.08245723966673629,0.2938569008331593,0.6084151407551811
CORK CITY SOUTH WEST,2022,160,672,4187,14828,28119,47966,0.0033356961180836427,0.014009923695951299,0.08729099779010133,0.3091356377434016,0.5862277446524622
DONAGHMEDE,2022,213,754,4371,14528,24342,44208,0.00481813246471227,0.017055736518277236,0.09887350705754615,0.3286283025696706,0.5506243213897937
DONEGAL,2022,87,411,2907,9087,14383,26875,0.0032372093023255812,0.015293023255813953,0.10816744186046512,0.3381209302325581,0.5351813953488372
DROGHEDA RURAL,2022,58,251,1648,5750,11303,19010,0.003051025775907417,0.013203577064702788,0.08669121514992109,0.30247238295633877,0.5945817990531299
DROGHEDA URBAN,2022,124,616,3162,8848,13059,25809,0.004804525553101631,0.023867643070246813,0.12251540160409159,0.3428261459180906,0.5059862838544694
DUNDALK SOUTH,2022,139,526,3462,11450,20403,35980,0.0038632573652028906,0.01461923290717065,0.0962201222901612,0.31823235130628125,0.567065036131184
DUNDALK-CARLINGFORD,2022,104,487,2559,7526,12689,23365,0.0044511020757543335,0.02084314145088808,0.10952279049860902,0.3221057136742992,0.5430772523004493
DUNDRUM,2022,91,408,2464,9063,19024,31050,0.0029307568438003222,0.013140096618357487,0.07935587761674719,0.29188405797101447,0.6126892109500806
DUNGARVAN,2022,75,318,2048,6838,12048,21327,0.003516669011112674,0.014910676607117737,0.09602850846345008,0.3206264359731795,0.56491770994514
DÚN LAOGHAIRE,2022,149,596,3814,13160,27677,45396,0.003282227509031633,0.013128910036126531,0.08401621288219227,0.28989338267688786,0.6096792668957618
EDENDERRY,2022,91,440,2413,7875,12802,23621,0.003852504127682994,0.01862749248550019,0.10215486219889082,0.3333897802802591,0.541975360907667
ENNIS,2022,130,531,3181,10328,17363,31533,0.004122665144451844,0.01683950147464561,0.10087844480385627,0.32752988932229726,0.550629499254749
ENNISCORTHY,2022,121,481,3000,8911,14871,27384,0.004418638621092609,0.017565001460706983,0.10955302366345311,0.3254089979550102,0.543054338299737
ENNISTIMON,2022,60,218,1603,5740,8840,16461,0.003644979041370512,0.01324342385031286,0.09738169005528219,0.348702994957779,0.5370269120952554
FERMOY,2022,117,490,3207,12070,21543,37427,0.003126085446335533,0.013092152723969326,0.08568680364442782,0.3224944558741016,0.5756005023111658
FIRHOUSE-BOHERNABREENA,2022,86,398,2530,10258,22977,36249,0.002372479240806643,0.010979613230709813,0.06979502882838147,0.28298711688598305,0.633865761814119
GALWAY CITY CENTRAL,2022,78,442,2641,8822,13129,25112,0.003106084740363173,0.01760114686205798,0.1051688435807582,0.351306148454922,0.5228177763618987
GALWAY CITY EAST,2022,109,422,2594,8928,13049,25102,0.0043422834833877775,0.01681140944944626,0.10333837941199904,0.3556688710062943,0.5198390566488726
GALWAY CITY WEST,2022,71,347,1976,7485,14737,24616,0.0028843028924276895,0.014096522586935327,0.08027299317517061,0.3040705232369191,0.5986756581085473
GLENCULLEN-SANDYFORD,2022,94,455,2997,13159,29850,46555,0.0020191171732359577,0.009773386317259157,0.06437546987434217,0.282654924283106,0.6411771023520567
GLENTIES,2022,137,475,3192,7603,12400,23807,0.005754609988658798,0.019952114924181964,0.1340782122905028,0.31935985214432727,0.5208552106523291
GOREY,2022,110,495,2887,9353,17005,29850,0.0036850921273031824,0.016582914572864323,0.09671691792294808,0.31333333333333335,0.569681742043551
GORT-KINVARA,2022,64,222,1898,7409,15051,24644,0.0025969810095763674,0.009008277876968025,0.07701671806524915,0.3006411296867392,0.6107368933614673
GRAIGUECULLEN-PORTARLINGTON,2022,89,420,2573,9199,16923,29204,0.0030475277359265853,0.014381591562799617,0.08810436926448431,0.3149910971099849,0.5794754143268045
GRANARD,2022,39,167,1075,3403,6128,10812,0.003607103218645949,0.015445800961894192,0.09942656307806141,0.3147428782833888,0.5667776544580096
GREYSTONES,2022,82,354,2006,7984,18685,29111,0.0028168046442925356,0.012160351757067775,0.0689086599567174,0.2742605887808732,0.6418535948610491
HOWTH-MALAHIDE,2022,150,717,4855,19347,41063,66132,0.002268190890945382,0.010841952458718926,0.07341377850359886,0.2925512611141354,0.6209248170326015
Ireland,2022,16843,72556,444895,1527027,2740994,4802315,0.003507266807779165,0.015108546607209231,0.09264177797583041,0.31797726721383335,0.5707651413953478
KANTURK,2022,87,352,2301,8273,14171,25184,0.003454574332909784,0.01397712833545108,0.09136753494282084,0.32850222363405335,0.5626985387547649
KELLS,2022,107,459,3037,10608,19130,33341,0.003209261869769953,0.0137668336282655,0.09108904951861072,0.3181668216310249,0.573768033352329
KENMARE,2022,73,332,2500,8669,14293,25867,0.0028221285808172577,0.012834886148374377,0.09664823906908417,0.33513743379595623,0.552557312405768
KILDARE,2022,107,385,2541,8904,15985,27922,0.0038321037174987465,0.013788410572308575,0.09100350977723659,0.31888833178139103,0.5724876441515651
KILKENNY,2022,104,456,2701,9046,15554,27861,0.003732816481820466,0.01636696457413589,0.09694555112881806,0.32468324898603784,0.5582714188291877
KILLALOE,2022,60,238,1640,6173,11836,19947,0.0030079711234772145,0.011931618789792951,0.08221787737504387,0.30947009575374745,0.5933724369579385
KILLARNEY,2022,83,350,2484,9714,16647,29278,0.0028348930937905593,0.011954368467791516,0.08484186078284035,0.33178495798893365,0.5685839196666439
KILLINEY-SHANKILL,2022,137,513,3243,11693,22793,38379,0.003569660491414576,0.013366684905807863,0.0844993355741421,0.3046718257380338,0.5938924932906017
