CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
NEWBRIDGE,2022,517,1488,4790,1938,3050,2595,14378,0.03595771317290305,0.10349144526359716,0.3331478647934344,0.13478926137153985,0.21212964250938934,0.18048407288913618
NEWCASTLE WEST,2022,567,2116,3884,1610,1985,1225,11387,0.04979362430842189,0.18582594186352858,0.34109071748485115,0.14138930359181523,0.17432159480108897,0.1075788179502942
NEWPORT,2022,232,711,2089,810,1546,1292,6680,0.03473053892215569,0.10643712574850299,0.3127245508982036,0.12125748502994012,0.231437125748503,0.19341317365269461
NORTH INNER CITY,2022,1202,2797,5467,2379,6737,7465,26047,0.04614734902292011,0.10738280800092141,0.20988981456597688,0.09133489461358314,0.2586478289246362,0.2865973048719622
ONGAR,2022,430,1098,4880,2105,3308,2774,14595,0.02946214457005824,0.07523124357656731,0.3343610825625214,0.14422747516272696,0.22665296334361082,0.19006509078451525
PALMERSTOWN-FONTHILL,2022,734,2001,3059,1181,1006,772,8753,0.08385696332685937,0.2286073346281275,0.3494801782246087,0.13492516851365247,0.11493202330629498,0.08819833200045699
PEMBROKE,2022,212,558,2491,895,7849,9771,21776,0.009735488611315209,0.025624540778839088,0.1143919911829537,0.04110029390154298,0.3604426891991183,0.44870499632623073
PILTOWN,2022,363,1003,2941,1287,1841,1183,8618,0.04212114179624043,0.11638431190531445,0.34126247389185427,0.14933859364121607,0.21362265026688326,0.13727082849849154
PORTLAOISE,2022,516,1357,4449,1923,2518,1751,12514,0.04123381812370146,0.10843854882531564,0.3555218155665654,0.15366789196100367,0.2012146396036439,0.13992328591976985
PORTLAW-KILMACTHOMAS,2022,282,1101,2326,960,1534,1041,7244,0.038928768636112644,0.15198785201546108,0.3210933186085036,0.13252346769740475,0.21176145775814467,0.1437051352843733
RATHFARNHAM-TEMPLEOGUE,2022,508,2400,6357,2264,6951,6625,25105,0.02023501294562836,0.09559848635729934,0.2532164907388966,0.09018123879705238,0.27687711611232824,0.2638916550487951
RATOATH,2022,373,1080,4505,1785,4018,3424,15185,0.024563714191636485,0.07112281857095819,0.2966743496871913,0.11755021402700033,0.26460322686862037,0.22548567665459335
ROSCOMMON,2022,558,1436,3509,1380,1711,1216,9810,0.05688073394495413,0.14638124362895005,0.3576962283384302,0.14067278287461774,0.1744138634046891,0.12395514780835881
ROSCREA-TEMPLEMORE,2022,339,1057,2532,1041,1101,677,6747,0.05024455313472655,0.15666222024603527,0.375277901289462,0.154290795909293,0.16318363717207648,0.1003408922484067
ROSSLARE,2022,554,1534,3432,1288,1644,1139,9591,0.057762485663643,0.15994161192784903,0.3578354707538317,0.1342925659472422,0.17141069752893337,0.11875716817850068
RUSH-LUSK,2022,489,1329,4797,2023,3590,2904,15132,0.03231562252180809,0.08782712133227596,0.3170103092783505,0.13369019296854348,0.23724557229711868,0.19191118160190326
SHANNON,2022,366,1242,4420,1672,2471,1785,11956,0.030612244897959183,0.10388089662094346,0.3696888591502175,0.13984610237537637,0.2066744730679157,0.14929742388758782
SKIBBEREEN-WEST CORK,2022,525,1557,3993,2048,2917,2154,13194,0.03979081400636653,0.11800818553888132,0.302637562528422,0.15522207063816887,0.22108534182204032,0.16325602546612097
SLIGO-DRUMCLIFF,2022,184,682,2239,916,1888,1633,7542,0.02439671174754707,0.09042694245558207,0.2968708565367277,0.12145319543887563,0.2503314770617873,0.21652081675948023
SLIGO-STRANDHILL,2022,311,1190,2689,1210,2020,1572,8992,0.034586298932384345,0.13233985765124556,0.2990435943060498,0.13456405693950177,0.22464412811387902,0.1748220640569395
SOUTH EAST INNER CITY,2022,551,1689,2845,1136,5005,6446,17672,0.0311792666364871,0.09557492077863286,0.1609891353553644,0.06428248076052512,0.2832163875056587,0.3647578089633318
SOUTH WEST INNER CITY,2022,651,1801,3399,1469,5095,5585,18000,0.036166666666666666,0.10005555555555555,0.18883333333333333,0.0816111111111111,0.28305555555555556,0.31027777777777776
STILLORGAN,2022,109,300,2814,795,4710,5497,14225,0.0076625659050966605,0.0210896309314587,0.1978207381370826,0.05588752196836556,0.33110720562390156,0.3864323374340949
