Statistic Label,Census Year,Local Electoral Area,Age,Sex,UNIT,VALUE
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 25-29,Males,Number,647
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 25-29,Females,Number,650
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 25-29,Both Sexes,Number,1297
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 30-34,Males,Number,676
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 30-34,Females,Number,772
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 30-34,Both Sexes,Number,1448
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 35-39,Males,Number,883
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 35-39,Females,Number,957
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 35-39,Both Sexes,Number,1840
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 40-44,Males,Number,918
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 40-44,Females,Number,1043
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 40-44,Both Sexes,Number,1961
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 45-49,Males,Number,909
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 45-49,Females,Number,926
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 45-49,Both Sexes,Number,1835
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 50-54,Males,Number,932
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 50-54,Females,Number,881
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 50-54,Both Sexes,Number,1813
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 55-59,Males,Number,803
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 55-59,Females,Number,824
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 55-59,Both Sexes,Number,1627
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 60-64,Males,Number,797
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 60-64,Females,Number,735
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 60-64,Both Sexes,Number,1532
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 65-69,Males,Number,671
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 65-69,Females,Number,642
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 65-69,Both Sexes,Number,1313
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 70-74,Males,Number,550
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 70-74,Females,Number,536
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 70-74,Both Sexes,Number,1086
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 75-79,Males,Number,405
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 75-79,Females,Number,427
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 75-79,Both Sexes,Number,832
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 80-84,Males,Number,220
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 80-84,Females,Number,252
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 80-84,Both Sexes,Number,472
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 85 and over,Males,Number,174
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 85 and over,Females,Number,284
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Age 85 and over,Both Sexes,Number,458
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Total,Males,Number,13215
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Total,Females,Number,13237
Population,2022,"Borris-In-Ossory-Mountmellick, Laois",Total,Both Sexes,Number,26452
Population,2022,"Portlaoise, Laois",Age 0,Males,Number,211
Population,2022,"Portlaoise, Laois",Age 0,Females,Number,226
Population,2022,"Portlaoise, Laois",Age 0,Both Sexes,Number,437
Population,2022,"Portlaoise, Laois",Age 1,Males,Number,164
Population,2022,"Portlaoise, Laois",Age 1,Females,Number,195
Population,2022,"Portlaoise, Laois",Age 1,Both Sexes,Number,359
Population,2022,"Portlaoise, Laois",Age 2,Males,Number,248
Population,2022,"Portlaoise, Laois",Age 2,Females,Number,228
Population,2022,"Portlaoise, Laois",Age 2,Both Sexes,Number,476
Population,2022,"Portlaoise, Laois",Age 3,Males,Number,253
Population,2022,"Portlaoise, Laois",Age 3,Females,Number,221
Population,2022,"Portlaoise, Laois",Age 3,Both Sexes,Number,474
Population,2022,"Portlaoise, Laois",Age 4,Males,Number,250
Population,2022,"Portlaoise, Laois",Age 4,Females,Number,231
Population,2022,"Portlaoise, Laois",Age 4,Both Sexes,Number,481
Population,2022,"Portlaoise, Laois",Age 5,Males,Number,254
Population,2022,"Portlaoise, Laois",Age 5,Females,Number,233
Population,2022,"Portlaoise, Laois",Age 5,Both Sexes,Number,487
Population,2022,"Portlaoise, Laois",Age 6,Males,Number,263
Population,2022,"Portlaoise, Laois",Age 6,Females,Number,265
Population,2022,"Portlaoise, Laois",Age 6,Both Sexes,Number,528
Population,2022,"Portlaoise, Laois",Age 7,Males,Number,273
Population,2022,"Portlaoise, Laois",Age 7,Females,Number,276
Population,2022,"Portlaoise, Laois",Age 7,Both Sexes,Number,549
Population,2022,"Portlaoise, Laois",Age 8,Males,Number,285
Population,2022,"Portlaoise, Laois",Age 8,Females,Number,288
Population,2022,"Portlaoise, Laois",Age 8,Both Sexes,Number,573
Population,2022,"Portlaoise, Laois",Age 9,Males,Number,280
Population,2022,"Portlaoise, Laois",Age 9,Females,Number,259
Population,2022,"Portlaoise, Laois",Age 9,Both Sexes,Number,539
Population,2022,"Portlaoise, Laois",Age 10,Males,Number,291
Population,2022,"Portlaoise, Laois",Age 10,Females,Number,317
Population,2022,"Portlaoise, Laois",Age 10,Both Sexes,Number,608
Population,2022,"Portlaoise, Laois",Age 11,Males,Number,312
Population,2022,"Portlaoise, Laois",Age 11,Females,Number,279
Population,2022,"Portlaoise, Laois",Age 11,Both Sexes,Number,591
Population,2022,"Portlaoise, Laois",Age 12,Males,Number,317
Population,2022,"Portlaoise, Laois",Age 12,Females,Number,291
Population,2022,"Portlaoise, Laois",Age 12,Both Sexes,Number,608
Population,2022,"Portlaoise, Laois",Age 13,Males,Number,284
Population,2022,"Portlaoise, Laois",Age 13,Females,Number,299
Population,2022,"Portlaoise, Laois",Age 13,Both Sexes,Number,583
Population,2022,"Portlaoise, Laois",Age 14,Males,Number,307
Population,2022,"Portlaoise, Laois",Age 14,Females,Number,296
Population,2022,"Portlaoise, Laois",Age 14,Both Sexes,Number,603
Population,2022,"Portlaoise, Laois",Age 15,Males,Number,267
Population,2022,"Portlaoise, Laois",Age 15,Females,Number,263
Population,2022,"Portlaoise, Laois",Age 15,Both Sexes,Number,530
Population,2022,"Portlaoise, Laois",Age 16,Males,Number,235
Population,2022,"Portlaoise, Laois",Age 16,Females,Number,226
Population,2022,"Portlaoise, Laois",Age 16,Both Sexes,Number,461
Population,2022,"Portlaoise, Laois",Age 17,Males,Number,261
Population,2022,"Portlaoise, Laois",Age 17,Females,Number,264
Population,2022,"Portlaoise, Laois",Age 17,Both Sexes,Number,525
Population,2022,"Portlaoise, Laois",Age 18,Males,Number,238
Population,2022,"Portlaoise, Laois",Age 18,Females,Number,220
Population,2022,"Portlaoise, Laois",Age 18,Both Sexes,Number,458
Population,2022,"Portlaoise, Laois",Age 19,Males,Number,235
Population,2022,"Portlaoise, Laois",Age 19,Females,Number,177
Population,2022,"Portlaoise, Laois",Age 19,Both Sexes,Number,412
Population,2022,"Portlaoise, Laois",Age 20-24,Males,Number,958
Population,2022,"Portlaoise, Laois",Age 20-24,Females,Number,845
Population,2022,"Portlaoise, Laois",Age 20-24,Both Sexes,Number,1803
Population,2022,"Portlaoise, Laois",Age 25-29,Males,Number,948
Population,2022,"Portlaoise, Laois",Age 25-29,Females,Number,824
Population,2022,"Portlaoise, Laois",Age 25-29,Both Sexes,Number,1772
Population,2022,"Portlaoise, Laois",Age 30-34,Males,Number,1167
Population,2022,"Portlaoise, Laois",Age 30-34,Females,Number,1113
Population,2022,"Portlaoise, Laois",Age 30-34,Both Sexes,Number,2280
Population,2022,"Portlaoise, Laois",Age 35-39,Males,Number,1513
Population,2022,"Portlaoise, Laois",Age 35-39,Females,Number,1562
Population,2022,"Portlaoise, Laois",Age 35-39,Both Sexes,Number,3075
Population,2022,"Portlaoise, Laois",Age 40-44,Males,Number,1584
Population,2022,"Portlaoise, Laois",Age 40-44,Females,Number,1508
Population,2022,"Portlaoise, Laois",Age 40-44,Both Sexes,Number,3092
Population,2022,"Portlaoise, Laois",Age 45-49,Males,Number,1290
Population,2022,"Portlaoise, Laois",Age 45-49,Females,Number,1271
Population,2022,"Portlaoise, Laois",Age 45-49,Both Sexes,Number,2561
Population,2022,"Portlaoise, Laois",Age 50-54,Males,Number,1166
Population,2022,"Portlaoise, Laois",Age 50-54,Females,Number,1040
Population,2022,"Portlaoise, Laois",Age 50-54,Both Sexes,Number,2206
Population,2022,"Portlaoise, Laois",Age 55-59,Males,Number,977
Population,2022,"Portlaoise, Laois",Age 55-59,Females,Number,913
Population,2022,"Portlaoise, Laois",Age 55-59,Both Sexes,Number,1890
Population,2022,"Portlaoise, Laois",Age 60-64,Males,Number,840
Population,2022,"Portlaoise, Laois",Age 60-64,Females,Number,785
Population,2022,"Portlaoise, Laois",Age 60-64,Both Sexes,Number,1625
Population,2022,"Portlaoise, Laois",Age 65-69,Males,Number,692
Population,2022,"Portlaoise, Laois",Age 65-69,Females,Number,674
Population,2022,"Portlaoise, Laois",Age 65-69,Both Sexes,Number,1366
Population,2022,"Portlaoise, Laois",Age 70-74,Males,Number,557
Population,2022,"Portlaoise, Laois",Age 70-74,Females,Number,497
Population,2022,"Portlaoise, Laois",Age 70-74,Both Sexes,Number,1054
Population,2022,"Portlaoise, Laois",Age 75-79,Males,Number,371
Population,2022,"Portlaoise, Laois",Age 75-79,Females,Number,414
Population,2022,"Portlaoise, Laois",Age 75-79,Both Sexes,Number,785
Population,2022,"Portlaoise, Laois",Age 80-84,Males,Number,203
Population,2022,"Portlaoise, Laois",Age 80-84,Females,Number,266
Population,2022,"Portlaoise, Laois",Age 80-84,Both Sexes,Number,469
Population,2022,"Portlaoise, Laois",Age 85 and over,Males,Number,137
Population,2022,"Portlaoise, Laois",Age 85 and over,Females,Number,206
Population,2022,"Portlaoise, Laois",Age 85 and over,Both Sexes,Number,343
Population,2022,"Portlaoise, Laois",Total,Males,Number,17631
Population,2022,"Portlaoise, Laois",Total,Females,Number,16972
Population,2022,"Portlaoise, Laois",Total,Both Sexes,Number,34603
Population,2022,"Graiguecullen -Portarlington, Laois",Age 0,Males,Number,173
Population,2022,"Graiguecullen -Portarlington, Laois",Age 0,Females,Number,170
Population,2022,"Graiguecullen -Portarlington, Laois",Age 0,Both Sexes,Number,343
Population,2022,"Graiguecullen -Portarlington, Laois",Age 1,Males,Number,185
Population,2022,"Graiguecullen -Portarlington, Laois",Age 1,Females,Number,163
Population,2022,"Graiguecullen -Portarlington, Laois",Age 1,Both Sexes,Number,348
Population,2022,"Graiguecullen -Portarlington, Laois",Age 2,Males,Number,186
Population,2022,"Graiguecullen -Portarlington, Laois",Age 2,Females,Number,182
Population,2022,"Graiguecullen -Portarlington, Laois",Age 2,Both Sexes,Number,368
Population,2022,"Graiguecullen -Portarlington, Laois",Age 3,Males,Number,215
Population,2022,"Graiguecullen -Portarlington, Laois",Age 3,Females,Number,189
Population,2022,"Graiguecullen -Portarlington, Laois",Age 3,Both Sexes,Number,404
Population,2022,"Graiguecullen -Portarlington, Laois",Age 4,Males,Number,205
Population,2022,"Graiguecullen -Portarlington, Laois",Age 4,Females,Number,187
Population,2022,"Graiguecullen -Portarlington, Laois",Age 4,Both Sexes,Number,392
Population,2022,"Graiguecullen -Portarlington, Laois",Age 5,Males,Number,215
Population,2022,"Graiguecullen -Portarlington, Laois",Age 5,Females,Number,190
Population,2022,"Graiguecullen -Portarlington, Laois",Age 5,Both Sexes,Number,405
Population,2022,"Graiguecullen -Portarlington, Laois",Age 6,Males,Number,229
Population,2022,"Graiguecullen -Portarlington, Laois",Age 6,Females,Number,207
Population,2022,"Graiguecullen -Portarlington, Laois",Age 6,Both Sexes,Number,436
Population,2022,"Graiguecullen -Portarlington, Laois",Age 7,Males,Number,259
Population,2022,"Graiguecullen -Portarlington, Laois",Age 7,Females,Number,226
Population,2022,"Graiguecullen -Portarlington, Laois",Age 7,Both Sexes,Number,485
Population,2022,"Graiguecullen -Portarlington, Laois",Age 8,Males,Number,260
Population,2022,"Graiguecullen -Portarlington, Laois",Age 8,Females,Number,264
Population,2022,"Graiguecullen -Portarlington, Laois",Age 8,Both Sexes,Number,524
Population,2022,"Graiguecullen -Portarlington, Laois",Age 9,Males,Number,283
Population,2022,"Graiguecullen -Portarlington, Laois",Age 9,Females,Number,214
Population,2022,"Graiguecullen -Portarlington, Laois",Age 9,Both Sexes,Number,497
Population,2022,"Graiguecullen -Portarlington, Laois",Age 10,Males,Number,277
Population,2022,"Graiguecullen -Portarlington, Laois",Age 10,Females,Number,278
Population,2022,"Graiguecullen -Portarlington, Laois",Age 10,Both Sexes,Number,555
Population,2022,"Graiguecullen -Portarlington, Laois",Age 11,Males,Number,279
Population,2022,"Graiguecullen -Portarlington, Laois",Age 11,Females,Number,269
Population,2022,"Graiguecullen -Portarlington, Laois",Age 11,Both Sexes,Number,548
Population,2022,"Graiguecullen -Portarlington, Laois",Age 12,Males,Number,286
Population,2022,"Graiguecullen -Portarlington, Laois",Age 12,Females,Number,281
Population,2022,"Graiguecullen -Portarlington, Laois",Age 12,Both Sexes,Number,567
Population,2022,"Graiguecullen -Portarlington, Laois",Age 13,Males,Number,282
Population,2022,"Graiguecullen -Portarlington, Laois",Age 13,Females,Number,262
Population,2022,"Graiguecullen -Portarlington, Laois",Age 13,Both Sexes,Number,544
Population,2022,"Graiguecullen -Portarlington, Laois",Age 14,Males,Number,284
Population,2022,"Graiguecullen -Portarlington, Laois",Age 14,Females,Number,263
Population,2022,"Graiguecullen -Portarlington, Laois",Age 14,Both Sexes,Number,547
Population,2022,"Graiguecullen -Portarlington, Laois",Age 15,Males,Number,277
Population,2022,"Graiguecullen -Portarlington, Laois",Age 15,Females,Number,241
Population,2022,"Graiguecullen -Portarlington, Laois",Age 15,Both Sexes,Number,518
Population,2022,"Graiguecullen -Portarlington, Laois",Age 16,Males,Number,258
Population,2022,"Graiguecullen -Portarlington, Laois",Age 16,Females,Number,230
Population,2022,"Graiguecullen -Portarlington, Laois",Age 16,Both Sexes,Number,488
Population,2022,"Graiguecullen -Portarlington, Laois",Age 17,Males,Number,239
Population,2022,"Graiguecullen -Portarlington, Laois",Age 17,Females,Number,245
Population,2022,"Graiguecullen -Portarlington, Laois",Age 17,Both Sexes,Number,484
Population,2022,"Graiguecullen -Portarlington, Laois",Age 18,Males,Number,217
Population,2022,"Graiguecullen -Portarlington, Laois",Age 18,Females,Number,216
Population,2022,"Graiguecullen -Portarlington, Laois",Age 18,Both Sexes,Number,433
Population,2022,"Graiguecullen -Portarlington, Laois",Age 19,Males,Number,194
Population,2022,"Graiguecullen -Portarlington, Laois",Age 19,Females,Number,198
Population,2022,"Graiguecullen -Portarlington, Laois",Age 19,Both Sexes,Number,392
Population,2022,"Graiguecullen -Portarlington, Laois",Age 20-24,Males,Number,867
Population,2022,"Graiguecullen -Portarlington, Laois",Age 20-24,Females,Number,809
Population,2022,"Graiguecullen -Portarlington, Laois",Age 20-24,Both Sexes,Number,1676
Population,2022,"Graiguecullen -Portarlington, Laois",Age 25-29,Males,Number,672
Population,2022,"Graiguecullen -Portarlington, Laois",Age 25-29,Females,Number,671
Population,2022,"Graiguecullen -Portarlington, Laois",Age 25-29,Both Sexes,Number,1343
Population,2022,"Graiguecullen -Portarlington, Laois",Age 30-34,Males,Number,781
Population,2022,"Graiguecullen -Portarlington, Laois",Age 30-34,Females,Number,888
Population,2022,"Graiguecullen -Portarlington, Laois",Age 30-34,Both Sexes,Number,1669
Population,2022,"Graiguecullen -Portarlington, Laois",Age 35-39,Males,Number,1110
Population,2022,"Graiguecullen -Portarlington, Laois",Age 35-39,Females,Number,1292
Population,2022,"Graiguecullen -Portarlington, Laois",Age 35-39,Both Sexes,Number,2402
Population,2022,"Graiguecullen -Portarlington, Laois",Age 40-44,Males,Number,1296
Population,2022,"Graiguecullen -Portarlington, Laois",Age 40-44,Females,Number,1403
Population,2022,"Graiguecullen -Portarlington, Laois",Age 40-44,Both Sexes,Number,2699
Population,2022,"Graiguecullen -Portarlington, Laois",Age 45-49,Males,Number,1197
Population,2022,"Graiguecullen -Portarlington, Laois",Age 45-49,Females,Number,1231
Population,2022,"Graiguecullen -Portarlington, Laois",Age 45-49,Both Sexes,Number,2428
Population,2022,"Graiguecullen -Portarlington, Laois",Age 50-54,Males,Number,1128
Population,2022,"Graiguecullen -Portarlington, Laois",Age 50-54,Females,Number,1061
Population,2022,"Graiguecullen -Portarlington, Laois",Age 50-54,Both Sexes,Number,2189
Population,2022,"Graiguecullen -Portarlington, Laois",Age 55-59,Males,Number,931
Population,2022,"Graiguecullen -Portarlington, Laois",Age 55-59,Females,Number,889
Population,2022,"Graiguecullen -Portarlington, Laois",Age 55-59,Both Sexes,Number,1820
Population,2022,"Graiguecullen -Portarlington, Laois",Age 60-64,Males,Number,775
Population,2022,"Graiguecullen -Portarlington, Laois",Age 60-64,Females,Number,743
Population,2022,"Graiguecullen -Portarlington, Laois",Age 60-64,Both Sexes,Number,1518
Population,2022,"Graiguecullen -Portarlington, Laois",Age 65-69,Males,Number,650
Population,2022,"Graiguecullen -Portarlington, Laois",Age 65-69,Females,Number,630
Population,2022,"Graiguecullen -Portarlington, Laois",Age 65-69,Both Sexes,Number,1280
Population,2022,"Graiguecullen -Portarlington, Laois",Age 70-74,Males,Number,498
Population,2022,"Graiguecullen -Portarlington, Laois",Age 70-74,Females,Number,496
Population,2022,"Graiguecullen -Portarlington, Laois",Age 70-74,Both Sexes,Number,994
Population,2022,"Graiguecullen -Portarlington, Laois",Age 75-79,Males,Number,381
Population,2022,"Graiguecullen -Portarlington, Laois",Age 75-79,Females,Number,405
Population,2022,"Graiguecullen -Portarlington, Laois",Age 75-79,Both Sexes,Number,786
Population,2022,"Graiguecullen -Portarlington, Laois",Age 80-84,Males,Number,220
Population,2022,"Graiguecullen -Portarlington, Laois",Age 80-84,Females,Number,209
Population,2022,"Graiguecullen -Portarlington, Laois",Age 80-84,Both Sexes,Number,429
Population,2022,"Graiguecullen -Portarlington, Laois",Age 85 and over,Males,Number,123
Population,2022,"Graiguecullen -Portarlington, Laois",Age 85 and over,Females,Number,188
Population,2022,"Graiguecullen -Portarlington, Laois",Age 85 and over,Both Sexes,Number,311
Population,2022,"Graiguecullen -Portarlington, Laois",Total,Males,Number,15432
Population,2022,"Graiguecullen -Portarlington, Laois",Total,Females,Number,15390
Population,2022,"Graiguecullen -Portarlington, Laois",Total,Both Sexes,Number,30822
Population,2022,"Carlow, Carlow",Age 0,Males,Number,143
Population,2022,"Carlow, Carlow",Age 0,Females,Number,162
Population,2022,"Carlow, Carlow",Age 0,Both Sexes,Number,305
Population,2022,"Carlow, Carlow",Age 1,Males,Number,149
Population,2022,"Carlow, Carlow",Age 1,Females,Number,109
Population,2022,"Carlow, Carlow",Age 1,Both Sexes,Number,258
Population,2022,"Carlow, Carlow",Age 2,Males,Number,141
Population,2022,"Carlow, Carlow",Age 2,Females,Number,137
Population,2022,"Carlow, Carlow",Age 2,Both Sexes,Number,278
Population,2022,"Carlow, Carlow",Age 3,Males,Number,134
Population,2022,"Carlow, Carlow",Age 3,Females,Number,140
Population,2022,"Carlow, Carlow",Age 3,Both Sexes,Number,274
Population,2022,"Carlow, Carlow",Age 4,Males,Number,152
Population,2022,"Carlow, Carlow",Age 4,Females,Number,142
Population,2022,"Carlow, Carlow",Age 4,Both Sexes,Number,294
Population,2022,"Carlow, Carlow",Age 5,Males,Number,150
Population,2022,"Carlow, Carlow",Age 5,Females,Number,149
Population,2022,"Carlow, Carlow",Age 5,Both Sexes,Number,299
Population,2022,"Carlow, Carlow",Age 6,Males,Number,138
Population,2022,"Carlow, Carlow",Age 6,Females,Number,151
Population,2022,"Carlow, Carlow",Age 6,Both Sexes,Number,289
Population,2022,"Carlow, Carlow",Age 7,Males,Number,164
Population,2022,"Carlow, Carlow",Age 7,Females,Number,179
Population,2022,"Carlow, Carlow",Age 7,Both Sexes,Number,343
Population,2022,"Carlow, Carlow",Age 8,Males,Number,166
Population,2022,"Carlow, Carlow",Age 8,Females,Number,148
Population,2022,"Carlow, Carlow",Age 8,Both Sexes,Number,314
Population,2022,"Carlow, Carlow",Age 9,Males,Number,170
Population,2022,"Carlow, Carlow",Age 9,Females,Number,173
Population,2022,"Carlow, Carlow",Age 9,Both Sexes,Number,343
Population,2022,"Carlow, Carlow",Age 10,Males,Number,196
Population,2022,"Carlow, Carlow",Age 10,Females,Number,173
Population,2022,"Carlow, Carlow",Age 10,Both Sexes,Number,369
Population,2022,"Carlow, Carlow",Age 11,Males,Number,182
Population,2022,"Carlow, Carlow",Age 11,Females,Number,175
Population,2022,"Carlow, Carlow",Age 11,Both Sexes,Number,357
Population,2022,"Carlow, Carlow",Age 12,Males,Number,194
Population,2022,"Carlow, Carlow",Age 12,Females,Number,167
Population,2022,"Carlow, Carlow",Age 12,Both Sexes,Number,361
Population,2022,"Carlow, Carlow",Age 13,Males,Number,167
Population,2022,"Carlow, Carlow",Age 13,Females,Number,200
Population,2022,"Carlow, Carlow",Age 13,Both Sexes,Number,367
Population,2022,"Carlow, Carlow",Age 14,Males,Number,164
Population,2022,"Carlow, Carlow",Age 14,Females,Number,185
