Statistic Label,Census Year,Local Electoral Area,Age,Sex,UNIT,VALUE
Population,2022,"Carrick-On-Suir, Tipperary",Age 0,Both Sexes,Number,231
Population,2022,"Carrick-On-Suir, Tipperary",Age 1,Males,Number,88
Population,2022,"Carrick-On-Suir, Tipperary",Age 1,Females,Number,100
Population,2022,"Carrick-On-Suir, Tipperary",Age 1,Both Sexes,Number,188
Population,2022,"Carrick-On-Suir, Tipperary",Age 2,Males,Number,107
Population,2022,"Carrick-On-Suir, Tipperary",Age 2,Females,Number,104
Population,2022,"Carrick-On-Suir, Tipperary",Age 2,Both Sexes,Number,211
Population,2022,"Carrick-On-Suir, Tipperary",Age 3,Males,Number,107
Population,2022,"Carrick-On-Suir, Tipperary",Age 3,Females,Number,114
Population,2022,"Carrick-On-Suir, Tipperary",Age 3,Both Sexes,Number,221
Population,2022,"Carrick-On-Suir, Tipperary",Age 4,Males,Number,123
Population,2022,"Carrick-On-Suir, Tipperary",Age 4,Females,Number,120
Population,2022,"Carrick-On-Suir, Tipperary",Age 4,Both Sexes,Number,243
Population,2022,"Carrick-On-Suir, Tipperary",Age 5,Males,Number,122
Population,2022,"Carrick-On-Suir, Tipperary",Age 5,Females,Number,115
Population,2022,"Carrick-On-Suir, Tipperary",Age 5,Both Sexes,Number,237
Population,2022,"Carrick-On-Suir, Tipperary",Age 6,Males,Number,127
Population,2022,"Carrick-On-Suir, Tipperary",Age 6,Females,Number,121
Population,2022,"Carrick-On-Suir, Tipperary",Age 6,Both Sexes,Number,248
Population,2022,"Carrick-On-Suir, Tipperary",Age 7,Males,Number,129
Population,2022,"Carrick-On-Suir, Tipperary",Age 7,Females,Number,138
Population,2022,"Carrick-On-Suir, Tipperary",Age 7,Both Sexes,Number,267
Population,2022,"Carrick-On-Suir, Tipperary",Age 8,Males,Number,136
Population,2022,"Carrick-On-Suir, Tipperary",Age 8,Females,Number,144
Population,2022,"Carrick-On-Suir, Tipperary",Age 8,Both Sexes,Number,280
Population,2022,"Carrick-On-Suir, Tipperary",Age 9,Males,Number,123
Population,2022,"Carrick-On-Suir, Tipperary",Age 9,Females,Number,132
Population,2022,"Carrick-On-Suir, Tipperary",Age 9,Both Sexes,Number,255
Population,2022,"Carrick-On-Suir, Tipperary",Age 10,Males,Number,131
Population,2022,"Carrick-On-Suir, Tipperary",Age 10,Females,Number,140
Population,2022,"Carrick-On-Suir, Tipperary",Age 10,Both Sexes,Number,271
Population,2022,"Carrick-On-Suir, Tipperary",Age 11,Males,Number,141
Population,2022,"Carrick-On-Suir, Tipperary",Age 11,Females,Number,144
Population,2022,"Carrick-On-Suir, Tipperary",Age 11,Both Sexes,Number,285
Population,2022,"Carrick-On-Suir, Tipperary",Age 12,Males,Number,166
Population,2022,"Carrick-On-Suir, Tipperary",Age 12,Females,Number,150
Population,2022,"Carrick-On-Suir, Tipperary",Age 12,Both Sexes,Number,316
Population,2022,"Carrick-On-Suir, Tipperary",Age 13,Males,Number,146
Population,2022,"Carrick-On-Suir, Tipperary",Age 13,Females,Number,121
Population,2022,"Carrick-On-Suir, Tipperary",Age 13,Both Sexes,Number,267
Population,2022,"Carrick-On-Suir, Tipperary",Age 14,Males,Number,168
Population,2022,"Carrick-On-Suir, Tipperary",Age 14,Females,Number,151
Population,2022,"Carrick-On-Suir, Tipperary",Age 14,Both Sexes,Number,319
Population,2022,"Carrick-On-Suir, Tipperary",Age 15,Males,Number,154
Population,2022,"Carrick-On-Suir, Tipperary",Age 15,Females,Number,159
Population,2022,"Carrick-On-Suir, Tipperary",Age 15,Both Sexes,Number,313
Population,2022,"Carrick-On-Suir, Tipperary",Age 16,Males,Number,157
Population,2022,"Carrick-On-Suir, Tipperary",Age 16,Females,Number,143
Population,2022,"Carrick-On-Suir, Tipperary",Age 16,Both Sexes,Number,300
Population,2022,"Carrick-On-Suir, Tipperary",Age 17,Males,Number,156
Population,2022,"Carrick-On-Suir, Tipperary",Age 17,Females,Number,152
Population,2022,"Carrick-On-Suir, Tipperary",Age 17,Both Sexes,Number,308
Population,2022,"Carrick-On-Suir, Tipperary",Age 18,Males,Number,131
Population,2022,"Carrick-On-Suir, Tipperary",Age 18,Females,Number,123
Population,2022,"Carrick-On-Suir, Tipperary",Age 18,Both Sexes,Number,254
Population,2022,"Carrick-On-Suir, Tipperary",Age 19,Males,Number,109
Population,2022,"Carrick-On-Suir, Tipperary",Age 19,Females,Number,90
Population,2022,"Carrick-On-Suir, Tipperary",Age 19,Both Sexes,Number,199
Population,2022,"Carrick-On-Suir, Tipperary",Age 20-24,Males,Number,572
Population,2022,"Carrick-On-Suir, Tipperary",Age 20-24,Females,Number,555
Population,2022,"Carrick-On-Suir, Tipperary",Age 20-24,Both Sexes,Number,1127
Population,2022,"Carrick-On-Suir, Tipperary",Age 25-29,Males,Number,500
Population,2022,"Carrick-On-Suir, Tipperary",Age 25-29,Females,Number,492
Population,2022,"Carrick-On-Suir, Tipperary",Age 25-29,Both Sexes,Number,992
Population,2022,"Carrick-On-Suir, Tipperary",Age 30-34,Males,Number,501
Population,2022,"Carrick-On-Suir, Tipperary",Age 30-34,Females,Number,563
Population,2022,"Carrick-On-Suir, Tipperary",Age 30-34,Both Sexes,Number,1064
Population,2022,"Carrick-On-Suir, Tipperary",Age 35-39,Males,Number,560
Population,2022,"Carrick-On-Suir, Tipperary",Age 35-39,Females,Number,659
Population,2022,"Carrick-On-Suir, Tipperary",Age 35-39,Both Sexes,Number,1219
Population,2022,"Carrick-On-Suir, Tipperary",Age 40-44,Males,Number,712
Population,2022,"Carrick-On-Suir, Tipperary",Age 40-44,Females,Number,698
Population,2022,"Carrick-On-Suir, Tipperary",Age 40-44,Both Sexes,Number,1410
Population,2022,"Carrick-On-Suir, Tipperary",Age 45-49,Males,Number,682
Population,2022,"Carrick-On-Suir, Tipperary",Age 45-49,Females,Number,711
Population,2022,"Carrick-On-Suir, Tipperary",Age 45-49,Both Sexes,Number,1393
Population,2022,"Carrick-On-Suir, Tipperary",Age 50-54,Males,Number,706
Population,2022,"Carrick-On-Suir, Tipperary",Age 50-54,Females,Number,714
Population,2022,"Carrick-On-Suir, Tipperary",Age 50-54,Both Sexes,Number,1420
Population,2022,"Carrick-On-Suir, Tipperary",Age 55-59,Males,Number,736
Population,2022,"Carrick-On-Suir, Tipperary",Age 55-59,Females,Number,672
Population,2022,"Carrick-On-Suir, Tipperary",Age 55-59,Both Sexes,Number,1408
Population,2022,"Carrick-On-Suir, Tipperary",Age 60-64,Males,Number,645
Population,2022,"Carrick-On-Suir, Tipperary",Age 60-64,Females,Number,656
Population,2022,"Carrick-On-Suir, Tipperary",Age 60-64,Both Sexes,Number,1301
Population,2022,"Carrick-On-Suir, Tipperary",Age 65-69,Males,Number,628
Population,2022,"Carrick-On-Suir, Tipperary",Age 65-69,Females,Number,508
Population,2022,"Carrick-On-Suir, Tipperary",Age 65-69,Both Sexes,Number,1136
Population,2022,"Carrick-On-Suir, Tipperary",Age 70-74,Males,Number,472
Population,2022,"Carrick-On-Suir, Tipperary",Age 70-74,Females,Number,459
Population,2022,"Carrick-On-Suir, Tipperary",Age 70-74,Both Sexes,Number,931
Population,2022,"Carrick-On-Suir, Tipperary",Age 75-79,Males,Number,352
Population,2022,"Carrick-On-Suir, Tipperary",Age 75-79,Females,Number,376
Population,2022,"Carrick-On-Suir, Tipperary",Age 75-79,Both Sexes,Number,728
Population,2022,"Carrick-On-Suir, Tipperary",Age 80-84,Males,Number,205
Population,2022,"Carrick-On-Suir, Tipperary",Age 80-84,Females,Number,241
Population,2022,"Carrick-On-Suir, Tipperary",Age 80-84,Both Sexes,Number,446
Population,2022,"Carrick-On-Suir, Tipperary",Age 85 and over,Males,Number,144
Population,2022,"Carrick-On-Suir, Tipperary",Age 85 and over,Females,Number,259
Population,2022,"Carrick-On-Suir, Tipperary",Age 85 and over,Both Sexes,Number,403
Population,2022,"Carrick-On-Suir, Tipperary",Total,Males,Number,10055
Population,2022,"Carrick-On-Suir, Tipperary",Total,Females,Number,10136
Population,2022,"Carrick-On-Suir, Tipperary",Total,Both Sexes,Number,20191
Population,2022,"Clonmel, Tipperary",Age 0,Males,Number,133
Population,2022,"Clonmel, Tipperary",Age 0,Females,Number,118
Population,2022,"Clonmel, Tipperary",Age 0,Both Sexes,Number,251
Population,2022,"Clonmel, Tipperary",Age 1,Males,Number,144
Population,2022,"Clonmel, Tipperary",Age 1,Females,Number,116
Population,2022,"Clonmel, Tipperary",Age 1,Both Sexes,Number,260
Population,2022,"Clonmel, Tipperary",Age 2,Males,Number,132
Population,2022,"Clonmel, Tipperary",Age 2,Females,Number,131
Population,2022,"Clonmel, Tipperary",Age 2,Both Sexes,Number,263
Population,2022,"Clonmel, Tipperary",Age 3,Males,Number,130
Population,2022,"Clonmel, Tipperary",Age 3,Females,Number,146
Population,2022,"Clonmel, Tipperary",Age 3,Both Sexes,Number,276
Population,2022,"Clonmel, Tipperary",Age 4,Males,Number,160
Population,2022,"Clonmel, Tipperary",Age 4,Females,Number,139
Population,2022,"Clonmel, Tipperary",Age 4,Both Sexes,Number,299
Population,2022,"Clonmel, Tipperary",Age 5,Males,Number,158
Population,2022,"Clonmel, Tipperary",Age 5,Females,Number,136
Population,2022,"Clonmel, Tipperary",Age 5,Both Sexes,Number,294
Population,2022,"Clonmel, Tipperary",Age 6,Males,Number,150
Population,2022,"Clonmel, Tipperary",Age 6,Females,Number,139
Population,2022,"Clonmel, Tipperary",Age 6,Both Sexes,Number,289
Population,2022,"Clonmel, Tipperary",Age 7,Males,Number,153
Population,2022,"Clonmel, Tipperary",Age 7,Females,Number,122
Population,2022,"Clonmel, Tipperary",Age 7,Both Sexes,Number,275
Population,2022,"Clonmel, Tipperary",Age 8,Males,Number,158
Population,2022,"Clonmel, Tipperary",Age 8,Females,Number,166
Population,2022,"Clonmel, Tipperary",Age 8,Both Sexes,Number,324
Population,2022,"Clonmel, Tipperary",Age 9,Males,Number,158
Population,2022,"Clonmel, Tipperary",Age 9,Females,Number,153
Population,2022,"Clonmel, Tipperary",Age 9,Both Sexes,Number,311
Population,2022,"Clonmel, Tipperary",Age 10,Males,Number,180
Population,2022,"Clonmel, Tipperary",Age 10,Females,Number,156
Population,2022,"Clonmel, Tipperary",Age 10,Both Sexes,Number,336
Population,2022,"Clonmel, Tipperary",Age 11,Males,Number,169
Population,2022,"Clonmel, Tipperary",Age 11,Females,Number,150
Population,2022,"Clonmel, Tipperary",Age 11,Both Sexes,Number,319
Population,2022,"Clonmel, Tipperary",Age 12,Males,Number,218
Population,2022,"Clonmel, Tipperary",Age 12,Females,Number,177
Population,2022,"Clonmel, Tipperary",Age 12,Both Sexes,Number,395
Population,2022,"Clonmel, Tipperary",Age 13,Males,Number,195
Population,2022,"Clonmel, Tipperary",Age 13,Females,Number,166
Population,2022,"Clonmel, Tipperary",Age 13,Both Sexes,Number,361
Population,2022,"Clonmel, Tipperary",Age 14,Males,Number,164
Population,2022,"Clonmel, Tipperary",Age 14,Females,Number,161
Population,2022,"Clonmel, Tipperary",Age 14,Both Sexes,Number,325
Population,2022,"Clonmel, Tipperary",Age 15,Males,Number,186
Population,2022,"Clonmel, Tipperary",Age 15,Females,Number,174
Population,2022,"Clonmel, Tipperary",Age 15,Both Sexes,Number,360
Population,2022,"Clonmel, Tipperary",Age 16,Males,Number,183
Population,2022,"Clonmel, Tipperary",Age 16,Females,Number,159
Population,2022,"Clonmel, Tipperary",Age 16,Both Sexes,Number,342
Population,2022,"Clonmel, Tipperary",Age 17,Males,Number,183
Population,2022,"Clonmel, Tipperary",Age 17,Females,Number,173
Population,2022,"Clonmel, Tipperary",Age 17,Both Sexes,Number,356
Population,2022,"Clonmel, Tipperary",Age 18,Males,Number,147
Population,2022,"Clonmel, Tipperary",Age 18,Females,Number,139
Population,2022,"Clonmel, Tipperary",Age 18,Both Sexes,Number,286
Population,2022,"Clonmel, Tipperary",Age 19,Males,Number,116
Population,2022,"Clonmel, Tipperary",Age 19,Females,Number,119
Population,2022,"Clonmel, Tipperary",Age 19,Both Sexes,Number,235
Population,2022,"Clonmel, Tipperary",Age 20-24,Males,Number,672
Population,2022,"Clonmel, Tipperary",Age 20-24,Females,Number,656
Population,2022,"Clonmel, Tipperary",Age 20-24,Both Sexes,Number,1328
Population,2022,"Clonmel, Tipperary",Age 25-29,Males,Number,652
Population,2022,"Clonmel, Tipperary",Age 25-29,Females,Number,640
Population,2022,"Clonmel, Tipperary",Age 25-29,Both Sexes,Number,1292
Population,2022,"Clonmel, Tipperary",Age 30-34,Males,Number,753
Population,2022,"Clonmel, Tipperary",Age 30-34,Females,Number,817
Population,2022,"Clonmel, Tipperary",Age 30-34,Both Sexes,Number,1570
Population,2022,"Clonmel, Tipperary",Age 35-39,Males,Number,831
Population,2022,"Clonmel, Tipperary",Age 35-39,Females,Number,986
Population,2022,"Clonmel, Tipperary",Age 35-39,Both Sexes,Number,1817
Population,2022,"Clonmel, Tipperary",Age 40-44,Males,Number,941
Population,2022,"Clonmel, Tipperary",Age 40-44,Females,Number,1016
Population,2022,"Clonmel, Tipperary",Age 40-44,Both Sexes,Number,1957
Population,2022,"Clonmel, Tipperary",Age 45-49,Males,Number,868
Population,2022,"Clonmel, Tipperary",Age 45-49,Females,Number,838
Population,2022,"Clonmel, Tipperary",Age 45-49,Both Sexes,Number,1706
Population,2022,"Clonmel, Tipperary",Age 50-54,Males,Number,793
Population,2022,"Clonmel, Tipperary",Age 50-54,Females,Number,848
Population,2022,"Clonmel, Tipperary",Age 50-54,Both Sexes,Number,1641
Population,2022,"Clonmel, Tipperary",Age 55-59,Males,Number,817
Population,2022,"Clonmel, Tipperary",Age 55-59,Females,Number,847
Population,2022,"Clonmel, Tipperary",Age 55-59,Both Sexes,Number,1664
Population,2022,"Clonmel, Tipperary",Age 60-64,Males,Number,717
Population,2022,"Clonmel, Tipperary",Age 60-64,Females,Number,776
Population,2022,"Clonmel, Tipperary",Age 60-64,Both Sexes,Number,1493
Population,2022,"Clonmel, Tipperary",Age 65-69,Males,Number,656
Population,2022,"Clonmel, Tipperary",Age 65-69,Females,Number,676
Population,2022,"Clonmel, Tipperary",Age 65-69,Both Sexes,Number,1332
Population,2022,"Clonmel, Tipperary",Age 70-74,Males,Number,537
Population,2022,"Clonmel, Tipperary",Age 70-74,Females,Number,625
Population,2022,"Clonmel, Tipperary",Age 70-74,Both Sexes,Number,1162
Population,2022,"Clonmel, Tipperary",Age 75-79,Males,Number,417
Population,2022,"Clonmel, Tipperary",Age 75-79,Females,Number,430
Population,2022,"Clonmel, Tipperary",Age 75-79,Both Sexes,Number,847
Population,2022,"Clonmel, Tipperary",Age 80-84,Males,Number,260
Population,2022,"Clonmel, Tipperary",Age 80-84,Females,Number,289
Population,2022,"Clonmel, Tipperary",Age 80-84,Both Sexes,Number,549
Population,2022,"Clonmel, Tipperary",Age 85 and over,Males,Number,185
Population,2022,"Clonmel, Tipperary",Age 85 and over,Females,Number,303
Population,2022,"Clonmel, Tipperary",Age 85 and over,Both Sexes,Number,488
Population,2022,"Clonmel, Tipperary",Total,Males,Number,12316
Population,2022,"Clonmel, Tipperary",Total,Females,Number,12687
Population,2022,"Clonmel, Tipperary",Total,Both Sexes,Number,25003
Population,2022,"Cashel-Tipperary, Tipperary",Age 0,Males,Number,177
Population,2022,"Cashel-Tipperary, Tipperary",Age 0,Females,Number,204
Population,2022,"Cashel-Tipperary, Tipperary",Age 0,Both Sexes,Number,381
Population,2022,"Cashel-Tipperary, Tipperary",Age 1,Males,Number,151
Population,2022,"Cashel-Tipperary, Tipperary",Age 1,Females,Number,143
Population,2022,"Cashel-Tipperary, Tipperary",Age 1,Both Sexes,Number,294
Population,2022,"Cashel-Tipperary, Tipperary",Age 2,Males,Number,177
Population,2022,"Cashel-Tipperary, Tipperary",Age 2,Females,Number,190
Population,2022,"Cashel-Tipperary, Tipperary",Age 2,Both Sexes,Number,367
Population,2022,"Cashel-Tipperary, Tipperary",Age 3,Males,Number,174
Population,2022,"Cashel-Tipperary, Tipperary",Age 3,Females,Number,194
Population,2022,"Cashel-Tipperary, Tipperary",Age 3,Both Sexes,Number,368
Population,2022,"Cashel-Tipperary, Tipperary",Age 4,Males,Number,196
Population,2022,"Cashel-Tipperary, Tipperary",Age 4,Females,Number,191
Population,2022,"Cashel-Tipperary, Tipperary",Age 4,Both Sexes,Number,387
Population,2022,"Cashel-Tipperary, Tipperary",Age 5,Males,Number,177
Population,2022,"Cashel-Tipperary, Tipperary",Age 5,Females,Number,172
Population,2022,"Cashel-Tipperary, Tipperary",Age 5,Both Sexes,Number,349
Population,2022,"Cashel-Tipperary, Tipperary",Age 6,Males,Number,201
Population,2022,"Cashel-Tipperary, Tipperary",Age 6,Females,Number,189
Population,2022,"Cashel-Tipperary, Tipperary",Age 6,Both Sexes,Number,390
Population,2022,"Cashel-Tipperary, Tipperary",Age 7,Males,Number,213
Population,2022,"Cashel-Tipperary, Tipperary",Age 7,Females,Number,172
Population,2022,"Cashel-Tipperary, Tipperary",Age 7,Both Sexes,Number,385
Population,2022,"Cashel-Tipperary, Tipperary",Age 8,Males,Number,194
Population,2022,"Cashel-Tipperary, Tipperary",Age 8,Females,Number,220
Population,2022,"Cashel-Tipperary, Tipperary",Age 8,Both Sexes,Number,414
Population,2022,"Cashel-Tipperary, Tipperary",Age 9,Males,Number,194
Population,2022,"Cashel-Tipperary, Tipperary",Age 9,Females,Number,196
Population,2022,"Cashel-Tipperary, Tipperary",Age 9,Both Sexes,Number,390
Population,2022,"Cashel-Tipperary, Tipperary",Age 10,Males,Number,217
Population,2022,"Cashel-Tipperary, Tipperary",Age 10,Females,Number,223
Population,2022,"Cashel-Tipperary, Tipperary",Age 10,Both Sexes,Number,440
Population,2022,"Cashel-Tipperary, Tipperary",Age 11,Males,Number,222
Population,2022,"Cashel-Tipperary, Tipperary",Age 11,Females,Number,192
Population,2022,"Cashel-Tipperary, Tipperary",Age 11,Both Sexes,Number,414
Population,2022,"Cashel-Tipperary, Tipperary",Age 12,Males,Number,227
Population,2022,"Cashel-Tipperary, Tipperary",Age 12,Females,Number,217
Population,2022,"Cashel-Tipperary, Tipperary",Age 12,Both Sexes,Number,444
Population,2022,"Cashel-Tipperary, Tipperary",Age 13,Males,Number,230
Population,2022,"Cashel-Tipperary, Tipperary",Age 13,Females,Number,197
Population,2022,"Cashel-Tipperary, Tipperary",Age 13,Both Sexes,Number,427
Population,2022,"Cashel-Tipperary, Tipperary",Age 14,Males,Number,206
Population,2022,"Cashel-Tipperary, Tipperary",Age 14,Females,Number,210
Population,2022,"Cashel-Tipperary, Tipperary",Age 14,Both Sexes,Number,416
Population,2022,"Cashel-Tipperary, Tipperary",Age 15,Males,Number,204
Population,2022,"Cashel-Tipperary, Tipperary",Age 15,Females,Number,180
Population,2022,"Cashel-Tipperary, Tipperary",Age 15,Both Sexes,Number,384
Population,2022,"Cashel-Tipperary, Tipperary",Age 16,Males,Number,189
Population,2022,"Cashel-Tipperary, Tipperary",Age 16,Females,Number,196
Population,2022,"Cashel-Tipperary, Tipperary",Age 16,Both Sexes,Number,385
Population,2022,"Cashel-Tipperary, Tipperary",Age 17,Males,Number,223
Population,2022,"Cashel-Tipperary, Tipperary",Age 17,Females,Number,205
Population,2022,"Cashel-Tipperary, Tipperary",Age 17,Both Sexes,Number,428
Population,2022,"Cashel-Tipperary, Tipperary",Age 18,Males,Number,196
Population,2022,"Cashel-Tipperary, Tipperary",Age 18,Females,Number,187
Population,2022,"Cashel-Tipperary, Tipperary",Age 18,Both Sexes,Number,383
Population,2022,"Cashel-Tipperary, Tipperary",Age 19,Males,Number,168
Population,2022,"Cashel-Tipperary, Tipperary",Age 19,Females,Number,155
Population,2022,"Cashel-Tipperary, Tipperary",Age 19,Both Sexes,Number,323
Population,2022,"Cashel-Tipperary, Tipperary",Age 20-24,Males,Number,789
Population,2022,"Cashel-Tipperary, Tipperary",Age 20-24,Females,Number,693
Population,2022,"Cashel-Tipperary, Tipperary",Age 20-24,Both Sexes,Number,1482
Population,2022,"Cashel-Tipperary, Tipperary",Age 25-29,Males,Number,682
Population,2022,"Cashel-Tipperary, Tipperary",Age 25-29,Females,Number,682
Population,2022,"Cashel-Tipperary, Tipperary",Age 25-29,Both Sexes,Number,1364
Population,2022,"Cashel-Tipperary, Tipperary",Age 30-34,Males,Number,762
Population,2022,"Cashel-Tipperary, Tipperary",Age 30-34,Females,Number,861
Population,2022,"Cashel-Tipperary, Tipperary",Age 30-34,Both Sexes,Number,1623
Population,2022,"Cashel-Tipperary, Tipperary",Age 35-39,Males,Number,921
Population,2022,"Cashel-Tipperary, Tipperary",Age 35-39,Females,Number,1042
Population,2022,"Cashel-Tipperary, Tipperary",Age 35-39,Both Sexes,Number,1963
Population,2022,"Cashel-Tipperary, Tipperary",Age 40-44,Males,Number,1062
Population,2022,"Cashel-Tipperary, Tipperary",Age 40-44,Females,Number,1121
Population,2022,"Cashel-Tipperary, Tipperary",Age 40-44,Both Sexes,Number,2183
Population,2022,"Cashel-Tipperary, Tipperary",Age 45-49,Males,Number,1032
Population,2022,"Cashel-Tipperary, Tipperary",Age 45-49,Females,Number,1015
Population,2022,"Cashel-Tipperary, Tipperary",Age 45-49,Both Sexes,Number,2047
Population,2022,"Cashel-Tipperary, Tipperary",Age 50-54,Males,Number,1012
Population,2022,"Cashel-Tipperary, Tipperary",Age 50-54,Females,Number,975
Population,2022,"Cashel-Tipperary, Tipperary",Age 50-54,Both Sexes,Number,1987
Population,2022,"Cashel-Tipperary, Tipperary",Age 55-59,Males,Number,953
Population,2022,"Cashel-Tipperary, Tipperary",Age 55-59,Females,Number,926
Population,2022,"Cashel-Tipperary, Tipperary",Age 55-59,Both Sexes,Number,1879
Population,2022,"Cashel-Tipperary, Tipperary",Age 60-64,Males,Number,890
Population,2022,"Cashel-Tipperary, Tipperary",Age 60-64,Females,Number,841
Population,2022,"Cashel-Tipperary, Tipperary",Age 60-64,Both Sexes,Number,1731
Population,2022,"Cashel-Tipperary, Tipperary",Age 65-69,Males,Number,804
Population,2022,"Cashel-Tipperary, Tipperary",Age 65-69,Females,Number,790
Population,2022,"Cashel-Tipperary, Tipperary",Age 65-69,Both Sexes,Number,1594
Population,2022,"Cashel-Tipperary, Tipperary",Age 70-74,Males,Number,658
Population,2022,"Cashel-Tipperary, Tipperary",Age 70-74,Females,Number,628
Population,2022,"Cashel-Tipperary, Tipperary",Age 70-74,Both Sexes,Number,1286
Population,2022,"Cashel-Tipperary, Tipperary",Age 75-79,Males,Number,506
Population,2022,"Cashel-Tipperary, Tipperary",Age 75-79,Females,Number,516
Population,2022,"Cashel-Tipperary, Tipperary",Age 75-79,Both Sexes,Number,1022
Population,2022,"Cashel-Tipperary, Tipperary",Age 80-84,Males,Number,280
Population,2022,"Cashel-Tipperary, Tipperary",Age 80-84,Females,Number,346
Population,2022,"Cashel-Tipperary, Tipperary",Age 80-84,Both Sexes,Number,626
Population,2022,"Cashel-Tipperary, Tipperary",Age 85 and over,Males,Number,221
Population,2022,"Cashel-Tipperary, Tipperary",Age 85 and over,Females,Number,368
Population,2022,"Cashel-Tipperary, Tipperary",Age 85 and over,Both Sexes,Number,589
Population,2022,"Cashel-Tipperary, Tipperary",Total,Males,Number,14508
Population,2022,"Cashel-Tipperary, Tipperary",Total,Females,Number,14637
Population,2022,"Cashel-Tipperary, Tipperary",Total,Both Sexes,Number,29145
Population,2022,"Newport, Tipperary",Age 0,Males,Number,100
Population,2022,"Newport, Tipperary",Age 0,Females,Number,79
Population,2022,"Newport, Tipperary",Age 0,Both Sexes,Number,179
Population,2022,"Newport, Tipperary",Age 1,Males,Number,105
Population,2022,"Newport, Tipperary",Age 1,Females,Number,90
Population,2022,"Newport, Tipperary",Age 1,Both Sexes,Number,195
Population,2022,"Newport, Tipperary",Age 2,Males,Number,105
Population,2022,"Newport, Tipperary",Age 2,Females,Number,85
Population,2022,"Newport, Tipperary",Age 2,Both Sexes,Number,190
Population,2022,"Newport, Tipperary",Age 3,Males,Number,119
Population,2022,"Newport, Tipperary",Age 3,Females,Number,112
Population,2022,"Newport, Tipperary",Age 3,Both Sexes,Number,231
Population,2022,"Newport, Tipperary",Age 4,Males,Number,114
Population,2022,"Newport, Tipperary",Age 4,Females,Number,114
Population,2022,"Newport, Tipperary",Age 4,Both Sexes,Number,228
Population,2022,"Newport, Tipperary",Age 5,Males,Number,127
Population,2022,"Newport, Tipperary",Age 5,Females,Number,89
Population,2022,"Newport, Tipperary",Age 5,Both Sexes,Number,216
Population,2022,"Newport, Tipperary",Age 6,Males,Number,135
Population,2022,"Newport, Tipperary",Age 6,Females,Number,135
Population,2022,"Newport, Tipperary",Age 6,Both Sexes,Number,270
Population,2022,"Newport, Tipperary",Age 7,Males,Number,135
Population,2022,"Newport, Tipperary",Age 7,Females,Number,142
Population,2022,"Newport, Tipperary",Age 7,Both Sexes,Number,277
Population,2022,"Newport, Tipperary",Age 8,Males,Number,133
Population,2022,"Newport, Tipperary",Age 8,Females,Number,116
Population,2022,"Newport, Tipperary",Age 8,Both Sexes,Number,249
Population,2022,"Newport, Tipperary",Age 9,Males,Number,123
Population,2022,"Newport, Tipperary",Age 9,Females,Number,118
Population,2022,"Newport, Tipperary",Age 9,Both Sexes,Number,241
Population,2022,"Newport, Tipperary",Age 10,Males,Number,146
Population,2022,"Newport, Tipperary",Age 10,Females,Number,111
Population,2022,"Newport, Tipperary",Age 10,Both Sexes,Number,257
Population,2022,"Newport, Tipperary",Age 11,Males,Number,188
Population,2022,"Newport, Tipperary",Age 11,Females,Number,134
Population,2022,"Newport, Tipperary",Age 11,Both Sexes,Number,322
Population,2022,"Newport, Tipperary",Age 12,Males,Number,141
Population,2022,"Newport, Tipperary",Age 12,Females,Number,139
Population,2022,"Newport, Tipperary",Age 12,Both Sexes,Number,280
Population,2022,"Newport, Tipperary",Age 13,Males,Number,155
Population,2022,"Newport, Tipperary",Age 13,Females,Number,161
Population,2022,"Newport, Tipperary",Age 13,Both Sexes,Number,316
Population,2022,"Newport, Tipperary",Age 14,Males,Number,157
Population,2022,"Newport, Tipperary",Age 14,Females,Number,151
Population,2022,"Newport, Tipperary",Age 14,Both Sexes,Number,308
Population,2022,"Newport, Tipperary",Age 15,Males,Number,148
Population,2022,"Newport, Tipperary",Age 15,Females,Number,130
Population,2022,"Newport, Tipperary",Age 15,Both Sexes,Number,278
Population,2022,"Newport, Tipperary",Age 16,Males,Number,144
Population,2022,"Newport, Tipperary",Age 16,Females,Number,141
Population,2022,"Newport, Tipperary",Age 16,Both Sexes,Number,285
Population,2022,"Newport, Tipperary",Age 17,Males,Number,153
Population,2022,"Newport, Tipperary",Age 17,Females,Number,137
Population,2022,"Newport, Tipperary",Age 17,Both Sexes,Number,290
Population,2022,"Newport, Tipperary",Age 18,Males,Number,128
Population,2022,"Newport, Tipperary",Age 18,Females,Number,140
Population,2022,"Newport, Tipperary",Age 18,Both Sexes,Number,268
Population,2022,"Newport, Tipperary",Age 19,Males,Number,121
Population,2022,"Newport, Tipperary",Age 19,Females,Number,102
Population,2022,"Newport, Tipperary",Age 19,Both Sexes,Number,223
Population,2022,"Newport, Tipperary",Age 20-24,Males,Number,453
Population,2022,"Newport, Tipperary",Age 20-24,Females,Number,445
Population,2022,"Newport, Tipperary",Age 20-24,Both Sexes,Number,898
Population,2022,"Newport, Tipperary",Age 25-29,Males,Number,324
Population,2022,"Newport, Tipperary",Age 25-29,Females,Number,284
Population,2022,"Newport, Tipperary",Age 25-29,Both Sexes,Number,608
Population,2022,"Newport, Tipperary",Age 30-34,Males,Number,388
Population,2022,"Newport, Tipperary",Age 30-34,Females,Number,408
Population,2022,"Newport, Tipperary",Age 30-34,Both Sexes,Number,796
