Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Very Good,"Enniscorthy, Wexford",Number,7418
General Health of Population,2022,Males,Very Good,"Baltinglass, Wicklow",Number,7815
General Health of Population,2022,Males,Very Good,"Bray West, Wicklow",Number,5231
General Health of Population,2022,Males,Very Good,"Greystones, Wicklow",Number,9124
General Health of Population,2022,Males,Very Good,"Wicklow, Wicklow",Number,9293
General Health of Population,2022,Males,Very Good,"Arklow, Wicklow",Number,7357
General Health of Population,2022,Males,Very Good,"Bray East, Wicklow",Number,4328
General Health of Population,2022,Males,Very Good,"Rush-Lusk, Fingal",Number,11777
General Health of Population,2022,Males,Very Good,"Swords, Fingal",Number,12876
General Health of Population,2022,Males,Very Good,"Blanchardstown-Mulhuddart, Fingal",Number,10039
General Health of Population,2022,Males,Very Good,"Castleknock, Fingal",Number,13389
General Health of Population,2022,Males,Very Good,"Howth-Malahide, Fingal",Number,20118
General Health of Population,2022,Males,Very Good,"Stillorgan, Dún Laoghaire-Rathdown",Number,10120
General Health of Population,2022,Males,Very Good,"Dundrum, Dún Laoghaire-Rathdown",Number,9350
General Health of Population,2022,Males,Very Good,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,14650
General Health of Population,2022,Males,Very Good,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,11043
General Health of Population,2022,Males,Very Good,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,13356
General Health of Population,2022,Males,Very Good,"Blackrock, Dún Laoghaire-Rathdown",Number,10222
General Health of Population,2022,Males,Very Good,"Lucan, South Dublin",Number,16009
General Health of Population,2022,Males,Very Good,"Tallaght Central, South Dublin",Number,8260
General Health of Population,2022,Males,Very Good,"Rathfarnham-Templeogue, South Dublin",Number,15086
General Health of Population,2022,Males,Very Good,"Firhouse-Bohernabreena, South Dublin",Number,11290
General Health of Population,2022,Males,Very Good,"Tallaght South, South Dublin",Number,10971
General Health of Population,2022,Males,Very Good,"Clondalkin, South Dublin",Number,12951
General Health of Population,2022,Males,Very Good,"Balbriggan, Fingal",Number,10948
General Health of Population,2022,Males,Very Good,"Ongar, Fingal",Number,11944
General Health of Population,2022,Males,Very Good,"Palmerstown-Fonthill, South Dublin",Number,5126
General Health of Population,2022,Males,Very Good,"Ballymun-Finglas, Dublin City",Number,11918
General Health of Population,2022,Males,Very Good,"Cabra-Glasnevin, Dublin City",Number,15374
General Health of Population,2022,Males,Very Good,"Ballyfermot-Drimnagh, Dublin City",Number,10396
General Health of Population,2022,Males,Very Good,"Kimmage-Rathmines, Dublin City",Number,15434
General Health of Population,2022,Males,Very Good,"Pembroke, Dublin City",Number,12560
General Health of Population,2022,Males,Very Good,"South East Inner City, Dublin City",Number,9959
General Health of Population,2022,Males,Very Good,"North Inner City, Dublin City",Number,15070
General Health of Population,2022,Males,Very Good,"Clontarf, Dublin City",Number,16049
General Health of Population,2022,Males,Very Good,"Donaghmede, Dublin City",Number,12081
General Health of Population,2022,Males,Very Good,"Artane-Whitehall, Dublin City",Number,12135
General Health of Population,2022,Males,Very Good,"South West Inner City, Dublin City",Number,10151
General Health of Population,2022,Males,Very Good,"Ennistimon, Clare",Number,4324
General Health of Population,2022,Males,Very Good,"Killaloe, Clare",Number,5892
General Health of Population,2022,Males,Very Good,"Shannon, Clare",Number,8495
General Health of Population,2022,Males,Very Good,"Ennis, Clare",Number,8493
General Health of Population,2022,Males,Very Good,"Kilrush, Clare",Number,5475
General Health of Population,2022,Males,Very Good,"Kanturk, Cork County",Number,7102
General Health of Population,2022,Males,Very Good,"Fermoy, Cork County",Number,10931
General Health of Population,2022,Males,Very Good,"Midleton, Cork County",Number,13685
General Health of Population,2022,Males,Very Good,"Carrigaline, Cork County",Number,11952
General Health of Population,2022,Males,Very Good,"Cobh, Cork County",Number,11089
General Health of Population,2022,Males,Very Good,"Bandon-Kinsale, Cork County",Number,11828
General Health of Population,2022,Males,Very Good,"Bantry-West Cork, Cork County",Number,6126
General Health of Population,2022,Males,Very Good,"Skibbereen-West Cork, Cork County",Number,8943
General Health of Population,2022,Males,Very Good,"Macroom, Cork County",Number,12224
General Health of Population,2022,Males,Very Good,"Mallow, Cork County",Number,8608
General Health of Population,2022,Males,Very Good,"Cork City North West, Cork City",Number,9805
General Health of Population,2022,Males,Very Good,"Cork City North East, Cork City",Number,11432
General Health of Population,2022,Males,Very Good,"Cork City South East, Cork City",Number,12881
General Health of Population,2022,Males,Very Good,"Cork City South Central, Cork City",Number,9807
General Health of Population,2022,Males,Very Good,"Cork City South West, Cork City",Number,13716
General Health of Population,2022,Males,Very Good,"Glenties, Donegal",Number,6091
General Health of Population,2022,Males,Very Good,"Milford, Donegal",Number,3778
General Health of Population,2022,Males,Very Good,"Carndonagh, Donegal",Number,4615
General Health of Population,2022,Males,Very Good,"Buncrana, Donegal",Number,5941
General Health of Population,2022,Males,Very Good,"Donegal, Donegal",Number,7170
General Health of Population,2022,Males,Very Good,"Letterkenny, Donegal",Number,8546
General Health of Population,2022,Males,Very Good,"Lifford-Stranorlar, Donegal",Number,6820
General Health of Population,2022,Males,Very Good,"Conamara North, Galway County",Number,4486
General Health of Population,2022,Males,Very Good,"Tuam, Galway County",Number,9385
General Health of Population,2022,Males,Very Good,"Ballinasloe, Galway County",Number,7880
General Health of Population,2022,Males,Very Good,"Loughrea, Galway County",Number,6773
General Health of Population,2022,Males,Very Good,"Athenry-Oranmore, Galway County",Number,10251
General Health of Population,2022,Males,Very Good,"Gort-Kinvara, Galway County",Number,7566
General Health of Population,2022,Males,Very Good,"Conamara South, Galway County",Number,6505
General Health of Population,2022,Males,Very Good,"Galway City West, Galway City",Number,6885
General Health of Population,2022,Males,Very Good,"Galway City Central, Galway City",Number,6215
General Health of Population,2022,Males,Very Good,"Galway City East, Galway City",Number,6515
General Health of Population,2022,Males,Very Good,"Listowel, Kerry",Number,7541
General Health of Population,2022,Males,Very Good,"Castleisland, Kerry",Number,5010
General Health of Population,2022,Males,Very Good,"Killarney, Kerry",Number,8308
General Health of Population,2022,Males,Very Good,"Kenmare, Kerry",Number,7010
General Health of Population,2022,Males,Very Good,"Corca Dhuibhne, Kerry",Number,3963
General Health of Population,2022,Males,Very Good,"Tralee, Kerry",Number,8348
General Health of Population,2022,Males,Very Good,"Maynooth, Kildare",Number,10582
General Health of Population,2022,Males,Very Good,"Celbridge, Kildare",Number,6587
General Health of Population,2022,Males,Very Good,"Naas, Kildare",Number,13595
General Health of Population,2022,Males,Very Good,"Athy, Kildare",Number,7779
General Health of Population,2022,Males,Very Good,"Kildare, Kildare",Number,7963
General Health of Population,2022,Males,Very Good,"Clane, Kildare",Number,8666
General Health of Population,2022,Males,Very Good,"Leixlip, Kildare",Number,4727
General Health of Population,2022,Males,Very Good,"Newbridge, Kildare",Number,10651
General Health of Population,2022,Males,Very Good,"Castlecomer, Kilkenny",Number,7097
General Health of Population,2022,Males,Very Good,"Kilkenny, Kilkenny",Number,7583
