Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Total,"Ballina, Mayo",Number,12828
General Health of Population,2022,Males,Total,"Claremorris, Mayo",Number,14673
General Health of Population,2022,Males,Total,"Castlebar, Mayo",Number,15786
General Health of Population,2022,Males,Total,"Belmullet, Mayo",Number,6357
General Health of Population,2022,Males,Total,"Westport, Mayo",Number,9667
General Health of Population,2022,Males,Total,"Swinford, Mayo",Number,9081
General Health of Population,2022,Males,Total,"Kells, Meath",Number,17388
General Health of Population,2022,Males,Total,"Laytown-Bettystown, Meath",Number,20146
General Health of Population,2022,Males,Total,"Ashbourne, Meath",Number,16769
General Health of Population,2022,Males,Total,"Ratoath, Meath",Number,19506
General Health of Population,2022,Males,Total,"Trim, Meath",Number,16688
General Health of Population,2022,Males,Total,"Navan, Meath",Number,19491
General Health of Population,2022,Males,Total,"Monaghan, Monaghan",Number,11642
General Health of Population,2022,Males,Total,"Carrickmacross-Castleblayney, Monaghan",Number,11831
General Health of Population,2022,Males,Total,"Ballybay-Clones, Monaghan",Number,9421
General Health of Population,2022,Males,Total,"Birr, Offaly",Number,13674
General Health of Population,2022,Males,Total,"Tullamore, Offaly",Number,15245
General Health of Population,2022,Males,Total,"Edenderry, Offaly",Number,12709
General Health of Population,2022,Males,Total,"Boyle, Roscommon",Number,12233
General Health of Population,2022,Males,Total,"Roscommon, Roscommon",Number,12460
General Health of Population,2022,Males,Total,"Athlone, Roscommon",Number,10477
General Health of Population,2022,Males,Total,"Ballymote-Tobercurry, Sligo",Number,14239
General Health of Population,2022,Males,Total,"Sligo-Drumcliff, Sligo",Number,9230
General Health of Population,2022,Males,Total,"Sligo-Strandhill, Sligo",Number,11060
General Health of Population,2022,Males,Total,"Cavan-Belturbet, Cavan",Number,13711
General Health of Population,2022,Males,Total,"Bailieborough-Cootehill, Cavan",Number,13229
General Health of Population,2022,Males,Total,"Ballyjamesduff, Cavan",Number,14120
General Health of Population,2022,Males,Total,"Nenagh, Tipperary",Number,11546
General Health of Population,2022,Males,Total,"Roscrea-Templemore, Tipperary",Number,8742
General Health of Population,2022,Males,Total,"Carrick-On-Suir, Tipperary",Number,10055
General Health of Population,2022,Males,Total,"Clonmel, Tipperary",Number,12316
General Health of Population,2022,Males,Total,"Cashel-Tipperary, Tipperary",Number,14508
General Health of Population,2022,Males,Total,"Newport, Tipperary",Number,8833
General Health of Population,2022,Males,Total,"Thurles, Tipperary",Number,9811
General Health of Population,2022,Males,Total,"Cahir, Tipperary",Number,7828
General Health of Population,2022,Males,Total,"Dungarvan, Waterford",Number,11070
General Health of Population,2022,Males,Total,"Portlaw-Kilmacthomas, Waterford",Number,9266
General Health of Population,2022,Males,Total,"Lismore, Waterford",Number,5754
General Health of Population,2022,Males,Total,"Tramore-Waterford City West, Waterford",Number,12333
General Health of Population,2022,Males,Total,"Waterford City South, Waterford",Number,12738
General Health of Population,2022,Males,Total,"Waterford City East, Waterford",Number,11934
General Health of Population,2022,Males,Total,"Athlone, Westmeath",Number,12123
General Health of Population,2022,Males,Total,"Moate, Westmeath",Number,10136
General Health of Population,2022,Males,Total,"Kinnegad, Westmeath",Number,11725
General Health of Population,2022,Males,Total,"Mullingar, Westmeath",Number,13737
General Health of Population,2022,Males,Total,"Gorey, Wexford",Number,15261
General Health of Population,2022,Males,Total,"Kilmuckridge, Wexford",Number,9167
General Health of Population,2022,Males,Total,"New Ross, Wexford",Number,14894
General Health of Population,2022,Males,Total,"Rosslare, Wexford",Number,11594
General Health of Population,2022,Males,Total,"Wexford, Wexford",Number,15340
General Health of Population,2022,Males,Total,"Enniscorthy, Wexford",Number,14521
General Health of Population,2022,Males,Total,"Baltinglass, Wicklow",Number,14059
General Health of Population,2022,Males,Total,"Bray West, Wicklow",Number,9131
General Health of Population,2022,Males,Total,"Greystones, Wicklow",Number,14814
General Health of Population,2022,Males,Total,"Wicklow, Wicklow",Number,16131
General Health of Population,2022,Males,Total,"Arklow, Wicklow",Number,13846
General Health of Population,2022,Males,Total,"Bray East, Wicklow",Number,8583
General Health of Population,2022,Males,Total,"Rush-Lusk, Fingal",Number,19849
General Health of Population,2022,Males,Total,"Swords, Fingal",Number,24137
General Health of Population,2022,Males,Total,"Blanchardstown-Mulhuddart, Fingal",Number,19840
General Health of Population,2022,Males,Total,"Castleknock, Fingal",Number,23235
General Health of Population,2022,Males,Total,"Howth-Malahide, Fingal",Number,34033
General Health of Population,2022,Males,Total,"Stillorgan, Dún Laoghaire-Rathdown",Number,15649
General Health of Population,2022,Males,Total,"Dundrum, Dún Laoghaire-Rathdown",Number,15410
General Health of Population,2022,Males,Total,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,23605
General Health of Population,2022,Males,Total,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,18904
General Health of Population,2022,Males,Total,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,22172
General Health of Population,2022,Males,Total,"Blackrock, Dún Laoghaire-Rathdown",Number,16292
General Health of Population,2022,Males,Total,"Lucan, South Dublin",Number,27693
General Health of Population,2022,Males,Total,"Tallaght Central, South Dublin",Number,17773
General Health of Population,2022,Males,Total,"Rathfarnham-Templeogue, South Dublin",Number,25278
General Health of Population,2022,Males,Total,"Firhouse-Bohernabreena, South Dublin",Number,18362
General Health of Population,2022,Males,Total,"Tallaght South, South Dublin",Number,21169
General Health of Population,2022,Males,Total,"Clondalkin, South Dublin",Number,26275
General Health of Population,2022,Males,Total,"Balbriggan, Fingal",Number,19714
General Health of Population,2022,Males,Total,"Ongar, Fingal",Number,21724
General Health of Population,2022,Males,Total,"Palmerstown-Fonthill, South Dublin",Number,10696
General Health of Population,2022,Males,Total,"Ballymun-Finglas, Dublin City",Number,27134
General Health of Population,2022,Males,Total,"Cabra-Glasnevin, Dublin City",Number,31542
General Health of Population,2022,Males,Total,"Ballyfermot-Drimnagh, Dublin City",Number,24179
General Health of Population,2022,Males,Total,"Kimmage-Rathmines, Dublin City",Number,28758
General Health of Population,2022,Males,Total,"Pembroke, Dublin City",Number,21815
General Health of Population,2022,Males,Total,"South East Inner City, Dublin City",Number,22064
General Health of Population,2022,Males,Total,"North Inner City, Dublin City",Number,38553
General Health of Population,2022,Males,Total,"Clontarf, Dublin City",Number,27448
General Health of Population,2022,Males,Total,"Donaghmede, Dublin City",Number,22826
General Health of Population,2022,Males,Total,"Artane-Whitehall, Dublin City",Number,24914
General Health of Population,2022,Males,Total,"South West Inner City, Dublin City",Number,22563
General Health of Population,2022,Males,Total,"Ennistimon, Clare",Number,8749
General Health of Population,2022,Males,Total,"Killaloe, Clare",Number,10935
General Health of Population,2022,Males,Total,"Shannon, Clare",Number,15737
General Health of Population,2022,Males,Total,"Ennis, Clare",Number,16386
General Health of Population,2022,Males,Total,"Kilrush, Clare",Number,11110
General Health of Population,2022,Males,Total,"Kanturk, Cork County",Number,13311
General Health of Population,2022,Males,Total,"Fermoy, Cork County",Number,19491
General Health of Population,2022,Males,Total,"Midleton, Cork County",Number,24415
General Health of Population,2022,Males,Total,"Carrigaline, Cork County",Number,19249
General Health of Population,2022,Males,Total,"Cobh, Cork County",Number,18546
General Health of Population,2022,Males,Total,"Bandon-Kinsale, Cork County",Number,20058
General Health of Population,2022,Males,Total,"Bantry-West Cork, Cork County",Number,12044
General Health of Population,2022,Males,Total,"Skibbereen-West Cork, Cork County",Number,16333
General Health of Population,2022,Males,Total,"Macroom, Cork County",Number,20073
General Health of Population,2022,Males,Total,"Mallow, Cork County",Number,15589
General Health of Population,2022,Males,Total,"Cork City North West, Cork City",Number,20855
General Health of Population,2022,Males,Total,"Cork City North East, Cork City",Number,22072
General Health of Population,2022,Males,Total,"Cork City South East, Cork City",Number,22027
General Health of Population,2022,Males,Total,"Cork City South Central, Cork City",Number,20196
General Health of Population,2022,Males,Total,"Cork City South West, Cork City",Number,24586
General Health of Population,2022,Males,Total,"Glenties, Donegal",Number,12435
General Health of Population,2022,Males,Total,"Milford, Donegal",Number,7181
General Health of Population,2022,Males,Total,"Carndonagh, Donegal",Number,8783
General Health of Population,2022,Males,Total,"Buncrana, Donegal",Number,11212
General Health of Population,2022,Males,Total,"Donegal, Donegal",Number,13836
General Health of Population,2022,Males,Total,"Letterkenny, Donegal",Number,15938
General Health of Population,2022,Males,Total,"Lifford-Stranorlar, Donegal",Number,13410
General Health of Population,2022,Males,Total,"Conamara North, Galway County",Number,9021
General Health of Population,2022,Males,Total,"Tuam, Galway County",Number,17717
General Health of Population,2022,Males,Total,"Ballinasloe, Galway County",Number,14950
General Health of Population,2022,Males,Total,"Loughrea, Galway County",Number,12668
General Health of Population,2022,Males,Total,"Athenry-Oranmore, Galway County",Number,17626
General Health of Population,2022,Males,Total,"Gort-Kinvara, Galway County",Number,12956
General Health of Population,2022,Males,Total,"Conamara South, Galway County",Number,11582
General Health of Population,2022,Males,Total,"Galway City West, Galway City",Number,12367
General Health of Population,2022,Males,Total,"Galway City Central, Galway City",Number,14204
General Health of Population,2022,Males,Total,"Galway City East, Galway City",Number,13843
General Health of Population,2022,Males,Total,"Listowel, Kerry",Number,14579
General Health of Population,2022,Males,Total,"Castleisland, Kerry",Number,9004
General Health of Population,2022,Males,Total,"Killarney, Kerry",Number,15391
General Health of Population,2022,Males,Total,"Kenmare, Kerry",Number,13448
General Health of Population,2022,Males,Total,"Corca Dhuibhne, Kerry",Number,7418
General Health of Population,2022,Males,Total,"Tralee, Kerry",Number,17547
General Health of Population,2022,Males,Total,"Maynooth, Kildare",Number,17734
General Health of Population,2022,Males,Total,"Celbridge, Kildare",Number,11346
General Health of Population,2022,Males,Total,"Naas, Kildare",Number,22715
General Health of Population,2022,Males,Total,"Athy, Kildare",Number,14383
General Health of Population,2022,Males,Total,"Kildare, Kildare",Number,14653
General Health of Population,2022,Males,Total,"Clane, Kildare",Number,15566
General Health of Population,2022,Males,Total,"Leixlip, Kildare",Number,8277
General Health of Population,2022,Males,Total,"Newbridge, Kildare",Number,18590
General Health of Population,2022,Males,Total,"Castlecomer, Kilkenny",Number,12586
General Health of Population,2022,Males,Total,"Kilkenny, Kilkenny",Number,14322
General Health of Population,2022,Males,Total,"Piltown, Kilkenny",Number,11525
General Health of Population,2022,Males,Total,"Callan-Thomastown, Kilkenny",Number,13450
General Health of Population,2022,Males,Total,Ireland,Number,2544549
General Health of Population,2022,Females,Very Good,"Borris-In-Ossory-Mountmellick, Laois",Number,7065
General Health of Population,2022,Females,Very Good,"Portlaoise, Laois",Number,8852
General Health of Population,2022,Females,Very Good,"Graiguecullen -Portarlington, Laois",Number,8400
General Health of Population,2022,Females,Very Good,"Carlow, Carlow",Number,5963
General Health of Population,2022,Females,Very Good,"Tullow, Carlow",Number,5408
General Health of Population,2022,Females,Very Good,"Muinebeag, Carlow",Number,4519
General Health of Population,2022,Females,Very Good,"Manorhamilton, Leitrim",Number,3023
General Health of Population,2022,Females,Very Good,"Ballinamore, Leitrim",Number,2890
General Health of Population,2022,Females,Very Good,"Carrick-On-Shannon, Leitrim",Number,3298
General Health of Population,2022,Females,Very Good,"Newcastle West, Limerick",Number,7511
General Health of Population,2022,Females,Very Good,"Adare-Rathkeale, Limerick",Number,7672
General Health of Population,2022,Females,Very Good,"Cappamore-Kilmallock, Limerick",Number,9602
General Health of Population,2022,Females,Very Good,"Limerick City West, Limerick",Number,9371
General Health of Population,2022,Females,Very Good,"Limerick City North, Limerick",Number,7828
General Health of Population,2022,Females,Very Good,"Limerick City East, Limerick",Number,9587
General Health of Population,2022,Females,Very Good,"Granard, Longford",Number,3058
General Health of Population,2022,Females,Very Good,"Ballymahon, Longford",Number,3981
General Health of Population,2022,Females,Very Good,"Longford, Longford",Number,3819
General Health of Population,2022,Females,Very Good,"Dundalk-Carlingford, Louth",Number,6378
General Health of Population,2022,Females,Very Good,"Dundalk South, Louth",Number,10299
General Health of Population,2022,Females,Very Good,"Ardee, Louth",Number,7475
General Health of Population,2022,Females,Very Good,"Drogheda Rural, Louth",Number,5691
General Health of Population,2022,Females,Very Good,"Drogheda Urban, Louth",Number,6533
General Health of Population,2022,Females,Very Good,"Ballina, Mayo",Number,6792
General Health of Population,2022,Females,Very Good,"Claremorris, Mayo",Number,7383
General Health of Population,2022,Females,Very Good,"Castlebar, Mayo",Number,8493
General Health of Population,2022,Females,Very Good,"Belmullet, Mayo",Number,2953
General Health of Population,2022,Females,Very Good,"Westport, Mayo",Number,5544
General Health of Population,2022,Females,Very Good,"Swinford, Mayo",Number,4497
General Health of Population,2022,Females,Very Good,"Kells, Meath",Number,9570
General Health of Population,2022,Females,Very Good,"Laytown-Bettystown, Meath",Number,11499
General Health of Population,2022,Females,Very Good,"Ashbourne, Meath",Number,9659
General Health of Population,2022,Females,Very Good,"Ratoath, Meath",Number,12109
General Health of Population,2022,Females,Very Good,"Trim, Meath",Number,9607
General Health of Population,2022,Females,Very Good,"Navan, Meath",Number,10748
General Health of Population,2022,Females,Very Good,"Monaghan, Monaghan",Number,6382
General Health of Population,2022,Females,Very Good,"Carrickmacross-Castleblayney, Monaghan",Number,6296
General Health of Population,2022,Females,Very Good,"Ballybay-Clones, Monaghan",Number,5171
General Health of Population,2022,Females,Very Good,"Birr, Offaly",Number,6842
General Health of Population,2022,Females,Very Good,"Tullamore, Offaly",Number,8189
General Health of Population,2022,Females,Very Good,"Edenderry, Offaly",Number,6247
General Health of Population,2022,Females,Very Good,"Boyle, Roscommon",Number,6134
General Health of Population,2022,Females,Very Good,"Roscommon, Roscommon",Number,6198
General Health of Population,2022,Females,Very Good,"Athlone, Roscommon",Number,6062
General Health of Population,2022,Females,Very Good,"Ballymote-Tobercurry, Sligo",Number,7564
General Health of Population,2022,Females,Very Good,"Sligo-Drumcliff, Sligo",Number,5606
General Health of Population,2022,Females,Very Good,"Sligo-Strandhill, Sligo",Number,5542
General Health of Population,2022,Females,Very Good,"Cavan-Belturbet, Cavan",Number,7116
General Health of Population,2022,Females,Very Good,"Bailieborough-Cootehill, Cavan",Number,7141
General Health of Population,2022,Females,Very Good,"Ballyjamesduff, Cavan",Number,7663
General Health of Population,2022,Females,Very Good,"Nenagh, Tipperary",Number,6192
General Health of Population,2022,Females,Very Good,"Roscrea-Templemore, Tipperary",Number,4486
General Health of Population,2022,Females,Very Good,"Carrick-On-Suir, Tipperary",Number,5270
General Health of Population,2022,Females,Very Good,"Clonmel, Tipperary",Number,6192
General Health of Population,2022,Females,Very Good,"Cashel-Tipperary, Tipperary",Number,7606
General Health of Population,2022,Females,Very Good,"Newport, Tipperary",Number,4989
General Health of Population,2022,Females,Very Good,"Thurles, Tipperary",Number,5356
General Health of Population,2022,Females,Very Good,"Cahir, Tipperary",Number,3898
General Health of Population,2022,Females,Very Good,"Dungarvan, Waterford",Number,6022
General Health of Population,2022,Females,Very Good,"Portlaw-Kilmacthomas, Waterford",Number,5286
General Health of Population,2022,Females,Very Good,"Lismore, Waterford",Number,3066
General Health of Population,2022,Females,Very Good,"Tramore-Waterford City West, Waterford",Number,6206
General Health of Population,2022,Females,Very Good,"Waterford City South, Waterford",Number,5867
General Health of Population,2022,Females,Very Good,"Waterford City East, Waterford",Number,6788
General Health of Population,2022,Females,Very Good,"Athlone, Westmeath",Number,5969
General Health of Population,2022,Females,Very Good,"Moate, Westmeath",Number,5556
General Health of Population,2022,Females,Very Good,"Kinnegad, Westmeath",Number,6188
General Health of Population,2022,Females,Very Good,"Mullingar, Westmeath",Number,7371
General Health of Population,2022,Females,Very Good,"Gorey, Wexford",Number,8605
General Health of Population,2022,Females,Very Good,"Kilmuckridge, Wexford",Number,5015
General Health of Population,2022,Females,Very Good,"New Ross, Wexford",Number,8049
General Health of Population,2022,Females,Very Good,"Rosslare, Wexford",Number,6303
General Health of Population,2022,Females,Very Good,"Wexford, Wexford",Number,8281
General Health of Population,2022,Females,Very Good,"Enniscorthy, Wexford",Number,7453
General Health of Population,2022,Females,Very Good,"Baltinglass, Wicklow",Number,7731
General Health of Population,2022,Females,Very Good,"Bray West, Wicklow",Number,5547
General Health of Population,2022,Females,Very Good,"Greystones, Wicklow",Number,9561
General Health of Population,2022,Females,Very Good,"Wicklow, Wicklow",Number,9451
General Health of Population,2022,Females,Very Good,"Arklow, Wicklow",Number,7588
General Health of Population,2022,Females,Very Good,"Bray East, Wicklow",Number,4452
General Health of Population,2022,Females,Very Good,"Rush-Lusk, Fingal",Number,11794
General Health of Population,2022,Females,Very Good,"Swords, Fingal",Number,12735
General Health of Population,2022,Females,Very Good,"Blanchardstown-Mulhuddart, Fingal",Number,9971
General Health of Population,2022,Females,Very Good,"Castleknock, Fingal",Number,13571
General Health of Population,2022,Females,Very Good,"Howth-Malahide, Fingal",Number,20945
General Health of Population,2022,Females,Very Good,"Stillorgan, Dún Laoghaire-Rathdown",Number,11028
General Health of Population,2022,Females,Very Good,"Dundrum, Dún Laoghaire-Rathdown",Number,9674
General Health of Population,2022,Females,Very Good,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,15200
General Health of Population,2022,Females,Very Good,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,11750
General Health of Population,2022,Females,Very Good,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,14321
General Health of Population,2022,Females,Very Good,"Blackrock, Dún Laoghaire-Rathdown",Number,11020
General Health of Population,2022,Females,Very Good,"Lucan, South Dublin",Number,15970
General Health of Population,2022,Females,Very Good,"Tallaght Central, South Dublin",Number,8210
General Health of Population,2022,Females,Very Good,"Rathfarnham-Templeogue, South Dublin",Number,16201
General Health of Population,2022,Females,Very Good,"Firhouse-Bohernabreena, South Dublin",Number,11687
General Health of Population,2022,Females,Very Good,"Tallaght South, South Dublin",Number,10948
General Health of Population,2022,Females,Very Good,"Clondalkin, South Dublin",Number,13041
General Health of Population,2022,Females,Very Good,"Balbriggan, Fingal",Number,11084
General Health of Population,2022,Females,Very Good,"Ongar, Fingal",Number,11764
General Health of Population,2022,Females,Very Good,"Palmerstown-Fonthill, South Dublin",Number,5229
General Health of Population,2022,Females,Very Good,"Ballymun-Finglas, Dublin City",Number,12137
General Health of Population,2022,Females,Very Good,"Cabra-Glasnevin, Dublin City",Number,15425
General Health of Population,2022,Females,Very Good,"Ballyfermot-Drimnagh, Dublin City",Number,10344
General Health of Population,2022,Females,Very Good,"Kimmage-Rathmines, Dublin City",Number,16468
General Health of Population,2022,Females,Very Good,"Pembroke, Dublin City",Number,13759
General Health of Population,2022,Females,Very Good,"South East Inner City, Dublin City",Number,9909
General Health of Population,2022,Females,Very Good,"North Inner City, Dublin City",Number,13892
General Health of Population,2022,Females,Very Good,"Clontarf, Dublin City",Number,17100
General Health of Population,2022,Females,Very Good,"Donaghmede, Dublin City",Number,12261
General Health of Population,2022,Females,Very Good,"Artane-Whitehall, Dublin City",Number,12640
General Health of Population,2022,Females,Very Good,"South West Inner City, Dublin City",Number,9893
General Health of Population,2022,Females,Very Good,"Ennistimon, Clare",Number,4516
General Health of Population,2022,Females,Very Good,"Killaloe, Clare",Number,5944
General Health of Population,2022,Females,Very Good,"Shannon, Clare",Number,8398
General Health of Population,2022,Females,Very Good,"Ennis, Clare",Number,8870
General Health of Population,2022,Females,Very Good,"Kilrush, Clare",Number,5605
General Health of Population,2022,Females,Very Good,"Kanturk, Cork County",Number,7069
General Health of Population,2022,Females,Very Good,"Fermoy, Cork County",Number,10612
General Health of Population,2022,Females,Very Good,"Midleton, Cork County",Number,13889
General Health of Population,2022,Females,Very Good,"Carrigaline, Cork County",Number,12155
General Health of Population,2022,Females,Very Good,"Cobh, Cork County",Number,10895
General Health of Population,2022,Females,Very Good,"Bandon-Kinsale, Cork County",Number,12007
General Health of Population,2022,Females,Very Good,"Bantry-West Cork, Cork County",Number,6205
General Health of Population,2022,Females,Very Good,"Skibbereen-West Cork, Cork County",Number,9137
General Health of Population,2022,Females,Very Good,"Macroom, Cork County",Number,12093
General Health of Population,2022,Females,Very Good,"Mallow, Cork County",Number,8745
General Health of Population,2022,Females,Very Good,"Cork City North West, Cork City",Number,9718
General Health of Population,2022,Females,Very Good,"Cork City North East, Cork City",Number,11427
General Health of Population,2022,Females,Very Good,"Cork City South East, Cork City",Number,13335
General Health of Population,2022,Females,Very Good,"Cork City South Central, Cork City",Number,10359
General Health of Population,2022,Females,Very Good,"Cork City South West, Cork City",Number,14403
General Health of Population,2022,Females,Very Good,"Glenties, Donegal",Number,6309
General Health of Population,2022,Females,Very Good,"Milford, Donegal",Number,3900
General Health of Population,2022,Females,Very Good,"Carndonagh, Donegal",Number,4685
General Health of Population,2022,Females,Very Good,"Buncrana, Donegal",Number,6167
General Health of Population,2022,Females,Very Good,"Donegal, Donegal",Number,7213
General Health of Population,2022,Females,Very Good,"Letterkenny, Donegal",Number,8565
General Health of Population,2022,Females,Very Good,"Lifford-Stranorlar, Donegal",Number,6651
General Health of Population,2022,Females,Very Good,"Conamara North, Galway County",Number,4611
General Health of Population,2022,Females,Very Good,"Tuam, Galway County",Number,9502
General Health of Population,2022,Females,Very Good,"Ballinasloe, Galway County",Number,7846
General Health of Population,2022,Females,Very Good,"Loughrea, Galway County",Number,6842
General Health of Population,2022,Females,Very Good,"Athenry-Oranmore, Galway County",Number,10171
General Health of Population,2022,Females,Very Good,"Gort-Kinvara, Galway County",Number,7485
General Health of Population,2022,Females,Very Good,"Conamara South, Galway County",Number,6617
General Health of Population,2022,Females,Very Good,"Galway City West, Galway City",Number,7852
General Health of Population,2022,Females,Very Good,"Galway City Central, Galway City",Number,6914
General Health of Population,2022,Females,Very Good,"Galway City East, Galway City",Number,6534
General Health of Population,2022,Females,Very Good,"Listowel, Kerry",Number,7553
General Health of Population,2022,Females,Very Good,"Castleisland, Kerry",Number,4912
General Health of Population,2022,Females,Very Good,"Killarney, Kerry",Number,8339
General Health of Population,2022,Females,Very Good,"Kenmare, Kerry",Number,7283
General Health of Population,2022,Females,Very Good,"Corca Dhuibhne, Kerry",Number,4102
General Health of Population,2022,Females,Very Good,"Tralee, Kerry",Number,8569
General Health of Population,2022,Females,Very Good,"Maynooth, Kildare",Number,10348
General Health of Population,2022,Females,Very Good,"Celbridge, Kildare",Number,6506
General Health of Population,2022,Females,Very Good,"Naas, Kildare",Number,13750
General Health of Population,2022,Females,Very Good,"Athy, Kildare",Number,7576
General Health of Population,2022,Females,Very Good,"Kildare, Kildare",Number,8022
General Health of Population,2022,Females,Very Good,"Clane, Kildare",Number,8623
General Health of Population,2022,Females,Very Good,"Leixlip, Kildare",Number,4870
General Health of Population,2022,Females,Very Good,"Newbridge, Kildare",Number,10494
General Health of Population,2022,Females,Very Good,"Castlecomer, Kilkenny",Number,6831
General Health of Population,2022,Females,Very Good,"Kilkenny, Kilkenny",Number,7971
General Health of Population,2022,Females,Very Good,"Piltown, Kilkenny",Number,6318
General Health of Population,2022,Females,Very Good,"Callan-Thomastown, Kilkenny",Number,7611
General Health of Population,2022,Females,Very Good,Ireland,Number,1378469
General Health of Population,2022,Females,Good,"Borris-In-Ossory-Mountmellick, Laois",Number,4110
General Health of Population,2022,Females,Good,"Portlaoise, Laois",Number,5270
General Health of Population,2022,Females,Good,"Graiguecullen -Portarlington, Laois",Number,4603
General Health of Population,2022,Females,Good,"Carlow, Carlow",Number,4044
General Health of Population,2022,Females,Good,"Tullow, Carlow",Number,2969
General Health of Population,2022,Females,Good,"Muinebeag, Carlow",Number,2506
General Health of Population,2022,Females,Good,"Manorhamilton, Leitrim",Number,1855
General Health of Population,2022,Females,Good,"Ballinamore, Leitrim",Number,1684
General Health of Population,2022,Females,Good,"Carrick-On-Shannon, Leitrim",Number,1958
General Health of Population,2022,Females,Good,"Newcastle West, Limerick",Number,4746
General Health of Population,2022,Females,Good,"Adare-Rathkeale, Limerick",Number,4452
General Health of Population,2022,Females,Good,"Cappamore-Kilmallock, Limerick",Number,5602
General Health of Population,2022,Females,Good,"Limerick City West, Limerick",Number,5634
General Health of Population,2022,Females,Good,"Limerick City North, Limerick",Number,5833
General Health of Population,2022,Females,Good,"Limerick City East, Limerick",Number,5669
General Health of Population,2022,Females,Good,"Granard, Longford",Number,1644
General Health of Population,2022,Females,Good,"Ballymahon, Longford",Number,2449
General Health of Population,2022,Females,Good,"Longford, Longford",Number,2750
General Health of Population,2022,Females,Good,"Dundalk-Carlingford, Louth",Number,3929
General Health of Population,2022,Females,Good,"Dundalk South, Louth",Number,5890
General Health of Population,2022,Females,Good,"Ardee, Louth",Number,3998
General Health of Population,2022,Females,Good,"Drogheda Rural, Louth",Number,2957
General Health of Population,2022,Females,Good,"Drogheda Urban, Louth",Number,4614
General Health of Population,2022,Females,Good,"Ballina, Mayo",Number,4243
General Health of Population,2022,Females,Good,"Claremorris, Mayo",Number,4789
General Health of Population,2022,Females,Good,"Castlebar, Mayo",Number,5094
General Health of Population,2022,Females,Good,"Belmullet, Mayo",Number,2075
General Health of Population,2022,Females,Good,"Westport, Mayo",Number,3170
General Health of Population,2022,Females,Good,"Swinford, Mayo",Number,3013
General Health of Population,2022,Females,Good,"Kells, Meath",Number,5240
General Health of Population,2022,Females,Good,"Laytown-Bettystown, Meath",Number,6208
General Health of Population,2022,Females,Good,"Ashbourne, Meath",Number,4944
General Health of Population,2022,Females,Good,"Ratoath, Meath",Number,5452
General Health of Population,2022,Females,Good,"Trim, Meath",Number,4908
General Health of Population,2022,Females,Good,"Navan, Meath",Number,6109
General Health of Population,2022,Females,Good,"Monaghan, Monaghan",Number,3613
General Health of Population,2022,Females,Good,"Carrickmacross-Castleblayney, Monaghan",Number,3489
General Health of Population,2022,Females,Good,"Ballybay-Clones, Monaghan",Number,2712
General Health of Population,2022,Females,Good,"Birr, Offaly",Number,4380
General Health of Population,2022,Females,Good,"Tullamore, Offaly",Number,4755
General Health of Population,2022,Females,Good,"Edenderry, Offaly",Number,3925
General Health of Population,2022,Females,Good,"Boyle, Roscommon",Number,3935
General Health of Population,2022,Females,Good,"Roscommon, Roscommon",Number,3827
General Health of Population,2022,Females,Good,"Athlone, Roscommon",Number,3150
General Health of Population,2022,Females,Good,"Ballymote-Tobercurry, Sligo",Number,4444
General Health of Population,2022,Females,Good,"Sligo-Drumcliff, Sligo",Number,2715
General Health of Population,2022,Females,Good,"Sligo-Strandhill, Sligo",Number,3665
General Health of Population,2022,Females,Good,"Cavan-Belturbet, Cavan",Number,4277
General Health of Population,2022,Females,Good,"Bailieborough-Cootehill, Cavan",Number,3729
General Health of Population,2022,Females,Good,"Ballyjamesduff, Cavan",Number,4232
General Health of Population,2022,Females,Good,"Nenagh, Tipperary",Number,3756
General Health of Population,2022,Females,Good,"Roscrea-Templemore, Tipperary",Number,2714
General Health of Population,2022,Females,Good,"Carrick-On-Suir, Tipperary",Number,3127
General Health of Population,2022,Females,Good,"Clonmel, Tipperary",Number,4072
General Health of Population,2022,Females,Good,"Cashel-Tipperary, Tipperary",Number,4577
General Health of Population,2022,Females,Good,"Newport, Tipperary",Number,2419
General Health of Population,2022,Females,Good,"Thurles, Tipperary",Number,3184
General Health of Population,2022,Females,Good,"Cahir, Tipperary",Number,2461
General Health of Population,2022,Females,Good,"Dungarvan, Waterford",Number,3464
General Health of Population,2022,Females,Good,"Portlaw-Kilmacthomas, Waterford",Number,2720
General Health of Population,2022,Females,Good,"Lismore, Waterford",Number,1819
General Health of Population,2022,Females,Good,"Tramore-Waterford City West, Waterford",Number,3680
General Health of Population,2022,Females,Good,"Waterford City South, Waterford",Number,4216
General Health of Population,2022,Females,Good,"Waterford City East, Waterford",Number,3596
General Health of Population,2022,Females,Good,"Athlone, Westmeath",Number,3737
General Health of Population,2022,Females,Good,"Moate, Westmeath",Number,2985
General Health of Population,2022,Females,Good,"Kinnegad, Westmeath",Number,3604
