"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Primary education","Number","764"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Lower secondary","Number","1687"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Upper secondary","Number","2259"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Technical or vocational qualification","Number","867"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Advanced certificate/Completed apprenticeship","Number","828"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Higher certificate","Number","491"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Ordinary bachelor degree or national diploma","Number","770"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Honours bachelor degree, professional qualification or both","Number","1087"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Postgraduate diploma or degree","Number","666"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Doctorate(Ph.D) or higher","Number","55"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Not stated","Number","1099"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Males","Total","Number","10867"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","No formal education","Number","222"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Primary education","Number","593"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Lower secondary","Number","1235"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Upper secondary","Number","2190"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Technical or vocational qualification","Number","1056"
"Population aged 15 years and over by sex and highest level of education completed","2022","Portlaoise, Laois","Females","Advanced certificate/Completed apprenticeship","Number","451"
