"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","No formal education","Number","216"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Primary education","Number","851"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Lower secondary","Number","1741"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Upper secondary","Number","2591"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Technical or vocational qualification","Number","1096"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Advanced certificate/Completed apprenticeship","Number","553"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Higher certificate","Number","934"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Ordinary bachelor degree or national diploma","Number","1008"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Honours bachelor degree, professional qualification or both","Number","1522"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Postgraduate diploma or degree","Number","1190"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Doctorate(Ph.D) or higher","Number","65"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Not stated","Number","453"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Females","Total","Number","12220"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","No formal education","Number","573"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Primary education","Number","2098"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Lower secondary","Number","4131"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Upper secondary","Number","4968"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Technical or vocational qualification","Number","1967"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1901"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Higher certificate","Number","1475"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Ordinary bachelor degree or national diploma","Number","1795"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Honours bachelor degree, professional qualification or both","Number","2718"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Postgraduate diploma or degree","Number","1871"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Doctorate(Ph.D) or higher","Number","152"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Not stated","Number","946"
"Population aged 15 years and over by sex and highest level of education completed","2022","Cappamore-Kilmallock, Limerick","Both Sexes","Total","Number","24595"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","No formal education","Number","261"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Primary education","Number","695"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Lower secondary","Number","1307"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Upper secondary","Number","1881"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Technical or vocational qualification","Number","812"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Advanced certificate/Completed apprenticeship","Number","697"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Higher certificate","Number","576"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Ordinary bachelor degree or national diploma","Number","1016"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Honours bachelor degree, professional qualification or both","Number","1902"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Postgraduate diploma or degree","Number","1346"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Doctorate(Ph.D) or higher","Number","185"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Not stated","Number","1614"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Males","Total","Number","12292"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","No formal education","Number","169"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Primary education","Number","643"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Lower secondary","Number","1217"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Upper secondary","Number","2012"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Technical or vocational qualification","Number","906"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Advanced certificate/Completed apprenticeship","Number","390"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Higher certificate","Number","771"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Ordinary bachelor degree or national diploma","Number","1053"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Honours bachelor degree, professional qualification or both","Number","2019"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Postgraduate diploma or degree","Number","1682"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Doctorate(Ph.D) or higher","Number","153"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Not stated","Number","1430"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Females","Total","Number","12445"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","No formal education","Number","430"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Primary education","Number","1338"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Lower secondary","Number","2524"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Upper secondary","Number","3893"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Technical or vocational qualification","Number","1718"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1087"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Higher certificate","Number","1347"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Ordinary bachelor degree or national diploma","Number","2069"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Honours bachelor degree, professional qualification or both","Number","3921"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Postgraduate diploma or degree","Number","3028"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Doctorate(Ph.D) or higher","Number","338"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Not stated","Number","3044"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City West, Limerick","Both Sexes","Total","Number","24737"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","No formal education","Number","286"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Primary education","Number","1101"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Lower secondary","Number","1823"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Upper secondary","Number","2235"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Technical or vocational qualification","Number","754"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Advanced certificate/Completed apprenticeship","Number","644"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Higher certificate","Number","432"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Ordinary bachelor degree or national diploma","Number","701"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Honours bachelor degree, professional qualification or both","Number","1305"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Postgraduate diploma or degree","Number","923"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Doctorate(Ph.D) or higher","Number","165"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Not stated","Number","1426"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Males","Total","Number","11795"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","No formal education","Number","280"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Primary education","Number","1189"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Lower secondary","Number","1910"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Upper secondary","Number","2601"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Technical or vocational qualification","Number","997"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Advanced certificate/Completed apprenticeship","Number","379"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Higher certificate","Number","699"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Ordinary bachelor degree or national diploma","Number","800"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Honours bachelor degree, professional qualification or both","Number","1321"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Postgraduate diploma or degree","Number","1086"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Doctorate(Ph.D) or higher","Number","107"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Not stated","Number","1285"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Females","Total","Number","12654"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","No formal education","Number","566"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Primary education","Number","2290"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Lower secondary","Number","3733"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Upper secondary","Number","4836"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Technical or vocational qualification","Number","1751"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1023"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Higher certificate","Number","1131"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Ordinary bachelor degree or national diploma","Number","1501"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Honours bachelor degree, professional qualification or both","Number","2626"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Postgraduate diploma or degree","Number","2009"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Doctorate(Ph.D) or higher","Number","272"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Not stated","Number","2711"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City North, Limerick","Both Sexes","Total","Number","24449"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","No formal education","Number","300"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Primary education","Number","877"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Lower secondary","Number","1596"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Upper secondary","Number","2013"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Technical or vocational qualification","Number","712"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Advanced certificate/Completed apprenticeship","Number","700"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Higher certificate","Number","459"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Ordinary bachelor degree or national diploma","Number","782"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Honours bachelor degree, professional qualification or both","Number","1797"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Postgraduate diploma or degree","Number","1289"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Doctorate(Ph.D) or higher","Number","267"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Not stated","Number","1443"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Males","Total","Number","12235"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","No formal education","Number","276"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Primary education","Number","839"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Lower secondary","Number","1521"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Upper secondary","Number","2167"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Technical or vocational qualification","Number","826"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Advanced certificate/Completed apprenticeship","Number","377"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Higher certificate","Number","730"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Ordinary bachelor degree or national diploma","Number","896"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Honours bachelor degree, professional qualification or both","Number","1769"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Postgraduate diploma or degree","Number","1570"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Doctorate(Ph.D) or higher","Number","198"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Not stated","Number","1429"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Females","Total","Number","12598"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","No formal education","Number","576"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Primary education","Number","1716"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Lower secondary","Number","3117"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Upper secondary","Number","4180"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Technical or vocational qualification","Number","1538"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Advanced certificate/Completed apprenticeship","Number","1077"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Higher certificate","Number","1189"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Ordinary bachelor degree or national diploma","Number","1678"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Honours bachelor degree, professional qualification or both","Number","3566"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Postgraduate diploma or degree","Number","2859"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Doctorate(Ph.D) or higher","Number","465"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Not stated","Number","2872"
"Population aged 15 years and over by sex and highest level of education completed","2022","Limerick City East, Limerick","Both Sexes","Total","Number","24833"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","No formal education","Number","185"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Primary education","Number","472"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Lower secondary","Number","760"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Upper secondary","Number","760"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Technical or vocational qualification","Number","319"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Advanced certificate/Completed apprenticeship","Number","357"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Higher certificate","Number","165"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Ordinary bachelor degree or national diploma","Number","193"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Honours bachelor degree, professional qualification or both","Number","281"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Postgraduate diploma or degree","Number","139"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Doctorate(Ph.D) or higher","Number","9"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Not stated","Number","282"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Males","Total","Number","3922"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","No formal education","Number","98"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Primary education","Number","309"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Lower secondary","Number","473"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Upper secondary","Number","750"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Technical or vocational qualification","Number","356"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Advanced certificate/Completed apprenticeship","Number","161"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Higher certificate","Number","288"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Ordinary bachelor degree or national diploma","Number","300"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Honours bachelor degree, professional qualification or both","Number","434"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Postgraduate diploma or degree","Number","325"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Doctorate(Ph.D) or higher","Number","7"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Not stated","Number","246"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Females","Total","Number","3747"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","No formal education","Number","283"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Primary education","Number","781"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Lower secondary","Number","1233"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Upper secondary","Number","1510"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Technical or vocational qualification","Number","675"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Advanced certificate/Completed apprenticeship","Number","518"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Higher certificate","Number","453"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Ordinary bachelor degree or national diploma","Number","493"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Honours bachelor degree, professional qualification or both","Number","715"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Postgraduate diploma or degree","Number","464"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Doctorate(Ph.D) or higher","Number","16"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Not stated","Number","528"
"Population aged 15 years and over by sex and highest level of education completed","2022","Granard, Longford","Both Sexes","Total","Number","7669"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","No formal education","Number","215"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Primary education","Number","517"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Lower secondary","Number","896"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Upper secondary","Number","905"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Technical or vocational qualification","Number","442"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Advanced certificate/Completed apprenticeship","Number","447"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Higher certificate","Number","269"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Ordinary bachelor degree or national diploma","Number","357"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Honours bachelor degree, professional qualification or both","Number","430"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Postgraduate diploma or degree","Number","311"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Doctorate(Ph.D) or higher","Number","36"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Not stated","Number","1066"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Males","Total","Number","5891"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","No formal education","Number","144"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Primary education","Number","388"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Lower secondary","Number","656"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Upper secondary","Number","1035"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Technical or vocational qualification","Number","462"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Advanced certificate/Completed apprenticeship","Number","197"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Higher certificate","Number","377"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Ordinary bachelor degree or national diploma","Number","427"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Honours bachelor degree, professional qualification or both","Number","671"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Postgraduate diploma or degree","Number","506"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Doctorate(Ph.D) or higher","Number","26"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Not stated","Number","1000"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Females","Total","Number","5889"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","No formal education","Number","359"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Primary education","Number","905"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Lower secondary","Number","1552"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Upper secondary","Number","1940"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Technical or vocational qualification","Number","904"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Advanced certificate/Completed apprenticeship","Number","644"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Higher certificate","Number","646"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Ordinary bachelor degree or national diploma","Number","784"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Honours bachelor degree, professional qualification or both","Number","1101"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Postgraduate diploma or degree","Number","817"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Doctorate(Ph.D) or higher","Number","62"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Not stated","Number","2066"
"Population aged 15 years and over by sex and highest level of education completed","2022","Ballymahon, Longford","Both Sexes","Total","Number","11780"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","No formal education","Number","238"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Primary education","Number","515"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Lower secondary","Number","846"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Upper secondary","Number","1017"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Technical or vocational qualification","Number","513"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Advanced certificate/Completed apprenticeship","Number","329"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Higher certificate","Number","250"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Ordinary bachelor degree or national diploma","Number","316"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Honours bachelor degree, professional qualification or both","Number","430"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Postgraduate diploma or degree","Number","259"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Doctorate(Ph.D) or higher","Number","33"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Not stated","Number","546"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Males","Total","Number","5292"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","No formal education","Number","196"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Primary education","Number","485"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Lower secondary","Number","700"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Upper secondary","Number","1102"
