"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Weighted_Access_Initial_Vacc_Center","Access_Pharmacies","Access_GPs","Index22_rel","UNEMPM22","UNEMPF22"
"ADARE-RATHKEALE",0.107471412604247,0.504771730719629,0.164302295589373,0.13133006620239,0.0921244948843608,0.0408000708027259,0.134702186034162,0.327639614125144,0.124347287370564,0.216302327639614,0.15620851402779,0.00375953571558929,0.0153666459831368,0.0927108807533672,0.323940577435486,0.564222360112421,0.625261176902765,23.8063556222483,9.44346861108998,0.950476033461445,6.23015873015873,6.44132653061224
"ARDEE",0.126323218066337,0.543824982357092,0.147447659374265,0.103505057633498,0.0788990825688073,0.0631732168850073,0.155943716642407,0.307714701601164,0.135177098495876,0.201358563803979,0.136632702571567,0.00321418890136699,0.0133989079502769,0.0952251868489331,0.307710180846532,0.580451535452891,1.31324935612161,22.8655545454853,5.61102170128378,-1.40038304650632,7.94405594405594,7.84178847807395
"ARKLOW",0.120059488935959,0.532786515841183,0.156203524268782,0.113119113074046,0.0778313578800306,0.0545454545454545,0.145454545454545,0.337121212121212,0.151704545454545,0.183996212121212,0.12717803030303,0.00384716931316712,0.0165201976388941,0.0965564062912534,0.319390487685286,0.563685739071399,0.570178481281406,15.3306869873054,5.57187557457838,-3.52028438122039,10.2417213916445,9.89565802760014
"ARTANE-WHITEHALL",0.0874915873473704,0.548336698394385,0.142366118642438,0.0957359869243342,0.126069608691472,0.0480709913159019,0.196697195463389,0.314620604565083,0.123712807858397,0.179566269634129,0.1373321311631,0.00519568293661689,0.0221555747988257,0.118845967009525,0.330538365683148,0.523264409571884,0.67520254264749,47.5561399665609,16.0506257348069,-6.37184994561899,10.8723041577114,8.96991207550214
"ASHBOURNE",0.124256883604506,0.591989987484355,0.126329787234043,0.0986780350438048,0.0587453066332916,0.0320829620027546,0.0960058332658187,0.32860730778579,0.134732236895406,0.236895406303168,0.171676253747063,0.00243346956603126,0.0109818113749103,0.0736904501918697,0.310048981374598,0.60284528749259,1.44465094252141,23.7605655845753,7.48619029124205,3.734560242628,5.34359538207807,7.06416072585872
"ATHENRY-ORANMORE",0.124542124542125,0.566630036630037,0.140879120879121,0.0964468864468864,0.0715018315018315,0.0286996154393961,0.101837345107535,0.284574846887908,0.116222760290557,0.253453923942458,0.215211508332146,0.00234233700002965,0.0100809440507605,0.076407625937676,0.305660153586148,0.605508939425386,2.75859565874123,22.2968247412099,13.9251982349979,5.23821453645717,5.55024938979094,5.79622458857696
"ATHLONE",0.120127718537261,0.526296764865353,0.158985481053076,0.113621302488102,0.0809687330562082,0.034379849588158,0.112450758027934,0.345469738569894,0.11292825593888,0.22800525247702,0.166766145398114,0.00325107137579429,0.0123146643022511,0.0820649229102015,0.306044037239545,0.596325304172208,1.43051688498331,28.0372702427907,4.1146892708825,-1.09765408397499,10.738255033557,10.5495313361514
"ATHLONE_WESTMEATH",0.0944645954896704,0.567576092099038,0.140514114492982,0.114072438626925,0.0833727592913841,0.0384292314153717,0.128202435951281,0.314048719025619,0.106572868542629,0.22060058798824,0.192146157076858,0.003614512266751,0.0166267564270546,0.0992635431256495,0.334839380111146,0.545655808069399,0.882890309449864,28.8803730144315,5.23307819987627,2.49195349828727,6.29535558780842,6.12589776087875
"ATHY",0.126203160675113,0.55634149617227,0.145006043783856,0.103415857098088,0.069033442270672,0.0517741784477109,0.13978091938957,0.360827637861623,0.149236962831196,0.180601067315794,0.117779234154105,0.00426063321824726,0.0175934768236245,0.099169911114376,0.314993021376625,0.563982957467127,0.512271873539717,24.413808602873,5.79487872367487,-4.06655524787758,10.6201756720788,10.5245517010223
"BAILIEBOROUGH-COOTEHILL",0.117493857493857,0.527272727272727,0.155921375921376,0.116658476658477,0.0826535626535626,0.0698676515851031,0.168154303888376,0.334667077049349,0.157073971478404,0.166820560172361,0.103416435826408,0.00278631427986068,0.0144642491292768,0.0849416103257529,0.302233148944888,0.595574677320221,1.95358725651893,22.28744115809,6.23229184883425,-3.88364568826011,7.55385487528345,8.17655571635311
