"","LEA","Center","Distance"
"1","ADARE-RATHKEALE","Carlow Vaccination Centre",133816.57069884
"2","ARDEE","Carlow Vaccination Centre",121491.469599438
"3","ARKLOW","Carlow Vaccination Centre",46526.2161993804
"4","ARTANE-WHITEHALL","Carlow Vaccination Centre",80888.6091739889
"5","ASHBOURNE","Carlow Vaccination Centre",91808.7779950219
"6","ATHENRY-ORANMORE","Carlow Vaccination Centre",137900.310983928
"7","ATHLONE","Carlow Vaccination Centre",93363.7437299401
"8","ATHLONE","Carlow Vaccination Centre",107187.594337622
"9","ATHY","Carlow Vaccination Centre",21477.4548887651
"10","BAILIEBOROUGH-COOTEHILL","Carlow Vaccination Centre",130575.710361226
"11","BALBRIGGAN","Carlow Vaccination Centre",99655.6849882996
"12","BALLINA","Carlow Vaccination Centre",214647.538510346
"13","BALLINAMORE","Carlow Vaccination Centre",147818.738064071
"14","BALLINASLOE","Carlow Vaccination Centre",121081.6307192
"15","BALLYBAY-CLONES","Carlow Vaccination Centre",146860.437075388
"16","BALLYFERMOT-DRIMNAGH","Carlow Vaccination Centre",70782.4054445663
"17","BALLYJAMESDUFF","Carlow Vaccination Centre",119842.240332194
"18","BALLYMAHON","Carlow Vaccination Centre",106699.134769284
"19","BALLYMOTE-TOBERCURRY","Carlow Vaccination Centre",184204.934404683
"20","BALLYMUN-FINGLAS","Carlow Vaccination Centre",78030.2456533914
"21","BALTINGLASS","Carlow Vaccination Centre",32301.7513475028
"22","BANDON-KINSALE","Carlow Vaccination Centre",169142.14205562
"23","BANTRY-WEST CORK","Carlow Vaccination Centre",219300.215515822
"24","BELMULLET","Carlow Vaccination Centre",236054.182285226
"25","BIRR","Carlow Vaccination Centre",69750.0326997426
"26","BLACKROCK","Carlow Vaccination Centre",74085.3973393026
"27","BLANCHARDSTOWN-MULHUDDART","Carlow Vaccination Centre",78567.4535628086
"28","BORRIS-IN-OSSORY-MOUNTMELLICK","Carlow Vaccination Centre",42824.6593632635
"29","BOYLE","Carlow Vaccination Centre",147428.797111789
"30","BRAY EAST","Carlow Vaccination Centre",71054.7469727616
"31","BRAY WEST","Carlow Vaccination Centre",63542.3831770321
"32","BUNCRANA","Carlow Vaccination Centre",255638.794480417
"33","CABRA-GLASNEVIN","Carlow Vaccination Centre",74944.8530364219
"34","CAHIR","Carlow Vaccination Centre",88262.5731830159
"35","CALLAN-THOMASTOWN","Carlow Vaccination Centre",36253.5182950463
"36","CAPPAMORE-KILMALLOCK","Carlow Vaccination Centre",107456.186013944
"37","CARLOW","Carlow Vaccination Centre",4338.03785833373
"38","CARNDONAGH","Carlow Vaccination Centre",271920.211560049
"39","CARRICK-ON-SHANNON","Carlow Vaccination Centre",139816.669002466
"40","CARRICK-ON-SUIR","Carlow Vaccination Centre",55346.7901622195
"41","CARRICKMACROSS-CASTLEBLAYNEY","Carlow Vaccination Centre",136841.782897928
"42","CARRIGALINE","Carlow Vaccination Centre",150476.979563421
"43","CASHEL-TIPPERARY","Carlow Vaccination Centre",84268.9797452441
"44","CASTLEBAR","Carlow Vaccination Centre",192627.71619626
"45","CASTLECOMER","Carlow Vaccination Centre",25704.1177299523
"46","CASTLEISLAND","Carlow Vaccination Centre",180520.171221258
"47","CASTLEKNOCK","Carlow Vaccination Centre",72343.0510559148
"48","CAVAN-BELTURBET","Carlow Vaccination Centre",152057.251125307
"49","CELBRIDGE","Carlow Vaccination Centre",63093.9521870797
"50","CLANE","Carlow Vaccination Centre",57873.7365892146
"51","CLAREMORRIS","Carlow Vaccination Centre",169287.913113152
"52","CLONDALKIN","Carlow Vaccination Centre",62186.7621965331
"53","CLONMEL","Carlow Vaccination Centre",67456.7585607966
"54","CLONTARF","Carlow Vaccination Centre",79673.160024682
"55","COBH","Carlow Vaccination Centre",135524.833346479
"56","CONAMARA NORTH","Carlow Vaccination Centre",196571.747727364
"57","CONAMARA SOUTH","Carlow Vaccination Centre",171853.030617189
"58","CORCA DHUIBHNE","Carlow Vaccination Centre",225088.815215496
"59","CORK CITY NORTH EAST","Carlow Vaccination Centre",140641.470369046
"60","CORK CITY NORTH WEST","Carlow Vaccination Centre",147927.716122298
"61","CORK CITY SOUTH CENTRAL","Carlow Vaccination Centre",147256.597806754
"62","CORK CITY SOUTH EAST","Carlow Vaccination Centre",144337.096994002
"63","CORK CITY SOUTH WEST","Carlow Vaccination Centre",150469.798326255
"64","DONAGHMEDE","Carlow Vaccination Centre",83046.3885614815
"65","DONEGAL","Carlow Vaccination Centre",219947.582562875
"66","DROGHEDA RURAL","Carlow Vaccination Centre",113065.533297163
"67","DROGHEDA URBAN","Carlow Vaccination Centre",107906.153433765
"68","DÚN LAOGHAIRE","Carlow Vaccination Centre",75553.5463441834
"69","DUNDALK-CARLINGFORD","Carlow Vaccination Centre",142827.777968817
"70","DUNDALK SOUTH","Carlow Vaccination Centre",134396.25404768
"71","DUNDRUM","Carlow Vaccination Centre",70947.3578015249
"72","DUNGARVAN","Carlow Vaccination Centre",98128.102588694
"73","EDENDERRY","Carlow Vaccination Centre",54601.8216190829
"74","ENNIS","Carlow Vaccination Centre",136565.109937074
"75","ENNISCORTHY","Carlow Vaccination Centre",36260.4786602277
"76","ENNISTIMON","Carlow Vaccination Centre",150769.265352234
"77","FERMOY","Carlow Vaccination Centre",118341.247506148
"78","FIRHOUSE-BOHERNABREENA","Carlow Vaccination Centre",62782.3119787859
"79","GALWAY CITY CENTRAL","Carlow Vaccination Centre",151426.816113047
"80","GALWAY CITY EAST","Carlow Vaccination Centre",147152.09043041
"81","GALWAY CITY WEST","Carlow Vaccination Centre",153155.629105903
"82","GLENCULLEN-SANDYFORD","Carlow Vaccination Centre",67675.8580872457
"83","GLENTIES","Carlow Vaccination Centre",251979.245695877
"84","GOREY","Carlow Vaccination Centre",43443.2929442557
"85","GORT-KINVARA","Carlow Vaccination Centre",128915.678361632
"86","GRAIGUECULLEN-PORTARLINGTON","Carlow Vaccination Centre",20644.5306691573
"87","GRANARD","Carlow Vaccination Centre",118292.001552141
"88","GREYSTONES","Carlow Vaccination Centre",66871.3814918143
"89","HOWTH-MALAHIDE","Carlow Vaccination Centre",85857.9353851605
"90","KANTURK","Carlow Vaccination Centre",153013.653738437
"91","KELLS","Carlow Vaccination Centre",104690.93532689
"92","KENMARE","Carlow Vaccination Centre",221688.616988925
"93","KILDARE","Carlow Vaccination Centre",40364.7259005793
"94","KILKENNY","Carlow Vaccination Centre",27063.5170503081
"95","KILLALOE","Carlow Vaccination Centre",114209.762894057
"96","KILLARNEY","Carlow Vaccination Centre",189811.174012718
"97","KILLINEY-SHANKILL","Carlow Vaccination Centre",71623.4176979449
"98","KILMUCKRIDGE","Carlow Vaccination Centre",50885.9854294966
"99","KILRUSH","Carlow Vaccination Centre",162180.498184448
"100","KIMMAGE-RATHMINES","Carlow Vaccination Centre",71644.8639726374
"101","KINNEGAD","Carlow Vaccination Centre",90007.9896031779
"102","LAYTOWN-BETTYSTOWN","Carlow Vaccination Centre",104956.637500713
"103","LEIXLIP","Carlow Vaccination Centre",69170.7008901819
"104","LETTERKENNY","Carlow Vaccination Centre",244506.713234435
"105","LIFFORD-STRANORLAR","Carlow Vaccination Centre",230288.742622803
"106","LIMERICK CITY EAST","Carlow Vaccination Centre",109149.317003434
"107","LIMERICK CITY NORTH","Carlow Vaccination Centre",115893.479616965
"108","LIMERICK CITY WEST","Carlow Vaccination Centre",120995.971526515
"109","LISMORE","Carlow Vaccination Centre",98084.9230833742
"110","LISTOWEL","Carlow Vaccination Centre",180720.387501245
"111","LONGFORD","Carlow Vaccination Centre",118764.781460469
"112","LOUGHREA","Carlow Vaccination Centre",105505.451959037
"113","LUCAN","Carlow Vaccination Centre",68169.3666164337
"114","MACROOM","Carlow Vaccination Centre",168814.673525686
"115","MALLOW","Carlow Vaccination Centre",140601.575975946
"116","MANORHAMILTON","Carlow Vaccination Centre",184426.631146432
"117","MAYNOOTH","Carlow Vaccination Centre",64111.1848880015
"118","MIDLETON","Carlow Vaccination Centre",125055.92659434
"119","MILFORD","Carlow Vaccination Centre",260795.733170895
"120","MOATE","Carlow Vaccination Centre",84276.6945945466
"121","MONAGHAN","Carlow Vaccination Centre",163997.204170018
"122","MUINEBEAG","Carlow Vaccination Centre",17394.6320516477
"123","MULLINGAR","Carlow Vaccination Centre",82801.7776898959
"124","NAAS","Carlow Vaccination Centre",50645.5669594991
"125","NAVAN","Carlow Vaccination Centre",93694.3269587531
"126","NENAGH","Carlow Vaccination Centre",81401.7722517637
"127","NEW ROSS","Carlow Vaccination Centre",50437.0540609677
"128","NEWBRIDGE","Carlow Vaccination Centre",41324.0407890143
"129","NEWCASTLE WEST","Carlow Vaccination Centre",151624.150031865
"130","NEWPORT","Carlow Vaccination Centre",88940.0903632838
"131","NORTH INNER CITY","Carlow Vaccination Centre",76354.1863595003
"132","ONGAR","Carlow Vaccination Centre",73527.4257170802
"133","PALMERSTOWN-FONTHILL","Carlow Vaccination Centre",70521.1919415877
"134","PEMBROKE","Carlow Vaccination Centre",74314.3613609942
"135","PILTOWN","Carlow Vaccination Centre",53567.8322302162
"136","PORTLAOISE","Carlow Vaccination Centre",29762.9281949153
"137","PORTLAW-KILMACTHOMAS","Carlow Vaccination Centre",72462.6973610258
"138","RATHFARNHAM-TEMPLEOGUE","Carlow Vaccination Centre",68849.5086296921
"139","RATOATH","Carlow Vaccination Centre",77676.2843468491
"140","ROSCOMMON","Carlow Vaccination Centre",138723.919883451
"141","ROSCREA-TEMPLEMORE","Carlow Vaccination Centre",60529.4752581706
"142","ROSSLARE","Carlow Vaccination Centre",67770.5536751642
"143","RUSH-LUSK","Carlow Vaccination Centre",93060.6030185996
"144","SHANNON","Carlow Vaccination Centre",124582.777957261
"145","SKIBBEREEN-WEST CORK","Carlow Vaccination Centre",195014.065575377
"146","SLIGO-DRUMCLIFF","Carlow Vaccination Centre",194029.404530688
"147","SLIGO-STRANDHILL","Carlow Vaccination Centre",192771.943599653
"148","SOUTH EAST INNER CITY","Carlow Vaccination Centre",75528.2082539057
"149","SOUTH WEST INNER CITY","Carlow Vaccination Centre",73161.4734218383
"150","STILLORGAN","Carlow Vaccination Centre",72628.7225281298
"151","SWINFORD","Carlow Vaccination Centre",177686.911545305
"152","SWORDS","Carlow Vaccination Centre",85622.4098038574
"153","TALLAGHT CENTRAL","Carlow Vaccination Centre",66537.9263608829
"154","TALLAGHT SOUTH","Carlow Vaccination Centre",61425.2634071724
"155","THURLES","Carlow Vaccination Centre",60097.5633090038
"156","TRALEE","Carlow Vaccination Centre",198542.673087259
"157","TRAMORE-WATERFORD CITY WEST","Carlow Vaccination Centre",70513.3186365102
"158","TRIM","Carlow Vaccination Centre",76468.9422587128
"159","TUAM","Carlow Vaccination Centre",151240.884898961
"160","TULLAMORE","Carlow Vaccination Centre",66599.8442968296
"161","TULLOW","Carlow Vaccination Centre",16017.0591819377
"162","WATERFORD CITY EAST","Carlow Vaccination Centre",68304.6847074182
"163","WATERFORD CITY SOUTH","Carlow Vaccination Centre",67711.1519604066
"164","WESTPORT","Carlow Vaccination Centre",207229.052359309
"165","WEXFORD","Carlow Vaccination Centre",58404.5108178911
"166","WICKLOW","Carlow Vaccination Centre",55149.1295374444
"167","ADARE-RATHKEALE","Cavan Vaccination Centre",189922.513879354
"168","ARDEE","Cavan Vaccination Centre",56895.1779281453
"169","ARKLOW","Cavan Vaccination Centre",141136.879518834
"170","ARTANE-WHITEHALL","Cavan Vaccination Centre",98181.7327907143
"171","ASHBOURNE","Cavan Vaccination Centre",72017.6565650419
"172","ATHENRY-ORANMORE","Cavan Vaccination Centre",121844.157861338
"173","ATHLONE","Cavan Vaccination Centre",70104.0398183944
"174","ATHLONE","Cavan Vaccination Centre",79148.0746356301
"175","ATHY","Cavan Vaccination Centre",113178.14268556
"176","BAILIEBOROUGH-COOTEHILL","Cavan Vaccination Centre",15327.8931513194
"177","BALBRIGGAN","Cavan Vaccination Centre",89087.0539608641
"178","BALLINA","Cavan Vaccination Centre",130074.52079955
"179","BALLINAMORE","Cavan Vaccination Centre",33960.319803732
"180","BALLINASLOE","Cavan Vaccination Centre",93315.7135206609
"181","BALLYBAY-CLONES","Cavan Vaccination Centre",25717.1032423429
"182","BALLYFERMOT-DRIMNAGH","Cavan Vaccination Centre",97057.6691566778
"183","BALLYJAMESDUFF","Cavan Vaccination Centre",13030.4238401698
"184","BALLYMAHON","Cavan Vaccination Centre",51278.2553675901
"185","BALLYMOTE-TOBERCURRY","Cavan Vaccination Centre",89284.1721315953
"186","BALLYMUN-FINGLAS","Cavan Vaccination Centre",95150.9920934298
"187","BALTINGLASS","Cavan Vaccination Centre",124786.826590873
"188","BANDON-KINSALE","Cavan Vaccination Centre",268044.670099979
"189","BANTRY-WEST CORK","Cavan Vaccination Centre",299478.503503036
"190","BELMULLET","Cavan Vaccination Centre",161192.322534578
"191","BIRR","Cavan Vaccination Centre",100704.937954912
"192","BLACKROCK","Cavan Vaccination Centre",107905.769791105
"193","BLANCHARDSTOWN-MULHUDDART","Cavan Vaccination Centre",90407.1043837701
"194","BORRIS-IN-OSSORY-MOUNTMELLICK","Cavan Vaccination Centre",111393.56713455
"195","BOYLE","Cavan Vaccination Centre",60090.5111716644
"196","BRAY EAST","Cavan Vaccination Centre",119061.063706137
"197","BRAY WEST","Cavan Vaccination Centre",116547.464798134
"198","BUNCRANA","Cavan Vaccination Centre",123525.785914516
"199","CABRA-GLASNEVIN","Cavan Vaccination Centre",96524.0237946664
"200","CAHIR","Cavan Vaccination Centre",190803.368508414
"201","CALLAN-THOMASTOWN","Cavan Vaccination Centre",163367.621539754
"202","CAPPAMORE-KILMALLOCK","Cavan Vaccination Centre",184709.10579928
"203","CARLOW","Cavan Vaccination Centre",131663.103717739
"204","CARNDONAGH","Cavan Vaccination Centre",140897.732282475
"205","CARRICK-ON-SHANNON","Cavan Vaccination Centre",40656.7467630726
"206","CARRICK-ON-SUIR","Cavan Vaccination Centre",164872.433827151
"207","CARRICKMACROSS-CASTLEBLAYNEY","Cavan Vaccination Centre",40347.113968191
"208","CARRIGALINE","Cavan Vaccination Centre",253769.403004418
"209","CASHEL-TIPPERARY","Cavan Vaccination Centre",171845.851548916
"210","CASTLEBAR","Cavan Vaccination Centre",131790.26891547
"211","CASTLECOMER","Cavan Vaccination Centre",139151.534357009
"212","CASTLEISLAND","Cavan Vaccination Centre",241245.734690905
"213","CASTLEKNOCK","Cavan Vaccination Centre",91124.7994449194
"214","CAVAN-BELTURBET","Cavan Vaccination Centre",25668.5936552892
"215","CELBRIDGE","Cavan Vaccination Centre",89503.8424587696
"216","CLANE","Cavan Vaccination Centre",78348.1142081503
"217","CLAREMORRIS","Cavan Vaccination Centre",119252.867569671
"218","CLONDALKIN","Cavan Vaccination Centre",95992.3339876935
"219","CLONMEL","Cavan Vaccination Centre",177476.150278229
"220","CLONTARF","Cavan Vaccination Centre",100860.942407156
"221","COBH","Cavan Vaccination Centre",235985.068730134
"222","CONAMARA NORTH","Cavan Vaccination Centre",165868.93979787
"223","CONAMARA SOUTH","Cavan Vaccination Centre",157847.470420919
"224","CORCA DHUIBHNE","Cavan Vaccination Centre",273660.261658028
"225","CORK CITY NORTH EAST","Cavan Vaccination Centre",240604.976825887
"226","CORK CITY NORTH WEST","Cavan Vaccination Centre",244564.780296186
"227","CORK CITY SOUTH CENTRAL","Cavan Vaccination Centre",247729.857259922
"228","CORK CITY SOUTH EAST","Cavan Vaccination Centre",246278.220769561
"229","CORK CITY SOUTH WEST","Cavan Vaccination Centre",248968.875533243
"230","DONAGHMEDE","Cavan Vaccination Centre",101404.298699544
"231","DONEGAL","Cavan Vaccination Centre",93358.4802505388
"232","DROGHEDA RURAL","Cavan Vaccination Centre",69116.0971326089
"233","DROGHEDA URBAN","Cavan Vaccination Centre",70808.2531862282
"234","DÚN LAOGHAIRE","Cavan Vaccination Centre",111214.283743963
"235","DUNDALK-CARLINGFORD","Cavan Vaccination Centre",67026.4627029009
"236","DUNDALK SOUTH","Cavan Vaccination Centre",56379.8043047944
"237","DUNDRUM","Cavan Vaccination Centre",104697.191668135
"238","DUNGARVAN","Cavan Vaccination Centre",215979.734563616
"239","EDENDERRY","Cavan Vaccination Centre",79091.3553321387
"240","ENNIS","Cavan Vaccination Centre",167701.34901473
"241","ENNISCORTHY","Cavan Vaccination Centre",165734.953081586
"242","ENNISTIMON","Cavan Vaccination Centre",165117.402763387
"243","FERMOY","Cavan Vaccination Centre",213909.072044086
"244","FIRHOUSE-BOHERNABREENA","Cavan Vaccination Centre",105971.146658965
"245","GALWAY CITY CENTRAL","Cavan Vaccination Centre",138952.400475364
"246","GALWAY CITY EAST","Cavan Vaccination Centre",135804.090031499
"247","GALWAY CITY WEST","Cavan Vaccination Centre",142625.188178918
"248","GLENCULLEN-SANDYFORD","Cavan Vaccination Centre",109409.279363451
"249","GLENTIES","Cavan Vaccination Centre",122069.165067387
"250","GOREY","Cavan Vaccination Centre",158087.846835554
"251","GORT-KINVARA","Cavan Vaccination Centre",136994.618929505
"252","GRAIGUECULLEN-PORTARLINGTON","Cavan Vaccination Centre",113534.151218181
"253","GRANARD","Cavan Vaccination Centre",27139.6608410942
"254","GREYSTONES","Cavan Vaccination Centre",128085.686506843
"255","HOWTH-MALAHIDE","Cavan Vaccination Centre",99789.6021794844
"256","KANTURK","Cavan Vaccination Centre",225994.848685715
"257","KELLS","Cavan Vaccination Centre",38128.9375790421
"258","KENMARE","Cavan Vaccination Centre",286720.186531808
"259","KILDARE","Cavan Vaccination Centre",93513.0136310459
"260","KILKENNY","Cavan Vaccination Centre",147012.917723634
"261","KILLALOE","Cavan Vaccination Centre",150857.917289875
"262","KILLARNEY","Cavan Vaccination Centre",259112.087410937
"263","KILLINEY-SHANKILL","Cavan Vaccination Centre",114421.30071169
"264","KILMUCKRIDGE","Cavan Vaccination Centre",175636.044080614
"265","KILRUSH","Cavan Vaccination Centre",196121.916757876
"266","KIMMAGE-RATHMINES","Cavan Vaccination Centre",101025.623679334
"267","KINNEGAD","Cavan Vaccination Centre",42890.7087221476
"268","LAYTOWN-BETTYSTOWN","Cavan Vaccination Centre",63468.9373255577
"269","LEIXLIP","Cavan Vaccination Centre",87441.6095481802
"270","LETTERKENNY","Cavan Vaccination Centre",111933.549003985
"271","LIFFORD-STRANORLAR","Cavan Vaccination Centre",97754.0698810053
"272","LIMERICK CITY EAST","Cavan Vaccination Centre",169418.21876998
"273","LIMERICK CITY NORTH","Cavan Vaccination Centre",171047.938729332
"274","LIMERICK CITY WEST","Cavan Vaccination Centre",177117.186645029
"275","LISMORE","Cavan Vaccination Centre",208372.086252296
"276","LISTOWEL","Cavan Vaccination Centre",226295.222776217
"277","LONGFORD","Cavan Vaccination Centre",41134.8775614401
"278","LOUGHREA","Cavan Vaccination Centre",117536.256864386
"279","LUCAN","Cavan Vaccination Centre",91479.4271645784
"280","MACROOM","Cavan Vaccination Centre",254430.040853143
"281","MALLOW","Cavan Vaccination Centre",225394.74420715
"282","MANORHAMILTON","Cavan Vaccination Centre",66491.5906324389
"283","MAYNOOTH","Cavan Vaccination Centre",81152.57518907
"284","MIDLETON","Cavan Vaccination Centre",234694.975931601
"285","MILFORD","Cavan Vaccination Centre",127982.166171865
"286","MOATE","Cavan Vaccination Centre",58459.9575299466
"287","MONAGHAN","Cavan Vaccination Centre",40389.0409851692
"288","MUINEBEAG","Cavan Vaccination Centre",150206.116690759
"289","MULLINGAR","Cavan Vaccination Centre",51408.0931778483
"290","NAAS","Cavan Vaccination Centre",97893.9360474777
"291","NAVAN","Cavan Vaccination Centre",55745.7689006368
"292","NENAGH","Cavan Vaccination Centre",122336.590538595
"293","NEW ROSS","Cavan Vaccination Centre",183261.86970267
"294","NEWBRIDGE","Cavan Vaccination Centre",99792.0194385062
"295","NEWCASTLE WEST","Cavan Vaccination Centre",210422.194967648
"296","NEWPORT","Cavan Vaccination Centre",148486.906456501
"297","NORTH INNER CITY","Cavan Vaccination Centre",100148.057356755
"298","ONGAR","Cavan Vaccination Centre",88532.7507163325
"299","PALMERSTOWN-FONTHILL","Cavan Vaccination Centre",94190.2846811619
"300","PEMBROKE","Cavan Vaccination Centre",103158.748597566
"301","PILTOWN","Cavan Vaccination Centre",182298.867209384
"302","PORTLAOISE","Cavan Vaccination Centre",112996.482290459
"303","PORTLAW-KILMACTHOMAS","Cavan Vaccination Centre",193721.39505988
"304","RATHFARNHAM-TEMPLEOGUE","Cavan Vaccination Centre",101370.141631942
"305","RATOATH","Cavan Vaccination Centre",76178.2270896781
"306","ROSCOMMON","Cavan Vaccination Centre",74247.6292206809
"307","ROSCREA-TEMPLEMORE","Cavan Vaccination Centre",133540.270292566
"308","ROSSLARE","Cavan Vaccination Centre",199552.798435552
"309","RUSH-LUSK","Cavan Vaccination Centre",86172.5636203538
"310","SHANNON","Cavan Vaccination Centre",171775.215567615
"311","SKIBBEREEN-WEST CORK","Cavan Vaccination Centre",286161.913384038
"312","SLIGO-DRUMCLIFF","Cavan Vaccination Centre",82885.4353058726
"313","SLIGO-STRANDHILL","Cavan Vaccination Centre",85039.4204054762
"314","SOUTH EAST INNER CITY","Cavan Vaccination Centre",101601.778694652
"315","SOUTH WEST INNER CITY","Cavan Vaccination Centre",98852.051767935
"316","STILLORGAN","Cavan Vaccination Centre",107670.660203916
"317","SWINFORD","Cavan Vaccination Centre",102828.765810512
"318","SWORDS","Cavan Vaccination Centre",90574.1877317148
"319","TALLAGHT CENTRAL","Cavan Vaccination Centre",99254.3306042316
"320","TALLAGHT SOUTH","Cavan Vaccination Centre",101481.421685416
"321","THURLES","Cavan Vaccination Centre",149699.895396489
"322","TRALEE","Cavan Vaccination Centre",249419.634816688
"323","TRAMORE-WATERFORD CITY WEST","Cavan Vaccination Centre",199514.593469076
"324","TRIM","Cavan Vaccination Centre",61378.063315174
"325","TUAM","Cavan Vaccination Centre",115305.203403037
"326","TULLAMORE","Cavan Vaccination Centre",80099.6930924784
"327","TULLOW","Cavan Vaccination Centre",139649.953513049
"328","WATERFORD CITY EAST","Cavan Vaccination Centre",199512.913659068
"329","WATERFORD CITY SOUTH","Cavan Vaccination Centre",197682.242887296
"330","WESTPORT","Cavan Vaccination Centre",154413.43845422
"331","WEXFORD","Cavan Vaccination Centre",188619.665155222
"332","WICKLOW","Cavan Vaccination Centre",128864.039776234
"333","ADARE-RATHKEALE","Ennis Vaccination Centre - West County Hotel",31478.4200108139
"334","ARDEE","Ennis Vaccination Centre - West County Hotel",202460.818847569
"335","ARKLOW","Ennis Vaccination Centre - West County Hotel",182838.126766595
"336","ARTANE-WHITEHALL","Ennis Vaccination Centre - West County Hotel",195023.5305147
"337","ASHBOURNE","Ennis Vaccination Centre - West County Hotel",187791.042935527
"338","ATHENRY-ORANMORE","Ennis Vaccination Centre - West County Hotel",57420.2868517684
"339","ATHLONE","Ennis Vaccination Centre - West County Hotel",100899.938987081
"340","ATHLONE","Ennis Vaccination Centre - West County Hotel",89975.831297744
"341","ATHY","Ennis Vaccination Centre - West County Hotel",142165.334668313
"342","BAILIEBOROUGH-COOTEHILL","Ennis Vaccination Centre - West County Hotel",179429.007290333
"343","BALBRIGGAN","Ennis Vaccination Centre - West County Hotel",205534.102237445
"344","BALLINA","Ennis Vaccination Centre - West County Hotel",147051.683724534
"345","BALLINAMORE","Ennis Vaccination Centre - West County Hotel",153491.720102198
"346","BALLINASLOE","Ennis Vaccination Centre - West County Hotel",78577.4266763044
"347","BALLYBAY-CLONES","Ennis Vaccination Centre - West County Hotel",194509.9645814
"348","BALLYFERMOT-DRIMNAGH","Ennis Vaccination Centre - West County Hotel",185248.590255562
"349","BALLYJAMESDUFF","Ennis Vaccination Centre - West County Hotel",160629.324647239
"350","BALLYMAHON","Ennis Vaccination Centre - West County Hotel",117902.983927138
"351","BALLYMOTE-TOBERCURRY","Ennis Vaccination Centre - West County Hotel",143669.128750442
"352","BALLYMUN-FINGLAS","Ennis Vaccination Centre - West County Hotel",190689.577111582
"353","BALTINGLASS","Ennis Vaccination Centre - West County Hotel",164907.117013759
"354","BANDON-KINSALE","Ennis Vaccination Centre - West County Hotel",125966.949454722
"355","BANTRY-WEST CORK","Ennis Vaccination Centre - West County Hotel",136699.720047684
"356","BELMULLET","Ennis Vaccination Centre - West County Hotel",150267.44441635
"357","BIRR","Ennis Vaccination Centre - West County Hotel",83656.6755625934
"358","BLACKROCK","Ennis Vaccination Centre - West County Hotel",194486.047892595
"359","BLANCHARDSTOWN-MULHUDDART","Ennis Vaccination Centre - West County Hotel",188167.544895956
"360","BORRIS-IN-OSSORY-MOUNTMELLICK","Ennis Vaccination Centre - West County Hotel",100333.868685629
"361","BOYLE","Ennis Vaccination Centre - West County Hotel",128422.181298743
"362","BRAY EAST","Ennis Vaccination Centre - West County Hotel",197274.831281078
"363","BRAY WEST","Ennis Vaccination Centre - West County Hotel",189603.158314604
"364","BUNCRANA","Ennis Vaccination Centre - West County Hotel",272042.278454415
"365","CABRA-GLASNEVIN","Ennis Vaccination Centre - West County Hotel",188746.848022524
"366","CAHIR","Ennis Vaccination Centre - West County Hotel",90185.4194245332
"367","CALLAN-THOMASTOWN","Ennis Vaccination Centre - West County Hotel",126611.920151411
"368","CAPPAMORE-KILMALLOCK","Ennis Vaccination Centre - West County Hotel",55626.5395851731
"369","CARLOW","Ennis Vaccination Centre - West County Hotel",140874.445695245
"370","CARNDONAGH","Ennis Vaccination Centre - West County Hotel",292194.726324058
"371","CARRICK-ON-SHANNON","Ennis Vaccination Centre - West County Hotel",139838.039605038
"372","CARRICK-ON-SUIR","Ennis Vaccination Centre - West County Hotel",99934.0423543389
"373","CARRICKMACROSS-CASTLEBLAYNEY","Ennis Vaccination Centre - West County Hotel",201437.784244409
"374","CARRIGALINE","Ennis Vaccination Centre - West County Hotel",121068.474581287
"375","CASHEL-TIPPERARY","Ennis Vaccination Centre - West County Hotel",70101.6972175727
"376","CASTLEBAR","Ennis Vaccination Centre - West County Hotel",111201.047888082
"377","CASTLECOMER","Ennis Vaccination Centre - West County Hotel",113509.527515796
"378","CASTLEISLAND","Ennis Vaccination Centre - West County Hotel",74113.0658537665
"379","CASTLEKNOCK","Ennis Vaccination Centre - West County Hotel",182773.22904807
"380","CAVAN-BELTURBET","Ennis Vaccination Centre - West County Hotel",167723.351893526
"381","CELBRIDGE","Ennis Vaccination Centre - West County Hotel",172032.8821823
"382","CLANE","Ennis Vaccination Centre - West County Hotel",151096.271251126
"383","CLAREMORRIS","Ennis Vaccination Centre - West County Hotel",92488.7685922852
"384","CLONDALKIN","Ennis Vaccination Centre - West County Hotel",176177.613219967
"385","CLONMEL","Ennis Vaccination Centre - West County Hotel",99851.3205144097
"386","CLONTARF","Ennis Vaccination Centre - West County Hotel",195496.491795147
"387","COBH","Ennis Vaccination Centre - West County Hotel",105569.492836886
"388","CONAMARA NORTH","Ennis Vaccination Centre - West County Hotel",84364.0091297301
"389","CONAMARA SOUTH","Ennis Vaccination Centre - West County Hotel",56633.6462046014
"390","CORCA DHUIBHNE","Ennis Vaccination Centre - West County Hotel",105005.22619164
"391","CORK CITY NORTH EAST","Ennis Vaccination Centre - West County Hotel",107779.452905949
"392","CORK CITY NORTH WEST","Ennis Vaccination Centre - West County Hotel",106116.282049554
"393","CORK CITY SOUTH CENTRAL","Ennis Vaccination Centre - West County Hotel",113143.856178933
"394","CORK CITY SOUTH EAST","Ennis Vaccination Centre - West County Hotel",114131.023453052
"395","CORK CITY SOUTH WEST","Ennis Vaccination Centre - West County Hotel",111452.415105435
"396","DONAGHMEDE","Ennis Vaccination Centre - West County Hotel",198695.673760589
"397","DONEGAL","Ennis Vaccination Centre - West County Hotel",207168.793448363
"398","DROGHEDA RURAL","Ennis Vaccination Centre - West County Hotel",204006.456622093
