"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Wt_accessibility_Initial_Vacc","accessibility_Pharmacy10","accessibility_GP10","Primary_Vax_Rate"
"KILRUSH",0.109404458,0.456970167,0.174337363,0.150493512,0.108794499,0.048625561,0.170956084,0.35286387,0.145548133,0.16778009,0.114226262,0.003479897,0.016647073,0.108958382,0.34987068,0.521043969,1.192606796,17.50260046,8.96803106942814,95.5
"KIMMAGE-RATHMINES",0.067757342,0.626013617,0.128442231,0.09883142,0.078955391,0.029850746,0.10401007,0.182197447,0.072828628,0.289875922,0.321237188,0.00390838,0.016415197,0.094528268,0.305217233,0.579930922,0.821412054,59.62973255,23.3969471064294,92.6
"KINNEGAD",0.125408764,0.53913233,0.155384783,0.102844997,0.077229126,0.053833605,0.139827546,0.351316709,0.149382428,0.182941039,0.122698672,0.003021012,0.01487961,0.094598251,0.323789341,0.563711786,0.113228974,15.1581073,5.31365975507509,92.3
"LAYTOWN-BETTYSTOWN",0.132922761,0.59629202,0.12532076,0.084263536,0.061200924,0.034964096,0.114757399,0.327159251,0.134957385,0.217300852,0.170861016,0.003006939,0.01308147,0.079131329,0.314957594,0.589822668,0.695549212,37.28619115,11.6083703031564,84.4
"LEIXLIP",0.098182641,0.554106025,0.132342961,0.143578916,0.071789458,0.021610719,0.083561446,0.288575133,0.116121596,0.27243913,0.217691975,0.002787586,0.013132627,0.082326705,0.307253918,0.594499164,0.057843109,8.86760155,3.66927227449038,90.3
"LETTERKENNY",0.119052407,0.584281865,0.135462334,0.092587379,0.068616016,0.047439396,0.137582276,0.293466046,0.111334083,0.224995987,0.185182212,0.004606021,0.016713275,0.098733344,0.316992926,0.562954433,3.093865414,26.8521132,6.2310378315828,86.1
"LIFFORD-STRANORLAR",0.116990982,0.523398196,0.148410062,0.121831989,0.089368771,0.088974148,0.223805609,0.315885631,0.124965744,0.154471545,0.091897323,0.005356103,0.019444984,0.119153891,0.333203959,0.522841063,0.56579925,14.68608914,3.34393586073244,83.8
"LIMERICK CITY EAST",0.103743917,0.587308418,0.131881227,0.102717733,0.074348704,0.039903014,0.118877728,0.289573952,0.106546588,0.247038448,0.19806027,0.0039295,0.01750939,0.095377059,0.322536839,0.560647212,1.431353988,32.52368808,21.4338745500073,90
"LIMERICK CITY NORTH",0.090855457,0.550026028,0.145340968,0.11657123,0.097206316,0.040204575,0.162665151,0.343514704,0.124378463,0.186532178,0.14270493,0.005574314,0.024590686,0.124291266,0.354271517,0.491272218,0.653492771,14.90238092,10.511131769165,91.7
"LIMERICK CITY WEST",0.09095091,0.625057501,0.126503253,0.091246632,0.066241703,0.030011167,0.093383585,0.271705751,0.119905081,0.273659966,0.21133445,0.00404786,0.018632061,0.096315257,0.327579023,0.553425799,0.998930693,19.04188177,14.6132850635169,89.7
"LISMORE",0.108778418,0.488523877,0.172848907,0.12585663,0.103992168,0.044075305,0.167663344,0.333111849,0.158582503,0.178294574,0.118272425,0.003712087,0.012041648,0.089361702,0.332820281,0.562064282,0.064545556,1.931304986,7.11983682835443,94.5
"LISTOWEL",0.101798411,0.473316604,0.163989962,0.148138854,0.112756169,0.051716793,0.175939337,0.354264292,0.138536253,0.166567266,0.112976059,0.003347192,0.016031287,0.103692481,0.3451131,0.53181594,0.888241741,32.59747448,9.5817852228237,97.4
"LONGFORD",0.119914662,0.540719488,0.138747885,0.111675127,0.088942838,0.069086278,0.159184973,0.337312958,0.172397326,0.158070678,0.103947787,0.005760145,0.023428904,0.122775225,0.344379005,0.503656721,2.70257927,32.89255063,11.6031699305431,82.7
"LOUGHREA",0.112964254,0.525191676,0.150303694,0.116150553,0.095389824,0.035862478,0.1455246,0.333926102,0.1287295,0.204603833,0.151353487,0.002707656,0.012663501,0.096809131,0.320669833,0.567149879,0.200818011,18.40570763,7.48656577215178,90.1
"LUCAN",0.137043189,0.653559563,0.112743237,0.060963455,0.035690555,0.025777822,0.060829677,0.280165536,0.119664938,0.276625449,0.236936578,0.00219269,0.011058783,0.066181097,0.310828074,0.609739356,0.220529097,16.13967374,8.22474342980081,84.7
"MACROOM",0.115300335,0.534061614,0.154840165,0.115558134,0.080239753,0.029450176,0.099777981,0.297766749,0.139480214,0.24768186,0.185843019,0.001918639,0.00881537,0.067256086,0.291529467,0.630480438,0.443250541,49.45361441,13.2202396641101,93.8
"MALLOW",0.122994652,0.544117647,0.13936153,0.107235456,0.086290715,0.035855207,0.120518099,0.332475553,0.156544862,0.206296106,0.148310173,0.00243155,0.013023783,0.09080008,0.315735128,0.57800946,0.067263369,21.26726639,10.8298044733534,92.3
"MANORHAMILTON",0.112834679,0.490862728,0.162770931,0.132065448,0.101466213,0.065269073,0.14026367,0.299546142,0.141128161,0.19667171,0.157121245,0.002307419,0.016684416,0.108803692,0.329783458,0.542421015,0.287391161,9.093776694,3.3349453309416,90.5
"MAYNOOTH",0.11971697,0.631985392,0.118005098,0.077528817,0.052763724,0.019387833,0.064880543,0.234867567,0.095717884,0.292878406,0.292267766,0.001789234,0.009704321,0.06777862,0.286004549,0.634723275,0.165795034,24.60523012,11.3898329362222,82.1
"MIDLETON",0.125006432,0.559557499,0.136197582,0.101903782,0.077334705,0.032401457,0.104327335,0.318926735,0.153384747,0.220062125,0.170897601,0.003138209,0.011677554,0.083642885,0.312881602,0.58865975,0.084656744,36.65644635,15.1685991193083,88.9
"MILFORD",0.110652211,0.494062984,0.155480984,0.132163139,0.107640681,0.056183511,0.192154255,0.295212766,0.120844415,0.188663564,0.146941489,0.003561047,0.013081395,0.096875,0.328488372,0.557994186,0.672488691,8.95674099,5.7119745068656,89.5
"MOATE",0.115534884,0.51944186,0.156899225,0.120124031,0.088,0.048355899,0.14210187,0.336041264,0.127659574,0.201805287,0.144036106,0.003203109,0.012549884,0.089371981,0.316950221,0.577924806,2.336212901,8.945572358,6.48310109718227,92.8
"MONAGHAN",0.113813601,0.520477723,0.159240879,0.119757867,0.086709931,0.071000565,0.157377049,0.315771622,0.151950254,0.186433013,0.117467496,0.002773057,0.012255121,0.091287235,0.321316755,0.572367833,0.616860528,26.37133954,5.48695174008606,81.8
"MUINEBEAG",0.107145563,0.519057362,0.158445101,0.124801091,0.090550883,0.033328237,0.179024614,0.315242318,0.149059777,0.192478214,0.13086684,0.002802691,0.013702043,0.09653712,0.311410065,0.575548082,1.910612378,11.84644231,4.51135872273951,95.9
"MULLINGAR",0.109548245,0.572161642,0.137175845,0.103729497,0.07738477,0.047351149,0.112611346,0.324988279,0.141397093,0.212283169,0.161368964,0.002620222,0.014912145,0.095638101,0.326525894,0.560303637,0.027137967,27.55853093,10.1776674365627,86
"NAAS",0.109434387,0.606069991,0.136631099,0.088459698,0.059404826,0.022256081,0.064918104,0.26984818,0.1116069,0.286336181,0.245034554,0.002457224,0.010888433,0.07060574,0.299600983,0.616447621,3.323627507,30.2854208,13.8064636403992,91.8
"NAVAN",0.130943672,0.607102481,0.12176631,0.081731728,0.058455809,0.04523709,0.112002251,0.35232869,0.154847334,0.190938511,0.144646124,0.00393311,0.013752508,0.086234114,0.323157191,0.572923077,2.142904148,27.80958901,6.04378313329912,84.9
"NENAGH",0.107432652,0.520610191,0.153900249,0.119712215,0.098344693,0.041380052,0.134673259,0.341680997,0.147463457,0.19239037,0.142411866,0.003912926,0.015561752,0.10079158,0.331969056,0.547764685,2.773251866,19.22757594,7.31922485030644,90.6
"NEW ROSS",0.11193654,0.513892386,0.15625787,0.124276001,0.093637203,0.05347548,0.170916844,0.342089552,0.1508742,0.177057569,0.105586354,0.003093581,0.016311608,0.100857766,0.320466849,0.559270196,0.471459956,16.3166319,6.45497500802126,90.1
"NEWBRIDGE",0.128117875,0.584033756,0.136046551,0.08786198,0.063939837,0.035957713,0.103491445,0.333147865,0.134789261,0.212129643,0.180484073,0.002902029,0.014789184,0.08449368,0.307782459,0.590032648,1.172280194,27.68723532,8.6640796010968,93.2
"NEWCASTLE WEST",0.100232899,0.506340033,0.156387475,0.134563961,0.102475632,0.049793624,0.185825942,0.341090717,0.141389304,0.174321595,0.107578818,0.002787905,0.013224677,0.098041318,0.344806634,0.541139467,0.047406127,35.06890826,9.68302328226567,93.4
"NEWPORT",0.127577694,0.525704328,0.154371188,0.111675864,0.080670927,0.034730539,0.106437126,0.312724551,0.121257485,0.231437126,0.193413174,0.003826378,0.014827215,0.084479254,0.293973455,0.602893698,1.490968431,14.98363005,6.98077924903205,94.4
"NORTH INNER CITY",0.059059245,0.766654268,0.090896794,0.054341945,0.029047748,0.046147349,0.107382808,0.209889815,0.091334895,0.258647829,0.286597305,0.004676554,0.02116277,0.098262215,0.348885452,0.527013011,0.77793264,53.13638366,20.1626165291182,74.8
"ONGAR",0.140250611,0.670507335,0.109596577,0.061124694,0.018520782,0.029462145,0.075231244,0.334361083,0.144227475,0.226652963,0.190065091,0.002334592,0.01090304,0.073018081,0.324930459,0.588813829,0.089413604,10.57330431,4.55332324012974,77.3
"PALMERSTOWN-FONTHILL",0.1130949,0.532609314,0.156365497,0.126855063,0.071075226,0.083856963,0.228607335,0.349480178,0.134925169,0.114932023,0.088198332,0.00595002,0.024444665,0.114587465,0.341580722,0.513437128,0.330870218,15.3987751,7.25636580974456,82.7
"PEMBROKE",0.061303907,0.632603017,0.117357002,0.094727864,0.094008209,0.009735489,0.025624541,0.114391991,0.041100294,0.360442689,0.448704996,0.002817598,0.010776075,0.065200198,0.270711814,0.650494315,1.097152924,54.56628265,20.7051176660916,90.4
"PILTOWN",0.117240611,0.540566143,0.142705895,0.10843642,0.091050931,0.042121142,0.116384312,0.341262474,0.149338594,0.21362265,0.137270828,0.003364554,0.011230336,0.0869328,0.310130035,0.588342275,0.934432054,19.6836251,7.55346845731192,90.1
"PORTLAOISE",0.123979324,0.593902165,0.131657802,0.090643494,0.059817215,0.041233818,0.108438549,0.355521816,0.153667892,0.20121464,0.139923286,0.003583224,0.016794416,0.093849318,0.330716022,0.55505702,2.509464707,15.78951569,9.160227512352,85.8
"PORTLAW-KILMACTHOMAS",0.118479524,0.505776988,0.16148219,0.124290695,0.089970602,0.038928769,0.151987852,0.321093319,0.132523468,0.211761458,0.143705135,0.002569115,0.012063669,0.084557386,0.307456018,0.593353812,2.153922348,14.14717305,5.45691274574752,93.8
"RATHFARNHAM-TEMPLEOGUE",0.085576227,0.476668456,0.161908541,0.147995985,0.12785079,0.020235013,0.095598486,0.253216491,0.090181239,0.276877116,0.263891655,0.002614607,0.012550113,0.081595104,0.297290493,0.605949683,0.478760847,50.48596786,19.7536804250594,98.3
"RATOATH",0.121933358,0.583702274,0.143870044,0.092739922,0.057754402,0.024563714,0.071122819,0.29667435,0.117550214,0.264603227,0.225485677,0.001729597,0.009100343,0.063303265,0.284345813,0.641520981,3.404175712,33.95969576,12.3483473472138,90.9
"ROSCOMMON",0.104728192,0.497446271,0.155802781,0.130821745,0.111201011,0.056880734,0.146381244,0.357696228,0.140672783,0.174413863,0.123955148,0.004008102,0.018014912,0.107313709,0.33185364,0.538809637,2.972776849,23.41936753,10.2548047841321,91.2
"ROSCREA-TEMPLEMORE",0.109830409,0.512737684,0.155715439,0.12392629,0.097790177,0.050244553,0.15666222,0.375277901,0.154290796,0.163183637,0.100340892,0.003984304,0.016118322,0.102505282,0.327980682,0.54941141,0.34772878,8.7282383,3.85706878272627,94.3
"ROSSLARE",0.110511706,0.493636411,0.166553187,0.131042791,0.098255905,0.057762486,0.159941612,0.357835471,0.134292566,0.171410698,0.118757168,0.00332211,0.016520763,0.098900112,0.32664422,0.554612795,0.069913888,34.56888498,9.34995576559216,95.4
"RUSH-LUSK",0.138168808,0.599837372,0.134428362,0.075914783,0.051650675,0.032315623,0.087827121,0.317010309,0.133690193,0.237245572,0.191911182,0.002384284,0.011843674,0.075338206,0.299564609,0.610869227,1.002653858,31.32784733,10.6136199375217,87.6
"SHANNON",0.111336196,0.550968317,0.140142614,0.115387732,0.082165141,0.030612245,0.103880897,0.369688859,0.139846102,0.206674473,0.149297424,0.003303055,0.016416185,0.093212221,0.329083402,0.557985136,0.828245333,21.73119173,14.3393299315453,90
"SKIBBEREEN-WEST CORK",0.104265223,0.497483253,0.164402225,0.130189608,0.10365969,0.039790814,0.118008186,0.302637563,0.155222071,0.221085342,0.163256025,0.00347066,0.012629346,0.089626583,0.313259207,0.581014204,0.09053828,34.32306273,7.55047095025515,90.8
"SLIGO-DRUMCLIFF",0.109734985,0.494673059,0.163004395,0.138899987,0.093687575,0.024396712,0.090426942,0.296870857,0.121453195,0.250331477,0.216520817,0.002825328,0.011245914,0.080660351,0.29605008,0.609218326,2.64399693,34.73028633,12.1838146834609,94.6
"SLIGO-STRANDHILL",0.086708721,0.546536078,0.146303674,0.120849934,0.099601594,0.034586299,0.132339858,0.299043594,0.134564057,0.224644128,0.174822064,0.004561606,0.021655623,0.118985883,0.334533756,0.520263133,0.901875737,15.33061769,3.59093054882596,88.6
"SOUTH EAST INNER CITY",0.05841895,0.726398402,0.105565068,0.069434932,0.040182648,0.031179267,0.095574921,0.160989135,0.064282481,0.283216388,0.364757809,0.003789756,0.016004431,0.087164388,0.313850101,0.579191324,0.55867888,44.88590974,16.4729381493945,75.3
"SOUTH WEST INNER CITY",0.051289214,0.737380227,0.098751292,0.064865771,0.047713496,0.036166667,0.100055556,0.188833333,0.081611111,0.283055556,0.310277778,0.004079302,0.021130782,0.100513992,0.329172446,0.545103478,0.587496094,33.76434707,12.6400574176589,75.1
"STILLORGAN",0.093476531,0.526610979,0.147096261,0.118536197,0.114280032,0.007662566,0.021089631,0.197820738,0.055887522,0.331107206,0.386432337,0.002096239,0.007790501,0.060540642,0.267911895,0.661660722,0.859055704,39.47869532,15.7428042077193,89.8
"SWINFORD",0.097839984,0.446807079,0.177982639,0.157526411,0.119843887,0.07112553,0.166708261,0.348015972,0.130646369,0.171449963,0.112053906,0.004167618,0.018040649,0.117549669,0.344485042,0.515757022,0.302762399,13.12293516,9.04601570460545,95.9
"SWORDS",0.104706379,0.638078404,0.13016409,0.077270089,0.049781037,0.024108161,0.07818863,0.343867079,0.143345822,0.232611174,0.177879133,0.002693709,0.013649637,0.079498382,0.324422211,0.579736062,1.583826913,31.79940247,12.8898756917056,85.4
"TALLAGHT CENTRAL",0.083789211,0.563672876,0.113600166,0.146215636,0.092722111,0.042739297,0.212487555,0.330749538,0.157801166,0.158725644,0.0974968,0.004931994,0.022913859,0.114477392,0.353142997,0.504533758,0.400984568,34.72464139,13.8366791837908,88.3
"TALLAGHT SOUTH",0.150080356,0.657343306,0.09704537,0.071609593,0.023921375,0.058714079,0.146854111,0.390531321,0.158638274,0.145200193,0.100062022,0.004614454,0.017928287,0.102476171,0.322280498,0.55270059,0.904923264,18.29502666,7.28571389718438,75.3
"THURLES",0.109899749,0.490789474,0.159022556,0.135776942,0.104511278,0.039324427,0.138769851,0.382908999,0.123771112,0.19120242,0.124023191,0.003839276,0.014673399,0.105711581,0.326285895,0.54948985,0.037557326,0.399914045,7.65654281517482,93.4
"TRALEE",0.101499183,0.524435633,0.159031618,0.11969112,0.095342447,0.043371704,0.121574452,0.338210175,0.142072039,0.207129595,0.147642035,0.004218755,0.019139498,0.110308031,0.341564041,0.524769675,3.043666017,40.81822512,12.9713766387904,90.9
"TRAMORE-WATERFORD CITY WEST",0.107446327,0.549901956,0.152144401,0.109055257,0.081452059,0.032939714,0.116428423,0.335715765,0.146260617,0.21276155,0.15589393,0.004206569,0.016199767,0.10243444,0.32426385,0.552895373,1.415857984,20.64899899,5.44244767945384,90.7
"TRIM",0.127118315,0.560476209,0.143793384,0.098227789,0.070384302,0.042287777,0.128275537,0.334771693,0.137768712,0.200925781,0.155970501,0.002897738,0.012556864,0.081198978,0.305976195,0.597370225,0.293546798,17.0857575,5.24069824826599,91.4
"TUAM",0.119932795,0.535532995,0.142703939,0.114427683,0.087402588,0.036227178,0.13552717,0.348271632,0.135455005,0.196940175,0.147578841,0.003324231,0.014662234,0.09233646,0.329098896,0.560578179,0.22062643,24.11997485,11.415644763271,92.5
"TULLAMORE",0.114693272,0.542546174,0.149488786,0.110075858,0.08319591,0.056235556,0.13549602,0.343576136,0.128220491,0.185739964,0.150731833,0.003650766,0.018081626,0.095436542,0.322094024,0.560737042,4.451713001,39.15371091,11.7481297617127,92.7
"TULLOW",0.119668321,0.537470947,0.153527232,0.114328789,0.075004711,0.040647145,0.157106565,0.325043455,0.169006552,0.183446985,0.124749298,0.003506535,0.017585804,0.104611625,0.313197322,0.561098714,0.58173119,21.34657512,5.74103215632559,89.5
"WATERFORD CITY EAST",0.110987059,0.516011165,0.158284699,0.114742451,0.099974626,0.019306622,0.086360805,0.291052522,0.111064978,0.269773718,0.222441354,0.003070445,0.013115186,0.088341083,0.302833582,0.592639705,0.225206368,9.826549482,8.85216495195006,93.4
"WATERFORD CITY SOUTH",0.101529903,0.571776277,0.134313531,0.10605007,0.086330221,0.042193189,0.20400514,0.359713001,0.153030628,0.157421289,0.083636753,0.004779538,0.022433689,0.120177403,0.348389597,0.504219773,0.755702977,15.21317488,6.65435584345837,85.1
"WESTPORT",0.099544973,0.498410522,0.166053731,0.140809076,0.095181699,0.042246759,0.124699952,0.319851176,0.120619299,0.21231397,0.180268843,0.002470044,0.013716628,0.092232499,0.323996216,0.567584612,0.188173344,14.59025876,7.6924321601847,88.5
"WEXFORD",0.098559485,0.523688032,0.158103387,0.120029831,0.099619264,0.048804781,0.139442231,0.339028501,0.135075084,0.197057922,0.14059148,0.005020281,0.021311257,0.10951526,0.322661081,0.54149212,0.166657562,40.71588015,8.21626163042242,92.5
"WICKLOW",0.117573189,0.557727023,0.145514481,0.104112707,0.0750726,0.043331502,0.098987362,0.309443441,0.137294921,0.226783892,0.184158882,0.003175107,0.012636926,0.082616288,0.306429592,0.595142086,1.173801775,27.13613851,9.12413705937283,91.3
