"CSO_LEA","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","p_edu_NoFormal","p_edu_Primary","p_edu_UpperSecondary","p_edu_Apprenticeship","p_edu_HonoursBachelor","p_edu_Postgraduate","p_health_VeryBad","p_health_Bad","p_health_Fair","p_health_Good","p_health_VeryGood","Wt_accessibility_Initial_Vacc","accessibility_Pharmacy10","accessibility_GP10","Primary_Vax_Rate"
"BALLYMUN-FINGLAS",0.101909827,0.568392468,0.140869409,0.096119751,0.092708544,0.068578666,0.218311771,0.341671944,0.137745408,0.133945535,0.099746675,0.006714638,0.026063674,0.122411413,0.341630758,0.503179517,0.470077952,33.89237749,10.4442850627394,83
"BALTINGLASS",0.118387681,0.526766304,0.158378623,0.111956522,0.08451087,0.050577085,0.146194989,0.321385005,0.142066248,0.199305621,0.140471052,0.003775701,0.014056075,0.086504673,0.314504673,0.581158879,0.902627977,13.62194441,5.38257096877919,91.9
"BANDON-KINSALE",0.122738448,0.53681523,0.150381391,0.107262182,0.082802749,0.032589286,0.096875,0.274362245,0.143686224,0.252869898,0.199617347,0.002208639,0.011068879,0.072653963,0.301941548,0.612126971,0.268557503,16.97758939,12.1654678519824,91.3
"BANTRY-WEST CORK",0.093904531,0.441467353,0.19103845,0.156423453,0.117166213,0.046902025,0.154847899,0.31305321,0.146708719,0.191575949,0.146912199,0.004108571,0.014292583,0.104069234,0.338563748,0.538965864,4.470947051,13.97163625,11.904307259268,93.8
"BELMULLET",0.088393616,0.423174993,0.173009727,0.178298234,0.13712343,0.083029988,0.266770671,0.31183914,0.114231236,0.137978852,0.086150113,0.005621639,0.022079192,0.1480365,0.345934496,0.478328173,0.006895205,9.765061839,6.94704587137404,98.1
"BIRR",0.106497017,0.506058911,0.157485086,0.131991051,0.097967934,0.063569682,0.166259169,0.351419974,0.137577581,0.167951853,0.113221742,0.004180537,0.017496323,0.100719981,0.33889448,0.538708678,1.125006443,27.68336995,7.31024032906335,94.5
"BLACKROCK",0.091305795,0.519655338,0.153877445,0.112273954,0.122887467,0.009447629,0.02916168,0.172702652,0.052591799,0.334697991,0.401398249,0.002075829,0.009890714,0.068868673,0.270712498,0.648452286,0.579629534,35.2530677,11.8394104428561,97.7
"BLANCHARDSTOWN-MULHUDDART",0.136427332,0.696316562,0.085679968,0.049713066,0.031863072,0.039661639,0.090415769,0.311627165,0.161679036,0.220892187,0.175724204,0.003433476,0.013962804,0.08,0.330071531,0.572532189,1.155453713,68.80978905,21.6908333085453,69.2
"BORRIS-IN-OSSORY-MOUNTMELLICK",0.118837221,0.527693273,0.152542373,0.115843353,0.08508378,0.049807692,0.169038462,0.371730769,0.138846154,0.166730769,0.103846154,0.003380636,0.016392154,0.098981878,0.320059751,0.561185581,1.015214017,16.44641038,8.7535109834639,96.4
"BOYLE",0.10167763,0.474427617,0.167661007,0.148131151,0.108102595,0.05880545,0.146911177,0.342075607,0.145374449,0.177748182,0.129085135,0.004408492,0.018318781,0.114021572,0.338169834,0.525081322,3.104215705,9.533519795,9.870628082151,89.2
"BRAY EAST",0.085236654,0.526141992,0.146326362,0.129334067,0.112960925,0.044406378,0.125708262,0.269996047,0.130056661,0.22124127,0.208591382,0.004691729,0.017203008,0.107969925,0.342015038,0.528120301,0.048108562,2.67501386,1.37640885026024,96.9
"BRAY WEST",0.112948023,0.536106335,0.168562359,0.10864965,0.073733633,0.032904884,0.099614396,0.291131105,0.126478149,0.238688946,0.211182519,0.003545903,0.012964707,0.085932739,0.300404455,0.597152197,0.848560911,13.76772907,6.1469404471838,95.1
"BUNCRANA",0.131118979,0.519923565,0.150621031,0.111335919,0.087000506,0.073352627,0.210040071,0.276046305,0.127337489,0.182769368,0.130454141,0.00389015,0.015421664,0.106793868,0.313157042,0.560737276,0.171762544,25.64392159,2.06908107927338,64.4
"CABRA-GLASNEVIN",0.059317922,0.641180924,0.129641491,0.089675654,0.08018401,0.032882639,0.12143501,0.221128538,0.084261763,0.266594556,0.273697494,0.004145982,0.017984107,0.096030404,0.321786409,0.560053098,1.017133137,68.32356425,25.0803922803584,89.8
"CAHIR",0.110719843,0.51273442,0.156907706,0.127999345,0.091638686,0.044934222,0.140269947,0.362890825,0.154109004,0.181616265,0.116179737,0.003450179,0.013593707,0.094465912,0.34308584,0.545404361,0.937217292,10.15499402,3.18431898483752,88.9
"CALLAN-THOMASTOWN",0.118676678,0.503003285,0.163162834,0.123510089,0.091647114,0.040472336,0.121321779,0.316922198,0.133987239,0.228644891,0.158651557,0.003421861,0.012443131,0.0848466,0.307189797,0.592098612,1.700787496,43.048344,8.20721235234063,96.9
"CAPPAMORE-KILMALLOCK",0.118948161,0.508594124,0.146750668,0.131856468,0.093850579,0.040366326,0.147798521,0.349982388,0.138569919,0.191475872,0.131806974,0.003668252,0.014558377,0.098555626,0.327190921,0.556026824,0.362988155,30.87168278,9.80276278488391,95.4
